PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Jack Campbell,2569741,LB,DET,PIT,7,9,,,,,1,,,,,,,2,,,,1,21.90
Jamien Sherwood,2565762,LB,NYJ,@NO,7,4,1,2,,,,,,,,,,,1,,,2,18.40
Dee Winters,2570296,LB,SF,@IND,1,2,,,1,,,1,,,,,,2,,74,,3,17.67
Carson Schwesinger,2574064,LB,CLE,BUF,5,9,1,1,,,,,,,,,,,2,,,4,17.40
Quay Walker,2567631,LB,GB,@CHI,5,9,,1,,,,,,,,,,1,,,,5,16.90
Bobby Okereke,2562416,LB,NYG,MIN,7,6,,,,,,,,,,,,1,,,,6,16.60
James Williams,2572078,LB,TEN,KC,8,1,1,1,,,,,,,,,,,1,,,7,16.60
Bobby Wagner,2532966,LB,WAS,PHI,5,5,1,2,,,,,,,,,,,1,,,8,16.00
Blake Cashman,2562496,LB,MIN,@NYG,7,9,,,,,,,,,,,,,,,,9,15.90
Brian Burns,2562242,LB,NYG,MIN,2,2,2,2,,1,,,,,,,,,2,,,10,15.70
Jordyn Brooks,2565135,LB,MIA,CIN,5,9,,,,,,,,,,,,1,,,,11,15.40
Lavonte David,2532828,LB,TB,@CAR,6,4,1,1,,,,,,,,,,,1,,,12,15.40
Devin White,2562781,LB,LV,@HOU,7,4,,,,,,,,,,,,1,,,,13,15.40
SirVocea Dennis,2570347,LB,TB,@CAR,6,2,1,1,,,,,,,,,,,2,,,14,14.70
Trenton Simpson,2569564,LB,BAL,NE,6,1,1,2,,,,,,,,,,,,,,15,14.60
Nick Bolton,2566175,LB,KC,@TEN,4,6,1,1,,,,,,,,,,,1,,,16,13.60
Roquan Smith,2560877,LB,BAL,NE,8,2,,,,,,,,,,,,,,,,17,13.20
Drake Thomas,2571105,LB,SEA,LAR,6,7,,,,,,,,,,,,,,,,18,13.20
Barrett Carter,2574025,LB,CIN,@MIA,1,4,,,1,,,,,,,,,2,,16,,19,12.93
Ernest Jones,2566229,LB,SEA,LAR,4,8,,1,,,,,,,,,,,,,,20,12.30
Divine Deablo,2566253,LB,ATL,@ARI,4,2,,,,,,,,,,,,2,,,,21,12.20
T.J. Edwards,2562648,LB,CHI,GB,5,5,0.5,,,,,,,,,,,,1,,,22,12.00
Foye Oluokun,2561132,LB,JAX,@DEN,6,5,,,,,,,,,,,,,,,,23,12.00
Quincy Williams,2562954,LB,NYJ,@NO,6,5,,,,,,,,,,,,,,,,24,12.00
Jack Gibbens,2568810,LB,NE,@BAL,3,7,,1,,,1,,,,,,,,1,,,25,11.70
Tatum Bethune,2572489,LB,SF,@IND,4,5,,,,,,,,,,,,1,,,,26,11.50
Matt Milano,2557969,LB,BUF,@CLE,4,5,,1,,,,,,,,,,,2,,,27,11.50
Alex Singleton,2553739,LB,DEN,JAX,4,9,,,,,,,,,,,,,,,,28,11.40
Drue Tranquill,2562765,LB,KC,@TEN,2,8,,,,1,,,,,,,,,,,,29,11.30
Alex Highsmith,2564982,LB,PIT,@DET,4,2,,2,,,,,,,,,,,2,,,30,11.20
Andrew Van Ginkel,2562768,LB,MIN,@NYG,2,2,1,1,,,,,,,,,,1,2,,,31,11.20
Akeem Davis-Gaither,2563728,LB,ARI,ATL,5,6,,,,,,,,,,,,,,,,32,11.10
Christian Rozeboom,2564394,LB,CAR,TB,3,4,1,1,,,,,,,,,,,1,,,33,10.90
Demario Davis,2533008,LB,NO,NYJ,2,6,,1,,,,,,,,,,1,,,,34,10.60
Claudin Cherelus,2570617,LB,CAR,TB,6,2,,,,,,,,,,,,,,,,35,10.20
Alex Anzalone,2558163,LB,DET,PIT,3,5,,,,,,,,,,,,1,,,,36,10.00
K'Lavon Chaisson,2564166,LB,NE,@BAL,3,,,1,,1,,,,,,,,,1,,,37,10.00
Cody Simon,2574488,LB,ARI,ATL,2,5,,1,,,,,,,,,,1,,,,38,10.00
Devin Bush,2562243,LB,CLE,BUF,5,4,,,,,,,,,,,,,,,,39,9.90
Tyrel Dodson,2562560,LB,MIA,CIN,5,3,,,,,,,,,,,,,1,,,40,9.80
Denzel Perryman,2552310,LB,LAC,@DAL,4,2,,,,,,,,,,,,1,,,,41,9.70
Germaine Pratt,2562702,LB,IND,SF,4,2,,,,,,,,,,,,1,,,,42,9.70
Frankie Luvu,2561366,LB,WAS,PHI,5,3,,,,,,,,,,,,,,,,43,9.30
Zaven Collins,2566421,LB,ARI,ATL,4,,,2,,,,,,,,,,,,,,44,9.00
Nate Landman,2568519,LB,LAR,@SEA,2,3,1,1,,,,,,,,,,,1,,,45,8.80
Devin Lloyd,2567751,LB,JAX,@DEN,3,3,,,,,,,,,,,,1,,,,46,8.80
Jaylen Harrell,2572066,LB,TEN,KC,1,,1,1,,1,,,,,,,,,,,,47,8.50
Travon Walker,2567778,LB,JAX,@DEN,2,,,1,,,,,,,,,,1,3,,,48,8.50
Elandon Roberts,2556119,LB,LV,@HOU,1,7,,,,,,,,,,,,1,,,,49,8.20
Zack Baun,2564664,LB,PHI,@WAS,3,6,,,,,,,,,,,,,,,,50,8.10
Patrick Queen,2563575,LB,PIT,@DET,4,3,,,,,,,,,,,,,,,,51,7.80
Omar Speights,2573743,LB,LAR,@SEA,4,3,,,,,,,,,,,,,,,,52,7.80
Que Robinson,2574099,LB,DEN,JAX,1,2,,1,,,,,,,,,,1,2,,,53,7.70
Jordan Magee,2572573,LB,WAS,PHI,4,,,1,,,,,,,,,,,,,,54,7.50
BJ Ojulari,2570233,LB,ARI,ATL,2,,1,1,,,,,,,,,,,2,,,55,7.50
E.J. Speed,2562955,LB,HOU,LV,2,5,,1,,,,,,,,,,,,,,56,7.50
