PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Kobie Turner,2569954,DL,LAR,@SEA,1,2,1.5,1,1,,,,,,,,,2,2,10,,1,17.03
Jeffery Simmons,2562733,DL,TEN,KC,2,1,,2,,,,,,,1,,,2,,,,2,15.60
Cameron Jordan,2495184,DL,NO,NYJ,4,,2,3,,,,,,,,,,,2,,,3,15.50
Greg Rousseau,2565875,DL,BUF,@CLE,2,1,2.5,2,,,,,,,,,,,7,,,4,15.10
Chauncey Golston,2566007,DL,NYG,MIN,4,2,1,3,,,,,,,,,,,1,,,5,14.20
Jonathan Allen,2557844,DL,MIN,@NYG,4,4,1,2,,,,,,,,,,,1,,,6,13.90
Aidan Hutchinson,2567547,DL,DET,PIT,3,,2,2,,,,,,,,,,,2,,,7,12.50
D.J. Jones,2558265,DL,DEN,JAX,3,4,1,,,,,,,,,,,1,2,,,8,12.40
Laiatu Latu,2572123,DL,IND,SF,3,,1,1,,1,,,,,,,,,1,,,9,12.00
Nathan Shepherd,2560873,DL,NO,NYJ,2,1,1,1,,1,,,,,,,,,2,,,10,11.60
DeMarcus Lawrence,2543490,DL,SEA,LAR,3,6,,,,,,,,,,,,1,1,,,11,11.10
Keeanu Benton,2570260,DL,PIT,@DET,2,,1,1,,1,,,,,,,,,2,,,12,11.00
DaQuan Jones,2543504,DL,BUF,@CLE,2,2,,,1,,,,,,,,,1,,1,,13,10.23
Jordan Davis,2568069,DL,PHI,@WAS,4,2,,2,,,,,,,,,,,,,,14,10.20
John Franklin-Myers,2560731,DL,DEN,JAX,2,1,2,1,,,,,,,,,,,2,,,15,10.10
Tuli Tuipulotu,2570266,DL,LAC,@DAL,2,2,1,1,,,1,,,,,,,,2,,11,16,10.07
Grady Jarrett,2552327,DL,CHI,GB,3,4,,,,,,,,,,,,1,1,,,17,9.90
Maxx Crosby,2562439,DL,LV,@HOU,3,3,,2,,,,,,,,,,,1,,,18,9.80
Jalen Redmond,2570792,DL,MIN,@NYG,1,3,1,1,,,,,,,,,,1,1,,,19,9.80
Derrick Brown,2563629,DL,CAR,TB,3,2,1,1,,,,,,,,,,,1,,,20,9.70
Austin Booker,2571904,DL,CHI,GB,4,3,0.5,,,,,,,,,,,,1,,,21,9.30
Alfred Collins,2574539,DL,SF,@IND,1,1,1,1,,1,,,,,,,,,,,,22,9.10
Poona Ford,2561195,DL,LAR,@SEA,3,1,1,1,,,,,,,,,,,1,,,23,9.10
Truman Jones,2570734,DL,TEN,KC,2,1,1.5,1,,,,,,,,,,,2,,,24,9.10
Montez Sweat,2562749,DL,CHI,GB,2,3,1,1,,,,,,,,,,,1,,,25,8.80
Cameron Heyward,2508109,DL,PIT,@DET,2,2,1,1,,,,,,,,,,,2,,,26,8.70
Myles Murphy,2569663,DL,CIN,@MIA,3,2,,1,,,1,,,,,,,,1,,,27,8.70
James Pearce Jr.,2573916,DL,ATL,@ARI,1,1,0.5,,,,,,,,,,,2,1,,,28,8.60
Dre'Mont Jones,2562412,DL,BAL,NE,2,,1,1,,,1,,,,,,,,2,,,29,8.50
Jacob Martin,2561092,DL,WAS,PHI,2,,1,,,1,,,,,,,,,,,,30,8.50
Darius Robinson,2572429,DL,ARI,ATL,2,5,,1,,,1,,,,,,,,,,,31,8.50
Jack Sawyer,2574500,DL,PIT,@DET,3,2,,1,,,,,,,,,,,2,,,32,8.20
Will McDonald IV,2570191,DL,NYJ,@NO,3,1,1,,,,,,,,,,,,2,,,33,8.10
Abdul Carter,2574417,DL,NYG,MIN,1,1,1,1,,,,,,,,,,,4,,,34,7.60
Malcolm Roach,2564688,DL,DEN,JAX,2,1,1,1,,,,,,,,,,,1,,,35,7.60
Byron Young,2570053,DL,PHI,@WAS,2,1,1,1,,,,,,,,,,,1,,,36,7.60
Deone Walker,2573975,DL,BUF,@CLE,,3,,,,,,,,,,,,2,1,,,37,7.30
BJ Green II,2574214,DL,JAX,@DEN,2,1,1,1,,,,,,,,,,,,,,38,7.10
Chase Young,2565294,DL,NO,NYJ,1,1,1,1,,,1,,,,,,,,1,,,39,7.10
Will Anderson Jr.,2569834,DL,HOU,LV,2,,1,1,,,,,,,,,,,1,,,40,7.00
Chris Rumph II,2566508,DL,NO,NYJ,1,2,1,1,,,,,,,,,,,1,,,41,6.70
Zach Sieler,2561129,DL,MIA,CIN,1,2,1,1,,,,,,,,,,,1,,,42,6.70
DeForest Buckner,2555275,DL,IND,SF,4,1,,,,,,,,,,,,,,,,43,6.60
Levi Drake Rodriguez,2572276,DL,MIN,@NYG,1,4,1,,,,,,,,,,,,1,,,44,6.40
David Onyemata,2556274,DL,ATL,@ARI,2,3,,1,,,,,,,,,,,,,,45,6.30
Danielle Hunter,2552603,DL,HOU,LV,1,2,1,1,,,,,,,,,,,,,,46,6.20
Yahya Black,2574489,DL,PIT,@DET,2,1,,,,,,,,,,,,1,,,,47,6.10
Dexter Lawrence,2562301,DL,NYG,MIN,1,,,1,,,,,,,,,,1,1,,,48,6.00
Tommy Togiai,2565989,DL,HOU,LV,2,5,,,,,,,,,,,,,,,,49,6.00
Jonah Laulu,2572126,DL,LV,@HOU,2,2,,1,,,,,,,,,,,,,,50,5.70
Nic Scourton,2573999,DL,CAR,TB,2,2,,1,,,,,,,,,,,,,,51,5.70
Derek Barnett,2557984,DL,HOU,LV,1,,1,1,,,,,,,,,,,1,,,52,5.50
Jowon Briggs,2571946,DL,NYJ,@NO,1,,1,1,,,,,,,,,,,1,,,53,5.50
Brandon Graham,496788,DL,PHI,@WAS,1,,1,1,,,,,,,,,,,1,,,54,5.50
Ruke Orhorhoro,2571811,DL,ATL,@ARI,2,,,1,,,,,,,,,,,2,,,55,5.50
CJ West,2574551,DL,SF,@IND,1,,1,1,,,,,,,,,,,1,,,56,5.50
Jonah Williams,2564403,DL,NO,NYJ,1,,1,1,,,,,,,,,,,1,,,57,5.50
Zacch Pickens,2569624,DL,KC,@TEN,3,1,,,,,,,,,,,,,,,,58,5.10
Tonka Hemingway,2574294,DL,LV,@HOU,2,,,1,,,,,,,,,,,1,,,59,5.00
Daron Payne,2560834,DL,WAS,PHI,2,3,,,,,,,,,,,,,,,,60,4.80
John Ridgeway,2567502,DL,NO,NYJ,1,3,,1,,,,,,,,,,,,,,61,4.80
Calais Campbell,744,DL,ARI,ATL,,2,,,,,,,,,,,1,,1,,,62,4.70
Logan Hall,2568303,DL,TB,@CAR,2,2,,,,,,,,,,,,,1,,,63,4.70
Leonard Williams,2552486,DL,SEA,LAR,2,2,,,,,,,,,,,,,1,,,64,4.70
Neville Gallimore,2563842,DL,IND,SF,3,,,,,,,,,,,,,,,,,65,4.50
Shemar Stewart,2574039,DL,CIN,@MIA,2,,,1,,,,,,,,,,,,,,66,4.50
Teair Tart,2565474,DL,LAC,@DAL,2,,,1,,,,,,,,,,,,,,67,4.50
Ashton Gillotte,2574246,DL,KC,@TEN,1,4,,,,,,,,,,,,,1,,,68,4.40
Kalia Davis,2568204,DL,SF,@IND,,3,,,,,,,,,,,,1,,,,69,4.30
Kenny Clark,2555282,DL,DAL,LAC,2,2,,,,,,,,,,,,,,,,70,4.20
Phidarian Mathis,2568339,DL,BUF,@CLE,2,2,,,,,,,,,,,,,,,,71,4.20
Gervon Dexter Sr.,2569621,DL,CHI,GB,2,1,,,,,,,,,,,,,1,,,72,4.10
Chris Jones,2556369,DL,KC,@TEN,1,1,,1,,,,,,,,,,,1,,,73,4.10
DJ Reader,2555388,DL,DET,PIT,2,1,,,,,,,,,,,,,1,,,74,4.10
Joey Bosa,2555249,DL,BUF,@CLE,1,,,,,,,,,,,,,1,,,,75,4.00
Malcolm Koonce,2566262,DL,LV,@HOU,1,,,1,,,,,,,,,,,2,,,76,4.00
Kenneth Grant,2574323,DL,MIA,CIN,,4,0.5,,,,,,,,,,,,1,,,77,3.90
Byron Murphy II,2572531,DL,SEA,LAR,1,4,,,,,,,,,,,,,,,,78,3.90
