PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jack Campbell,2569741,LB,DET,PIT,4.37,3.41,0.16,0.32,0.06,0.06,,,,,,,,0.39,0.39,,,10.99,10,1,21.90,10.91
Jamien Sherwood,2565762,LB,NYJ,@NO,4.82,2.65,0.05,0.43,0.05,,,,,,,,,0.22,0.16,0.7,,10.39,18,2,18.40,8.01
Dee Winters,2570296,LB,SF,@IND,3.42,2.6,,0.08,0.08,,,,,,,,,0.49,0.08,1.14,,8.39,49,3,17.67,9.28
Carson Schwesinger,2574064,LB,CLE,BUF,4.45,3.12,0.22,0.78,0.06,,,,,,,,,0.06,0.28,,,10.66,17,4,17.40,6.74
Quay Walker,2567631,LB,GB,@CHI,,,,,,,,,,,,,,,,,,0.00,384,5,16.90,16.9
Bobby Okereke,2562416,LB,NYG,MIN,4.81,2.41,0.11,0.33,,0.16,0.11,,,,,,,0.22,0.22,,,10.71,15,6,16.60,5.89
James Williams,2572078,LB,TEN,KC,3.51,1.75,,0.1,,,,,,,,,,0.1,0.1,,,6.77,69,7,16.60,9.83
Bobby Wagner,2532966,LB,WAS,PHI,3.88,2.88,0.11,0.5,,0.06,0.06,,,,,,,,,,,8.79,40,8,16.00,7.21
Blake Cashman,2562496,LB,MIN,@NYG,3.71,2.46,0.29,0.46,0.06,,0.06,,,,,,,0.4,0.57,,,9.87,27,9,15.90,6.03
Brian Burns,2562242,LB,NYG,MIN,2.08,1.58,0.45,0.9,0.06,0.06,,,,,,,,0.34,1.01,1.18,,8.13,54,10,15.70,7.57
Jordyn Brooks,2565135,LB,MIA,CIN,5.16,3.38,0.18,0.61,0.06,,0.06,,,,,,,0.31,0.37,0.68,,12.30,2,11,15.40,3.1
Lavonte David,2532828,LB,TB,@CAR,3.83,2.36,0.23,0.34,,0.06,0.06,,,,,,,0.28,0.28,,,9.24,30,12,15.40,6.16
Devin White,2562781,LB,LV,@HOU,2.92,2.21,0.08,0.32,,,,,,,,,,0.16,0.24,,,6.87,68,13,15.40,8.53
SirVocea Dennis,2570347,LB,TB,@CAR,5.43,2.57,0.14,0.43,0.07,0.07,0.07,,,,,,,0.29,0.29,,,12.04,4,14,14.70,2.66
Trenton Simpson,2569564,LB,BAL,NE,1.8,0.98,0.08,0.15,,,0.08,,,,,,,0.15,0.15,,,4.20,106,15,14.60,10.4
Nick Bolton,2566175,LB,KC,@TEN,4.78,2.26,0.16,0.65,0.06,0.06,0.06,,,,,,,0.32,0.45,0.45,,11.34,8,16,13.60,2.26
Roquan Smith,2560877,LB,BAL,NE,4.82,4.29,0.06,0.23,0.06,0.06,,,,,,,,0.29,0.23,,,11.53,6,17,13.20,1.67
Drake Thomas,2571105,LB,SEA,LAR,3.26,1.68,0.31,0.26,,,,,,,,,,0.26,0.44,,,7.78,57,18,13.20,5.42
Barrett Carter,2574025,LB,CIN,@MIA,4.89,1.78,,0.2,,0.07,0.07,,,,,,,0.13,0.07,,,9.38,28,19,12.93,3.55
Ernest Jones,2566229,LB,SEA,LAR,4.39,3.83,,0.17,0.06,0.06,,,,,,,,0.23,0.17,0.79,,10.24,20,20,12.30,2.06
Divine Deablo,2566253,LB,ATL,@ARI,3.91,2.41,0.08,0.3,,,0.08,,,,,,,0.15,0.3,,,8.53,46,21,12.20,3.67
T.J. Edwards,2562648,LB,CHI,GB,4.59,3.47,0.18,0.59,0.06,0.06,0.12,,,,,,,0.24,0.41,,,11.56,5,22,12.00,0.44
Foye Oluokun,2561132,LB,JAX,@DEN,3.96,3.05,0.11,0.48,0.05,0.05,0.11,,,,,,,0.32,0.37,1.02,,10.19,21,23,12.00,1.81
Quincy Williams,2562954,LB,NYJ,@NO,4.03,2.36,0.12,0.69,,0.12,0.12,,,,,,,0.29,0.23,,,10.12,25,24,12.00,1.88
Jack Gibbens,2568810,LB,NE,@BAL,2.51,2.18,0.08,0.25,,,,,,,,,,0.08,0.17,,,5.89,78,25,11.70,5.81
Tatum Bethune,2572489,LB,SF,@IND,3.71,3.49,0.07,0.15,0.07,0.07,0.07,,,,,,,0.22,,0.44,,9.15,35,26,11.50,2.35
Matt Milano,2557969,LB,BUF,@CLE,3.36,1.38,0.15,0.31,0.15,,0.15,,,,,,,0.46,0.15,,,8.53,47,27,11.50,2.97
Alex Singleton,2553739,LB,DEN,JAX,5.22,3.97,0.07,0.28,,,0.07,,,,,,,0.21,0.21,,,11.47,7,28,11.40,-0.07
Drue Tranquill,2562765,LB,KC,@TEN,3.11,2.13,0.22,0.27,,0.05,0.11,,,,,,,0.11,0.44,,,7.57,60,29,11.30,3.73
Alex Highsmith,2564982,LB,PIT,@DET,2.83,2.06,0.77,0.86,,0.17,,,,,,,,0.34,1.89,,,10.70,16,30,11.20,0.5
Andrew Van Ginkel,2562768,LB,MIN,@NYG,3,1.24,0.53,0.71,0.06,0.06,,,,,,,,0.35,1.06,1.41,,9.24,31,31,11.20,1.96
Akeem Davis-Gaither,2563728,LB,ARI,ATL,3.96,1.98,0.06,0.18,0.06,0.06,0.06,,,,,,,0.18,0.18,,,8.54,45,32,11.10,2.56
Christian Rozeboom,2564394,LB,CAR,TB,4.47,3.24,0.06,0.24,0.06,,,,,,,,,0.24,0.06,0.47,,9.98,26,33,10.90,0.92
Demario Davis,2533008,LB,NO,NYJ,3.59,3.23,0.06,0.24,,,,,,,,,,0.35,0.18,,,8.77,42,34,10.60,1.83
Claudin Cherelus,2570617,LB,CAR,TB,2.74,1.78,,0.14,,,,,,,,,,,,,,5.39,88,35,10.20,4.81
Alex Anzalone,2558163,LB,DET,PIT,4.26,2.23,0.13,0.39,0.07,,0.07,,,,,,,0.39,0.52,,,10.12,24,36,10.00,-0.12
K'Lavon Chaisson,2564166,LB,NE,@BAL,0.82,0.35,,,,,,,,,,,,,,,,1.44,162,37,10.00,8.56
Cody Simon,2574488,LB,ARI,ATL,3.09,3.71,,0.31,,0.21,0.1,,,,,,,,0.1,,,8.21,52,38,10.00,1.79
Devin Bush,2562243,LB,CLE,BUF,3.92,3.15,0.12,0.36,,,,,,,,,,0.12,0.36,,,9.03,38,39,9.90,0.87
Tyrel Dodson,2562560,LB,MIA,CIN,4.1,3.76,0.06,0.29,0.12,0.06,,,,,,,,0.46,0.17,0.29,,10.84,13,40,9.80,-1.04
Denzel Perryman,2552310,LB,LAC,@DAL,2.18,0.88,0.06,0.24,,,,,,,,,,0.06,0.18,,,4.52,98,41,9.70,5.18
Germaine Pratt,2562702,LB,IND,SF,3.45,2.9,0.06,0.28,0.11,0.11,0.06,,,,,,,0.33,0.17,0.72,,9.22,32,42,9.70,0.48
Frankie Luvu,2561366,LB,WAS,PHI,2.78,2.19,0.32,0.59,0.05,0.05,0.05,,,,,,,0.32,0.54,,,8.48,48,43,9.30,0.82
Zaven Collins,2566421,LB,ARI,ATL,2.57,1.07,0.21,0.43,,0.07,,,,,,,,0.29,0.43,,,6.75,70,44,9.00,2.25
Nate Landman,2568519,LB,LAR,@SEA,4.21,3.36,0.07,0.29,,0.21,0.07,,,,,,,0.14,0.14,,,10.13,23,45,8.80,-1.33
