PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Cooper DeJean,2572375,DB,PHI,@WAS,3.44,1.48,0.08,0.31,0.08,0.08,0.16,,,,,,,0.55,0.16,2.11,,8.92,28,1,21.37,12.45
Jordan Poyer,2539290,DB,BUF,@CLE,2.51,1.05,,,,,,,,,,,,,0.06,,,4.43,136,2,21.33,16.9
Riley Moss,2569723,DB,DEN,JAX,2.02,0.96,,,,,,,,,,,,0.38,,,,4.56,135,3,18.60,14.04
Kyle Dugger,2564601,DB,PIT,@DET,3.82,0.93,0.1,0.41,0.1,0.1,,,,,,,,0.21,0.21,,,8.43,42,4,17.60,9.17
Marlon Humphrey,2558067,DB,BAL,NE,3.06,1.02,,0.18,0.18,0.06,,,,,,,,0.54,0.12,1.5,,7.77,59,5,17.50,9.73
Josh Wallace,2573749,DB,LAR,@SEA,,,,,,,,,,,,,,,,,,0.00,605,6,16.87,16.87
Derek Stingley Jr.,2567694,DB,HOU,LV,1.94,0.77,,0.12,0.24,,,,,,,,,0.88,,1.71,,6.65,93,7,16.63,9.98
Tyler Nubin,2572345,DB,NYG,MIN,3.75,2.96,,0.28,,0.11,0.06,,,,,,,0.17,,,,8.69,33,8,15.60,6.91
Thomas Harper,2573421,DB,DET,PIT,2.95,1.56,,,,,,,,,,,,0.17,,,,5.79,113,9,15.30,9.51
Shavon Revel Jr.,2574081,DB,DAL,LAC,,,,,,,,,,,,,,,,,,0.00,530,10,15.10,15.1
Camryn Bynum,2566295,DB,IND,SF,4.62,1.62,,0.11,0.17,0.06,0.11,,,,,,,0.45,,0.78,,10.13,18,11,14.97,4.84
Jordan Battle,2569648,DB,CIN,@MIA,4.1,2.67,0.06,0.25,0.12,,0.06,0.06,,,,,,0.44,,3.98,,10.20,15,12,14.90,4.7
Ji'Ayir Brown,2570287,DB,SF,@IND,2.94,1.56,,0.19,0.13,,,,,,,,,0.44,,0.75,,7.21,74,13,14.90,7.69
Nick Scott,2562905,DB,CAR,TB,1.68,1.26,,,,,,,,,,,,0.18,,,,3.73,154,14,14.10,10.37
Jonas Sanker,2574405,DB,NO,NYJ,4.46,1.22,,0.2,0.07,,0.07,,,,,,,0.14,,,,8.39,44,15,13.97,5.58
Dadrion Taylor-Demerson,2572432,DB,ARI,ATL,2.8,2.3,,0.1,0.2,0.1,,,,,,,,0.7,,3.7,,8.65,34,16,13.60,4.95
Kamari Lassiter,2572102,DB,HOU,LV,2.64,1.14,,0.18,0.12,,,,,,,,,0.54,,0.84,,6.71,90,17,13.40,6.69
Javon Bullard,2572027,DB,GB,@CHI,2.46,0.91,,0.06,,0.06,,,,,,,,0.13,,,,4.86,130,18,13.00,8.14
Chamarri Conner,2569927,DB,KC,@TEN,4.36,1.45,0.09,0.3,0.12,0.12,0.06,,,,,,,0.36,0.36,2.85,,10.12,19,19,13.00,2.88
Christian Gonzalez,2570122,DB,NE,@BAL,2.94,0.65,0.06,0.06,0.18,,0.06,0.06,,,,,,0.71,0.12,4.06,,7.91,55,20,13.00,5.09
Nick Emmanwori,2574558,DB,SEA,LAR,2.21,1.79,0.07,0.14,0.14,0.07,,,,,,,,0.29,0.21,,,6.30,105,21,12.90,6.6
Malachi Moore,2574444,DB,NYJ,@NO,2.38,2.06,,0.16,0.05,,,,,,,,,0.16,,0.92,,5.65,117,22,12.80,7.15
Alohi Gilman,2565042,DB,BAL,NE,5.19,1.42,0.08,0.16,0.16,,,,,,,,,0.47,,3.22,,10.88,7,23,12.70,1.82
Alontae Taylor,2567979,DB,NO,NYJ,3.41,1.35,0.12,0.35,0.06,0.06,,,,,,,,0.82,0.24,0.65,,9.30,24,24,12.70,3.4
Kristian Fulton,2564046,DB,KC,@TEN,2.33,0.67,,0.13,0.07,,,,,,,,,0.33,,1.2,,5.20,124,25,12.30,7.1
Joey Porter Jr.,2570251,DB,PIT,@DET,2.81,0.9,,0.11,0.11,,,,,,,,,0.56,,1.91,,6.77,86,26,12.20,5.43
Budda Baker,2558009,DB,ARI,ATL,4.68,2.28,0.06,0.36,0.06,0.06,,,,,,,,0.3,0.18,0.84,,10.34,13,27,12.10,1.76
Jalen Pitre,2567688,DB,HOU,LV,4,2,0.08,0.4,0.08,0.08,,,,,,,,0.8,0.24,0.88,,10.67,10,28,12.10,1.43
Mike Jackson,2562434,DB,CAR,TB,3.47,0.94,,0.12,0.12,,,,,,,,,0.88,,0.82,,8.60,37,29,12.00,3.4
Jarrian Jones,2572144,DB,JAX,@DEN,3,0.76,0.06,0.12,0.12,,,,,,,,,0.71,0.18,1.71,,7.60,62,30,12.00,4.4
Mike Sainristil,2572582,DB,WAS,PHI,2.7,1.38,,0.05,0.05,0.05,0.05,,,,,,,0.64,,0.9,,6.98,76,31,12.00,5.02
Devon Witherspoon,2570323,DB,SEA,LAR,3.87,1.67,0.1,0.33,0.07,0.07,,,,,,,,,,,,7.99,53,32,11.90,3.91
Jaylinn Hawkins,2563500,DB,NE,@BAL,3.41,1.27,,0.18,0.04,0.04,,,,,,,,0.18,,1.14,,6.92,77,33,11.80,4.88
Carlton Davis III,2561039,DB,NE,@BAL,2.29,0.71,,0.12,0.12,0.06,0.06,,,,,,,0.65,,0.94,,6.39,102,34,11.70,5.31
Jalen Davis,2561316,DB,CIN,@MIA,,,,,,,,,,,,,,,,,,0.00,324,35,11.70,11.7
Qwan'tez Stiggers,2572369,DB,NYJ,@NO,0.86,0.65,,,,,0.07,,,,,,,0.14,,,,2.10,193,36,11.70,9.6
Derwin James,2560760,DB,LAC,@DAL,3.42,1.86,0.18,0.48,0.12,,0.06,,,,,,,0.42,0.36,0.3,,9.05,25,37,11.60,2.55
Kyle Hamilton,2567274,DB,BAL,NE,4.54,2.06,0.12,0.18,0.12,0.06,0.06,0.06,,,,,,0.59,0.29,2.18,,11.18,5,38,11.50,0.32
Upton Stout,2574548,DB,SF,@IND,1.66,0.74,,,0.06,,,,,,,,,0.29,,1.03,,3.90,146,39,11.30,7.4
C.J. Henderson,2564199,DB,ATL,@ARI,,,,,,,,,,,,,,,,,,0.00,385,40,11.10,11.1
Jonathan Jones,2556571,DB,WAS,PHI,1.82,0.37,,,0.05,0.05,,,,,,,,0.23,,0.51,,3.89,147,41,11.10,7.21
D.J. Reed,2560850,DB,DET,PIT,3.47,0.98,,0.26,0.13,0.07,,,,,,,,0.79,0.07,0.46,,8.91,29,42,11.10,2.19
Ar'Darius Washington,2566632,DB,BAL,NE,1.74,0.79,0.16,0.16,0.16,0.16,,,,,,,,0.48,,1.9,,6.03,108,43,11.00,4.97
Nahshon Wright,2566022,DB,CHI,GB,2.74,0.94,,0.17,0.17,,,0.09,,,,,,0.26,,9.51,,6.85,82,44,11.00,4.15
Josh Jobe,2568087,DB,SEA,LAR,2.04,0.53,,,0.06,,,,,,,,,0.47,,1.4,,4.81,131,45,10.70,5.89
Darrell Luter Jr.,2570305,DB,SF,@IND,1.2,1.4,,,,,,,,,,,,,,,,2.64,180,46,10.60,7.96
