PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Puka Nacua,2570026,WR,LAR,@SEA,,,,4.43,0.03,7.35,100.18,0.49,,,,0.07,17.12,2,1,40.50,23.38
Chris Olave,2567973,WR,NO,NYJ,,,,0.38,,5.4,70.13,0.4,,,,0.07,12.01,14,2,31.80,19.79
George Pickens,2568159,WR,DAL,LAC,,,,0.62,,4.81,77.83,0.48,,,,0.07,12.99,8,3,24.00,11.01
Parker Washington,2569888,WR,JAX,@DEN,,,,1.82,0.02,2.72,36.21,0.26,,,,0.04,6.76,58,4,23.50,16.74
Alec Pierce,2567715,WR,IND,SF,,,,,,2.31,42.15,0.25,,,,0.02,6.83,55,5,22.60,15.77
Jaxon Smith-Njigba,2570341,WR,SEA,LAR,,,,1.21,0.01,6.41,98.09,0.58,,,,0.07,16.54,3,6,19.60,3.06
DJ Moore,2560813,WR,CHI,GB,,,,5.04,0.05,3.94,47.23,0.33,,,,0.05,9.38,33,7,19.40,10.02
Quentin Johnston,2570275,WR,LAC,@DAL,,,,0.75,0.01,3.25,46.05,0.41,,,,0.12,8.59,39,8,18.40,9.81
Stefon Diggs,2552608,WR,NE,@BAL,,,,0.21,,4.53,55.64,0.32,,,,0.06,9.65,28,9,18.30,8.65
Zay Flowers,2569573,WR,BAL,NE,,,,2.64,0.02,4.77,67.13,0.37,,,,0.07,11.56,20,10,17.70,6.14
Courtland Sutton,2560888,WR,DEN,JAX,,,,,,4.24,61.6,0.48,,,,0.06,11.04,21,11,17.60,6.56
Romeo Doubs,2567586,WR,GB,@CHI,,,,0.14,,2.89,38.57,0.34,,,,0.06,7.24,48,12,16.90,9.66
Tetairoa McMillan,2573992,WR,CAR,TB,,,,0.53,0.01,4.71,70.37,0.48,,,,0.06,12.27,12,13,16.30,4.03
Jauan Jennings,2565114,WR,SF,@IND,,,,,,4.15,57.39,0.5,,,,0.09,10.63,23,14,15.60,4.97
Ja'Marr Chase,2565941,WR,CIN,@MIA,,,,1.95,0.01,6.79,83.43,0.63,,,,0.06,15.65,4,15,15.40,-0.25
Kalif Raymond,2556661,WR,DET,PIT,,,,0.27,,1.04,13.25,0.07,0.07,,,0.08,2.55,104,16,14.20,11.65
A.J. Brown,2562238,WR,PHI,@WAS,,,,0.15,,4.71,74.98,0.62,,,,0.06,13.47,7,17,14.00,0.53
DeVonta Smith,2566409,WR,PHI,@WAS,,,,0.14,,4.54,67.05,0.46,,,,0.06,11.63,19,18,13.20,1.57
Isaac TeSlaa,2574120,WR,DET,PIT,,,,0.23,,1.01,13.3,0.15,,,,0.01,2.74,99,19,13.20,10.46
Tee Higgins,2563731,WR,CIN,@MIA,,,,0.36,,4.36,60.04,0.67,,,,0.06,12.12,13,20,12.80,0.68
Ladd McConkey,2572477,WR,LAC,@DAL,,,,0.54,,4.66,65.49,0.5,,,,0.05,11.83,16,21,12.30,0.47
Michael Wilson,2570224,WR,ARI,ATL,,,,0.35,,4.95,65.4,0.47,,,,0.06,11.75,17,22,12.20,0.45
Mike Evans,2543468,WR,TB,@CAR,,,,,,4.3,68.1,0.59,,,,0.06,12.38,10,23,11.60,-0.78
Kyle Williams,2574387,WR,NE,@BAL,,,,0.11,,0.25,3.91,0.03,,,,,0.71,130,24,11.60,10.89
Chimere Dike,2574147,WR,TEN,KC,,,,2.48,0.02,3.54,34.54,0.24,,,,0.04,6.95,52,25,11.50,4.55
Justin Jefferson,2564556,WR,MIN,@NYG,,,,0.25,,4.28,63.52,0.4,,,,0.05,10.82,22,26,11.50,0.68
