PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Trevor Lawrence,2566163,QB,JAX,@DEN,223.48,1.46,0.77,19.86,0.36,,,,,0.01,,0.6,16.25,17,1,31.16,14.91
Matthew Stafford,79860,QB,LAR,@SEA,228.16,1.92,0.66,5.86,0.05,,,,,0.01,,0.3,15.83,18,2,30.88,15.05
Justin Herbert,2565045,QB,LAC,@DAL,260.18,2.1,0.69,26.39,0.12,,,,,0.01,,0.38,20.09,3,3,29.20,9.11
Joe Burrow,2563722,QB,CIN,@MIA,243.12,2.09,0.66,10.87,0.08,,,,,0.01,,0.48,17.43,10,4,28.96,11.53
Brock Purdy,2568216,QB,SF,@IND,260.57,1.78,0.93,21.1,0.26,,,,,0.01,,0.34,18.73,5,5,28.90,10.17
Jared Goff,2555334,QB,DET,PIT,257.45,1.9,0.68,6.91,0.05,,,,,0.01,,0.47,16.65,15,6,26.46,9.81
Drake Maye,2572294,QB,NE,@BAL,243.67,1.6,0.76,32.12,0.26,,,,,0.01,,0.62,18.22,7,7,22.47,4.25
Caleb Williams,2571913,QB,CHI,GB,190.53,1.31,0.52,21.86,0.19,,,,,0.01,,0.59,14.03,24,8,21.00,6.97
Sam Darnold,2561036,QB,SEA,LAR,234.37,1.5,0.83,11.24,0.09,,,,,0.01,,0.49,14.46,23,9,19.50,5.04
Dak Prescott,2555260,QB,DAL,LAC,262.71,1.95,0.88,13.54,0.12,,,,,0.01,,0.52,17.64,8,10,19.16,1.52
Jalen Hurts,2564832,QB,PHI,@WAS,232.58,1.82,0.57,32.52,0.55,,,,,0.01,,0.55,20.96,2,11,18.40,-2.56
Cam Ward,2574164,QB,TEN,KC,185.07,1.13,0.73,10.46,0.09,,,,,0.01,,0.62,10.87,31,12,18.02,7.15
Bryce Young,2569606,QB,CAR,TB,219.41,1.61,0.73,17.95,0.19,,,,,0.01,,0.6,15.55,20,13,17.64,2.09
Kirk Cousins,2532820,QB,ATL,@ARI,228.03,1.6,0.69,4.2,0.03,,,,,0.02,,0.94,12.98,26,14,17.55,4.57
Tyler Shough,2574406,QB,NO,NYJ,209.5,1.33,0.68,35.71,0.39,,,,,0.01,,0.61,17.09,13,15,17.12,0.03
Aaron Rodgers,2506363,QB,PIT,@DET,246.27,2.02,0.62,7.91,0.09,,,,,0.01,,0.36,17.36,11,16,15.54,-1.82
Bo Nix,2572003,QB,DEN,JAX,199.35,1.61,0.7,25.38,0.25,,,,,0.01,,0.42,16.27,16,17,15.18,-1.09
Philip Rivers,2506121,QB,IND,SF,170.22,1.33,0.67,3.49,0.03,,,,,,,,11.32,30,18,15.08,3.76
Geno Smith,2539335,QB,LV,@HOU,205.4,1.36,0.87,9.86,0.09,,,,,0.01,,0.32,12.86,27,19,14.04,1.18
Baker Mayfield,2560800,QB,TB,@CAR,248.17,2.06,0.71,24.64,0.15,,,,,0.01,,0.62,18.93,4,20,12.70,-6.23
Malik Willis,2567667,QB,GB,@CHI,,,,,,,,,,,,,0.00,124,21,11.24,11.24
Shedeur Sanders,2574063,QB,CLE,BUF,212.15,1.22,0.98,9.37,0.09,,,,,0.01,,0.57,11.80,29,22,11.18,-0.62
Jacoby Brissett,2555261,QB,ARI,ATL,247.2,2.06,0.6,14.21,0.11,,,,,0.01,,0.72,17.63,9,23,10.62,-7.01
C.J. Stroud,2569819,QB,HOU,LV,239.7,1.52,0.59,14.09,0.08,,,,,0.01,,0.43,15.58,19,24,10.11,-5.47
J.J. McCarthy,2572270,QB,MIN,@NYG,202.17,1.69,0.98,23.45,0.21,,,,,0.01,,0.51,15.53,21,25,8.32,-7.21
Josh Allen,2560955,QB,BUF,@CLE,219.15,1.85,0.68,35.36,0.64,,,,,0.01,,0.5,21.24,1,26,6.90,-14.34
Quinn Ewers,2574321,QB,MIA,CIN,202.61,0.99,0.78,14.15,0.11,,,,,0.01,,0.38,11.88,28,27,6.90,-4.98
Lamar Jackson,2560757,QB,BAL,NE,214.68,2.08,0.56,29.56,0.17,,,,,0.01,,0.57,18.68,6,28,4.74,-13.94
Brady Cook,2574435,QB,NYJ,@NO,184.56,1.25,1,13.22,0.11,,,,,0.02,,0.99,10.50,32,29,3.72,-6.78
Marcus Mariota,2552466,QB,WAS,PHI,196.43,1.42,0.79,33.34,0.24,,,,,0.02,,0.9,15.05,22,30,3.70,-11.35
Chris Oladokun,2568153,QB,KC,@TEN,,,,,,,,,,,,,0.00,93,31,3.14,3.14
Tyler Huntley,2563560,QB,BAL,NE,,,,,,,,,,,,,0.00,69,32,2.80,2.8
Max Brosmer,2574340,QB,MIN,@NYG,,,,,,,,,,,,,0.00,42,33,1.78,1.78
Jordan Love,2564007,QB,GB,@CHI,234.43,1.85,0.69,17.9,0.12,,,,,0.01,,0.4,17.17,12,34,1.68,-15.49
Gardner Minshew,2562796,QB,KC,@TEN,217.6,1.39,0.74,15.02,0.14,,,,,0.02,,0.92,13.41,25,35,1.40,-12.01
Joe Flacco,382,QB,CIN,@MIA,,,,,,,,,,,,,0.00,56,36,0.16,0.16
Jaxson Dart,2574419,QB,NYG,MIN,208.3,1.43,0.72,24.98,0.44,,,,,0.01,,0.48,16.85,14,37,0.02,-16.83
Brandon Allen,2555365,QB,TEN,KC,,,,,,,,,,,,,0.00,33,38,0.00,0.0
Kyle Allen,2561177,QB,DET,PIT,,,,,,,,,,,,,0.00,34,39,0.00,0.0
Tyson Bagent,2570467,QB,CHI,GB,,,,,,,,,,,,,0.00,35,40,0.00,0.0
Connor Bazelak,2574581,QB,TB,@CAR,,,,,,,,,,,,,0.00,36,41,0.00,0.0
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,37,42,0.00,
Stetson Bennett,2569939,QB,LAR,@SEA,,,,,,,,,,,,,0.00,38,43,0.00,0.0
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,39,44,0.00,
Carter Bradley,2573208,QB,JAX,@DEN,,,,,,,,,,,,,0.00,40,45,0.00,0.0
Teddy Bridgewater,2543465,QB,TB,@CAR,,,,,,,,,,,,,0.00,41,46,0.00,0.0
Jake Browning,2562634,QB,CIN,@MIA,,,,,,,,,,,,,0.00,43,47,0.00,0.0
Shane Buechele,2566983,QB,BUF,@CLE,,,,,,,,,,,,,0.00,44,48,0.00,0.0
Sean Clifford,2569762,QB,CIN,@MIA,,,,,,,,,,,,,0.00,45,49,0.00,0.0
Andy Dalton,2495143,QB,CAR,TB,,,,,,,,,,,,,0.00,46,50,0.00,0.0
Jayden Daniels,2572564,QB,WAS,PHI,,,,,,,,,,,,,0.00,47,51,0.00,0.0
Hunter Dekkers,2574397,QB,NO,NYJ,,,,,,,,,,,,,0.00,48,52,0.00,0.0
Tommy DeVito,2570578,QB,NE,@BAL,,,,,,,,,,,,,0.00,49,53,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,50,54,0.00,
Joshua Dobbs,2558167,QB,NE,@BAL,,,,,,,,,,,,,0.00,51,55,0.00,0.0
Jeff Driskel,2555262,QB,WAS,PHI,,,,,,,,,,,,,0.00,52,56,0.00,0.0
Sam Ehlinger,2566142,QB,DEN,JAX,,,,,,,,,,,,,0.00,53,57,0.00,0.0
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,54,58,0.00,
Justin Fields,2565920,QB,NYJ,@NO,,,,,,,,,,,,,0.00,55,59,0.00,0.0
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,57,60,0.00,
Dillon Gabriel,2574045,QB,CLE,BUF,,,,,,,,,,,,,0.00,58,61,0.00,0.0
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,59,62,0.00,
Jimmy Garoppolo,2543801,QB,LAR,@SEA,,,,,,,,,,,,,0.00,60,63,0.00,0.0
Will Grier,2562404,QB,DAL,LAC,,,,,,,,,,,,,0.00,61,64,0.00,0.0
Jake Haener,2570131,QB,NO,NYJ,,,,,,,,,,,,,0.00,62,65,0.00,0.0
Sam Hartman,2573599,QB,WAS,PHI,,,,,,,,,,,,,0.00,63,66,0.00,0.0
Taylor Heinicke,2553656,QB,FA,Bye,,,,,,,,,,,,,,64,67,0.00,
