PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Kobie Turner,2569954,DL,LAR,@SEA,1.88,1.65,0.47,0.53,,0.06,,,,,,,,0.18,0.88,,,6.65,12,1,17.03,10.38
Jeffery Simmons,2562733,DL,TEN,KC,1.23,1.18,0.22,0.44,,0.05,0.05,,,,,,,0.15,0.44,,,4.47,47,2,15.60,11.13
Cameron Jordan,2495184,DL,NO,NYJ,1.12,0.76,0.18,0.35,,,,,,,,,,0.18,0.41,,,3.68,65,3,15.50,11.82
Greg Rousseau,2565875,DL,BUF,@CLE,1.74,0.62,0.39,0.84,,0.11,0.06,,,,,,,0.23,1.29,,,6.69,10,4,15.10,8.41
Chauncey Golston,2566007,DL,NYG,MIN,1.64,1.07,0.21,0.14,,,,,,,,,,0.21,0.5,,,4.51,46,5,14.20,9.69
Jonathan Allen,2557844,DL,MIN,@NYG,1.91,0.79,0.39,0.45,,,,,,,,,,0.06,0.9,,,5.39,27,6,13.90,8.51
Aidan Hutchinson,2567547,DL,DET,PIT,1.62,0.94,0.78,0.56,0.06,0.12,0.06,,,,,,,0.5,1.69,,,8.18,1,7,12.50,4.32
D.J. Jones,2558265,DL,DEN,JAX,1.35,1.13,0.11,0.11,,0.06,0.06,,,,,,,0.11,0.17,,,3.72,64,8,12.40,8.68
Laiatu Latu,2572123,DL,IND,SF,1.29,1,0.32,0.35,,0.18,0.06,,,,,,,0.12,0.94,,,5.16,33,9,12.00,6.84
Nathan Shepherd,2560873,DL,NO,NYJ,0.59,0.29,0.12,0.12,,,0.06,,,,,,,0.12,0.18,,,1.93,131,10,11.60,9.67
DeMarcus Lawrence,2543490,DL,SEA,LAR,1.6,1.03,0.31,0.46,,0.11,,,,,,,,0.23,0.63,,,5.60,22,11,11.10,5.5
