PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
George Kittle,2558266,TE,SF,@IND,,,,,,5.26,68.64,0.52,,,,0.07,12.47,2,1,21.00,8.53
Harold Fannin Jr.,2574043,TE,CLE,BUF,,,,1.75,0.02,4.79,53.65,0.34,,,,0.06,9.98,5,2,18.10,8.12
Kyle Pitts,2565830,TE,ATL,@ARI,,,,,,4.82,55.81,0.43,,,,0.05,10.47,4,3,15.20,4.73
Chig Okonkwo,2567658,TE,TEN,KC,,,,0.11,,2.77,25.21,0.07,,,,0.04,4.26,32,4,13.40,9.14
Taysom Hill,2558954,TE,NO,NYJ,,,,8.97,0.1,0.68,5.94,0.04,,,,0.02,2.63,44,5,13.32,10.69
AJ Barner,2572513,TE,SEA,LAR,,,,2.55,0.03,3.42,32.93,0.32,,,,0.04,7.28,19,6,13.00,5.72
Juwan Johnson,2564676,TE,NO,NYJ,,,,,,4.46,48.18,0.31,,,,0.05,8.81,9,7,12.90,4.09
Elijah Higgins,2570068,TE,ARI,ATL,,,,,,1.24,11.85,0.08,,,,0.01,2.27,47,8,12.60,10.33
Hunter Henry,2555341,TE,NE,@BAL,,,,,,3.49,42.58,0.34,,,,0.07,7.90,15,9,12.50,4.6
Brenton Strange,2569912,TE,JAX,@DEN,,,,,,4.34,47.6,0.22,,,,0.05,8.15,13,10,12.40,4.25
Dalton Schultz,2560866,TE,HOU,LV,,,,,,4.44,45.19,0.28,,,,0.11,8.20,12,11,12.00,3.8
Brock Bowers,2572219,TE,LV,@HOU,,,,0.15,,5.35,56.25,0.42,,,,0.04,10.76,3,12,11.80,1.04
Mike Gesicki,2560994,TE,CIN,@MIA,,,,,,2.72,26.24,0.19,,,,0.03,5.06,26,13,11.00,5.94
Terrance Ferguson,2574267,TE,LAR,@SEA,,,,,,1.37,19.68,0.16,,,,0.02,3.57,40,14,10.80,7.23
Dallas Goedert,2560995,TE,PHI,@WAS,,,,0.07,,3.98,46.7,0.45,,,,0.07,9.23,6,15,10.70,1.47
Ja'Tavion Sanders,2571892,TE,CAR,TB,,,,,,2.08,18.76,0.14,,,,0.02,3.72,38,16,7.90,4.18
Anthony Firkser,2558942,TE,DET,PIT,,,,,,0.7,6.89,0.05,,,,,1.34,61,17,6.00,4.66
Stone Smartt,2569227,TE,NYJ,@NO,,,,,,0.43,4.65,0.03,,,,,0.86,68,18,5.90,5.04
Darren Waller,2552408,TE,MIA,CIN,,,,,,3.5,40.1,0.39,,,,0.04,8.02,14,19,5.50,-2.52
Luke Musgrave,2569780,TE,GB,@CHI,,,,,,2.02,21.12,0.13,,,,0.02,3.86,37,20,5.30,1.44
Jake Tonges,2567439,TE,SF,@IND,,,,,,0.13,1.44,0.02,,,,,0.33,80,21,5.20,4.87
Shane Zylstra,2567172,TE,DET,PIT,,,,,,1.13,11.18,0.08,,,,0.02,2.12,49,22,5.00,2.88
Trey McBride,2568117,TE,ARI,ATL,,,,0.54,0.01,7,72.97,0.58,,,,0.07,14.25,1,23,4.70,-9.55
Evan Engram,2557858,TE,DEN,JAX,,,,,,2.45,21.24,0.15,,,,0.04,4.17,33,24,4.60,0.43
Colston Loveland,2574014,TE,CHI,GB,,,,0.1,,4.11,43.38,0.33,,,,0.06,8.26,11,25,4.50,-3.76
Tyler Warren,2574204,TE,IND,SF,,,,1.34,0.01,4.36,45.52,0.34,,,,0.13,8.71,10,26,4.50,-4.21
Davis Allen,2570017,TE,LAR,@SEA,,,,,,1.26,11.04,0.12,,,,0.01,2.43,46,27,4.40,1.97
Austin Hooper,2555415,TE,NE,@BAL,,,,,,0.99,10.55,0.07,,,,0.01,1.95,53,28,4.40,2.45
Will Dissly,2561046,TE,LAC,@DAL,,,,,,0.58,5.99,0.05,,,,0.01,1.17,64,29,4.30,3.13
Greg Dulcich,2567520,TE,MIA,CIN,,,,,,0.97,11.38,0.08,,,,0.01,2.08,51,30,4.10,2.02
Drew Sample,2562720,TE,CIN,@MIA,,,,,,0.52,3.88,0.04,,,,0.01,0.87,66,31,4.10,3.23
Pat Freiermuth,2566442,TE,PIT,@DET,,,,,,2.22,24.6,0.25,,,,0.04,4.99,27,32,4.00,-0.99
Mitchell Evans,2573978,TE,CAR,TB,,,,0.01,,0.85,8.61,0.07,,,,0.01,1.69,57,33,3.80,2.11
Jackson Hawes,2573962,TE,BUF,@CLE,,,,,,0.82,9.42,0.1,,,,0.01,1.93,54,34,3.60,1.67
Mark Andrews,2560957,TE,BAL,NE,,,,1.65,0.02,3.05,34.34,0.44,,,,0.06,7.76,16,35,3.40,-4.36
Jake Ferguson,2567496,TE,DAL,LAC,,,,,,4.41,36.2,0.33,,,,0.07,7.67,17,36,3.40,-4.27
Colby Parkinson,2565180,TE,LAR,@SEA,,,,,,3.34,33.1,0.41,,,,0.04,7.36,18,37,3.10,-4.26
Darnell Washington,2570257,TE,PIT,@DET,,,,,,2.66,32.23,0.19,,,,0.03,5.63,24,38,3.10,-2.53
Josh Oliver,2562693,TE,MIN,@NYG,,,,,,0.98,9.81,0.06,,,,0.01,1.81,56,39,2.90,1.09
Jonnu Smith,2558207,TE,PIT,@DET,,,,0.32,,1.81,18.55,0.19,,,,0.03,3.87,36,40,2.80,-1.07
Mo Alie-Cox,2558832,TE,IND,SF,,,,,,0.31,3.56,0.03,,,,,0.69,70,41,2.60,1.91
Eric Saubert,2558023,TE,SEA,LAR,,,,,,0.22,2.07,0.02,,,,,0.44,76,42,2.60,2.16
Cade Otton,2568312,TE,TB,@CAR,,,,,,2.83,29.4,0.21,,,,0.03,5.56,25,43,2.50,-3.06
Cole Kmet,2563704,TE,CHI,GB,,,,,,2.52,24.1,0.2,,,,0.1,4.67,30,44,2.40,-2.27
Jeremy Ruckert,2568042,TE,NYJ,@NO,,,,,,2.89,23.9,0.18,,,,0.03,4.86,29,45,2.40,-2.46
Adam Trautman,2564703,TE,DEN,JAX,,,,,,0.63,6.71,0.06,,,,0.01,1.33,62,46,2.40,1.07
Charlie Kolar,2567280,TE,BAL,NE,,,,0.13,,0.81,9.65,0.1,,,,0.01,1.96,52,47,2.30,0.34
Gunnar Helm,2574152,TE,TEN,KC,,,,0.1,,3.2,25.49,0.13,,,,0.03,4.88,28,48,1.90,-2.98
Cade Stover,2572105,TE,HOU,LV,,,,1.84,0.02,0.71,6.83,0.05,,,,0.01,1.62,58,49,1.70,0.08
Andrew Ogletree,2567712,TE,IND,SF,,,,,,0.1,1.2,0.01,,,,,0.23,82,50,1.60,1.37
Dawson Knox,2562681,TE,BUF,@CLE,,,,,,1.93,23.25,0.23,,,,0.03,4.61,31,51,1.50,-3.11
Carter Runyon,2574308,TE,LV,@HOU,,,,,,,,,,,,,0.00,186,52,1.50,1.5
Brevyn Spann-Ford,2573064,TE,DAL,LAC,,,,,,0.24,2.38,0.02,,,,,0.48,75,53,1.50,1.02
Charlie Woerner,2565129,TE,ATL,@ARI,,,,,,0.73,6.8,0.06,,,,0.01,1.39,60,54,1.40,0.01
Oronde Gadsden II,2574511,TE,LAC,@DAL,,,,0.13,,4,51.71,0.29,,,,0.04,8.84,8,55,1.20,-7.64
Luke Farrell,2566160,TE,SF,@IND,,,,,,0.47,4.93,0.05,,,,0.01,1.01,65,56,1.10,0.09
