PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Andrew Van Ginkel,2562768,LB,MIN,@DAL,2,2,0.5,,,,,,,,,,,,4,,,60,7.20
Yaya Diaby,2570344,LB,TB,ATL,2,2,,1,,,,,,,,,,,2,,,61,6.70
Demario Davis,2533008,LB,NO,CAR,4,1,,,,,,,,,,,,,,,,62,6.60
Jaylen Harrell,2572066,LB,TEN,@SF,1,1,1,1,,,,,,,,,,,2,,,63,6.60
Dee Winters,2570296,LB,SF,TEN,2,3,,1,,,,,,,,,,,,,,64,6.30
Harold Landry III,2560784,LB,NE,BUF,1,1,1,1,,,,,,,,,,,1,,,65,6.10
Nolan Smith,2570212,LB,PHI,LV,1,1,1,1,,,,,,,,,,,1,,,66,6.10
Dondrea Tillman,2573875,LB,DEN,GB,1,1,1,1,,,,,,,,,,,1,,,67,6.10
Sam Kamara,2566746,LB,CLE,@CHI,2,,,2,,,,,,,,,,,,,,68,6.00
Bobby Okereke,2562416,LB,NYG,WAS,2,5,,,,,,,,,,,,,,,,69,6.00
Jaelan Phillips,2566289,LB,PHI,LV,,,,,,,,,,,,,,2,2,,,70,6.00
Tavius Robinson,2569567,LB,BAL,@CIN,1,,1,1,,,,,,,,,,,2,,,71,6.00
Jonathan Greenard,2564070,LB,MIN,@DAL,,4,1,,,,,,,,,,,,3,,,72,5.90
Malik Harrison,2563554,LB,PIT,MIA,3,2,,,,,,,,,,,,,,,,73,5.70
Khalil Mack,2543463,LB,LAC,@KC,1,2,1,,,,,,,,,,,,2,,,74,5.70
Drake Thomas,2571105,LB,SEA,IND,3,2,,,,,,,,,,,,,,,,75,5.70
Zaven Collins,2566421,LB,ARI,@HOU,3,1,,,,,,,,,,,,,1,,,76,5.60
Trevis Gipson,2563695,LB,CAR,@NO,1,,1,1,,,,,,,,,,,1,,,77,5.50
Alex Highsmith,2564982,LB,PIT,MIA,2,,,,,,,,,,,,,1,,,,78,5.50
Pete Werner,2566358,LB,NO,CAR,3,,,,,,1,,,,,,,,,,,79,5.50
Jonathon Cooper,2566028,LB,DEN,GB,1,4,0.5,,,,,,,,,,,,1,,,80,5.40
Dallas Turner,2572282,LB,MIN,@DAL,2,4,,,,,,,,,,,,,,,,81,5.40
Jordan Magee,2572573,LB,WAS,@NYG,3,1,,,,,,,,,,,,,,,,82,5.10
Shaq Thompson,2552447,LB,BUF,@NE,2,1,,1,,,,,,,,,,,,,,83,5.10
Travon Walker,2567778,LB,JAX,NYJ,2,1,,1,,,,,,,,,,,,,,84,5.10
Nik Bonitto,2567517,LB,DEN,GB,2,,,1,,,,,,,,,,,1,,,85,5.00
Jamal Hill,2572096,LB,HOU,ARI,1,,,,,1,,,,,,,,,,,,86,5.00
Frankie Luvu,2561366,LB,WAS,@NYG,2,3,,,,,,,,,,,,,,,,87,4.80
Quincy Williams,2562954,LB,NYJ,@JAX,1,3,,1,,,,,,,,,,,,,,88,4.80
Chop Robinson,2572252,LB,MIA,@PIT,1,1,,,,,,,,,,,,1,,,,89,4.60
Devin Lloyd,2567751,LB,JAX,NYJ,1,5,,,,,,,,,,,,,,,,90,4.50
