PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Kitan Oladapo,2572051,DB,GB,@DEN,,,,,,,,,,,,,,,,,,498,0.00
Jordan Oladokun,2574523,DB,LAC,@KC,,,,,,,,,,,,,,,,,,499,0.00
Amani Oruwariye,2562390,DB,BAL,@CIN,,,,,,,,,,,,,,,,,,500,0.00
Gervarrius Owens,2570161,DB,CHI,CLE,,,,,,,,,,,,,,,,,,501,0.00
Jonathan Owens,2561255,DB,CHI,CLE,,,,,,,,,,,,,,,,,,502,0.00
Tyler Owens,2573608,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,503,0.00
Wande Owens,2573967,DB,BUF,@NE,,,,,,,,,,,,,,,,,,504,0.00
Makari Paige,2574426,DB,FA,Bye,,,,,,,,,,,,,,,,,,505,0.00
Roman Parodie,2574593,DB,FA,Bye,,,,,,,,,,,,,,,,,,506,0.00
Rico Payton,2573394,DB,NYG,WAS,,,,,,,,,,,,,,,,,,507,0.00
Jabrill Peppers,2557980,DB,PIT,MIA,,,,,,,,,,,,,,,,,,508,0.00
Mark Perry,2573277,DB,GB,@DEN,,,,,,,,,,,,,,,,,,509,0.00
Clark Phillips III,2569546,DB,ATL,@TB,,,,,,,,,,,,,,,,,,510,0.00
Joshua Pickett,2574096,DB,FA,Bye,,,,,,,,,,,,,,,,,,511,0.00
James Pierre,2565003,DB,PIT,MIA,,,,,,,,,,,,,,,,,,512,0.00
Jordan Polk,2574380,DB,FA,Bye,,,,,,,,,,,,,,,,,,513,0.00
Daryl Porter,2573968,DB,BUF,@NE,,,,,,,,,,,,,,,,,,514,0.00
Mishael Powell,2574356,DB,FA,Bye,,,,,,,,,,,,,,,,,,515,0.00
Bobby Price,2563953,DB,FA,Bye,,,,,,,,,,,,,,,,,,516,0.00
Jayden Price,2572884,DB,NO,CAR,,,,,,,,,,,,,,,,,,517,0.00
Troy Pride,2563662,DB,IND,@SEA,,,,,,,,,,,,,,,,,,518,0.00
Deantre Prince,2572153,DB,FA,Bye,,,,,,,,,,,,,,,,,,519,0.00
Nehemiah Pritchett,2572534,DB,SEA,IND,,,,,,,,,,,,,,,,,,520,0.00
Myles Purchase,2574525,DB,NYG,WAS,,,,,,,,,,,,,,,,,,521,0.00
