PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Abdul Carter,2574417,DL,NYG,WAS,5,2,1,3,,2,1,,,,,,,,1,,1,1,23.73
Jeffery Simmons,2562733,DL,TEN,@SF,4,3,1,2,,1,,,,,,,,,1,,,2,23.40
James Pearce Jr.,2573916,DL,ATL,@TB,2,1,2,2,,,,,,,,,,2,2,,,3,16.60
Tuli Tuipulotu,2570266,DL,LAC,@KC,4,,2,3,,,,,,,,,,,4,,,4,16.50
Aidan Hutchinson,2567547,DL,DET,@LAR,2,1,1,,1,,,,,,,,,1,3,58,,5,15.03
Austin Booker,2571904,DL,CHI,CLE,3,1,2,2,,,,,,,,,,,4,,,6,14.10
Chase Young,2565294,DL,NO,CAR,4,2,1,2,,,,,,,,,,,2,,,7,13.20
Laiatu Latu,2572123,DL,IND,@SEA,3,,1,3,,,,,,,,,,,2,,,8,12.00
Kobie Turner,2569954,DL,LAR,DET,3,2,1,2,,,,,,,,,,,2,,,9,11.70
Myles Murphy,2569663,DL,CIN,BAL,2,,2,2,,,,,,,,,,,3,,,10,11.50
Cameron Heyward,2508109,DL,PIT,MIA,3,2,1,2,,,,,,,,,,,1,,,11,11.20
Myles Garrett,2557965,DL,CLE,@CHI,2,2,1.5,1,,,,,,,,,,,3,,,12,10.20
Ashton Gillotte,2574246,DL,KC,LAC,,3,0.5,,1,,,,,,,,,1,1,14,,13,9.77
Leonard Williams,2552486,DL,SEA,IND,3,2,,2,,,,,,,,,,,2,,,14,9.70
Quinnen Williams,2562599,DL,DAL,MIN,2,1,,,1,,,,,,,,,1,,,,15,9.60
Brandon Graham,496788,DL,PHI,LV,2,,2,1,,,,,,,,,,,2,,,16,9.50
Javon Kinlaw,2565117,DL,WAS,@NYG,3,,,1,,1,,,,,,,,,,,,17,9.50
Walter Nolen,2574485,DL,ARI,@HOU,1,2,1,1,,,,,,,,,,1,1,,,18,9.20
Maxx Crosby,2562439,DL,LV,@PHI,3,1,1,1,,,,,,,,,,,1,,,19,9.10
Grady Jarrett,2552327,DL,CHI,CLE,3,1,1,1,,,,,,,,,,,1,,,20,9.10
Charles Omenihu,2562324,DL,KC,LAC,1,2,1.5,1,,,,,,,,,,,3,,,21,8.70
