PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Myles Adams,2563620,DL,DET,@CHI,,,,,,,,,,,,,,,,,,1,0.00
Adetomiwa Adebawore,2569843,DL,IND,@HOU,3,3,,1,,,,,,,,,,,,,,2,0.00
McTelvin Agim,2563872,DL,FA,Bye,,,,,,,,,,,,,,,,,,3,0.00
Tommy Akingbesote,2574066,DL,BUF,NYJ,,,,,,,,,,,,,,,,,,4,0.00
Darius Alexander,2574412,DL,NYG,DAL,2,2,,,,,,,,,,,,,,,,5,0.00
Deslin Alexandre,2570593,DL,FA,Bye,,,,,,,,,,,,,,,,,,6,0.00
Jaylon Allen,2573076,DL,FA,Bye,,,,,,,,,,,,,,,,,,7,0.00
Jonathan Allen,2557844,DL,MIN,GB,1,2,,,,,,,,,,,,,,,,8,0.00
Zach Allen,2562219,DL,DEN,LAC,1,1,0.5,1,,,,,,,,,,,2,,,9,0.00
Bradlee Anae,2563821,DL,FA,Bye,,,,,,,,,,,,,,,,,,10,0.00
Evan Anderson,2573524,DL,SF,SEA,,,,,,,,,,,,,,,,,,11,0.00
Will Anderson Jr.,2569834,DL,HOU,IND,4,2,,1,,,,,,,,,,,,,,12,0.00
Felix Anudike-Uzomah,2569930,DL,KC,@LV,,,,,,,,,,,,,,,,,,13,0.00
Arik Armstead,2552493,DL,JAX,TEN,,1,,,,,,,,,,,,,,,,14,0.00
Dorance Armstrong,2560959,DL,WAS,@PHI,,,,,,,,,,,,,,,,,,15,0.00
Popo Aumavae,2573656,DL,CAR,@TB,,,,,,,,,,,,,,,,,,16,0.00
Denico Autry,2550646,DL,HOU,IND,,,,,,,,,,,,,,,,,,17,0.00
Eric Banks,2564325,DL,FA,Bye,,,,,,,,,,,,,,,,,,18,0.00
Ricky Barber,2574605,DL,WAS,@PHI,,,,,,,,,,,,,,,,,,19,0.00
Christian Barmore,2566328,DL,NE,MIA,3,,1,1,,,,,,,,,,,2,,,20,0.00
Dante Barnett,2574023,DL,GB,@MIN,,,,,,,,,,,,,,,,,,21,0.00
Derek Barnett,2557984,DL,HOU,IND,2,2,,1,,,,,,,,,,,2,,,22,0.00
Tyler Baron,2574431,DL,NYJ,@BUF,,,,,,,,,,,,,,,,,,23,0.00
Alex Barrett,2559140,DL,FA,Bye,,,,,,,,,,,,,,,,,,24,0.00
Simeon Barrow Jr.,2573906,DL,MIA,@NE,,,,,,,,,,,,,,,,,,25,0.00
Kyon Barrs,2573891,DL,FA,Bye,,,,,,,,,,,,,,,,,,26,0.00
Kyler Baugh,2573358,DL,PIT,BAL,,,,,,,,,,,,,,,,,,27,0.00
Robert Beal Jr.,2570299,DL,SF,SEA,,,,,,,,,,,,,,,,,,28,0.00
Travis Bell,2569612,DL,FA,Bye,,,,,,,,,,,,,,,,,,29,0.00
Keeanu Benton,2570260,DL,PIT,BAL,4,3,,,,,,,,,,,,,,,,30,0.00
Zeek Biggers,2574319,DL,MIA,@NE,1,1,,,,,,,,,,,,,,,,31,0.00
Andrew Billings,2555267,DL,CHI,DET,3,1,1,1,,,,,,,,,,,2,,,32,0.00
Diwun Black,2573924,DL,FA,Bye,,,,,,,,,,,,,,,,,,33,0.00
Yahya Black,2574489,DL,PIT,BAL,,,,,,,,,,,,,,,,,,34,0.00
Philip Blidi,2574144,DL,FA,Bye,,,,,,,,,,,,,,,,,,35,0.00
Quinton Bohanna,2565995,DL,FA,Bye,,,,,,,,,,,,,,,,,,36,0.00
