PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Yasir Abdullah,2569891,LB,JAX,TEN,,,,,,,,,,,,,,,,,,1,0.00
Mitchell Agude,2571111,LB,FA,Bye,,,,,,,,,,,,,,,,,,2,0.00
Austin Ajiake,2571766,LB,IND,@HOU,,1,,,,,,,,,,,,,,,,3,0.00
Azeez Al-Shaair,2562462,LB,HOU,IND,,1,,,,,,,,,,,,,,,,4,0.00
Troy Andersen,2567235,LB,ATL,NO,,,,,,,,,,,,,,,,,,5,0.00
Liam Anderson,2570521,LB,CIN,CLE,,,,,,,,,,,,,,,,,,6,0.00
Joe Andreessen,2573632,LB,BUF,NYJ,3,4,,2,,,,,,,,,,,1,,,7,0.00
Alex Anzalone,2558163,LB,DET,@CHI,,,,,,,,,,,,,,,,,,8,0.00
Kam Arnold,2574604,LB,KC,@LV,,,,,,,,,,,,,,,,,,9,0.00
Brian Asamoah II,2567901,LB,CIN,CLE,,,,,,,,,,,,,,,,,,10,0.00
Eugene Asante,2574317,LB,ATL,NO,,,,,,,,,,,,,,,,,,11,0.00
Joe Bachie,2564661,LB,TEN,@JAX,,,,,,,,,,,,,,,,,,12,0.00
Levelle Bailey,2573079,LB,DEN,LAC,,,,,,,,,,,,,,,,,,13,0.00
Jerome Baker,2560966,LB,CLE,@CIN,1,4,,,,1,,,,,,,,,,,,14,0.00
Derrick Barnes,2566055,LB,DET,@CHI,3,,,,,,,,,,,,,1,,,,15,0.00
Krys Barnes,2563971,LB,CAR,@TB,2,4,0.5,1,,,,,,,,,,,1,,,16,0.00
Zaire Barnes,2570185,LB,NYG,DAL,,,,,,,,,,,,,,,,,,17,0.00
Amare Barno,2567346,LB,FA,Bye,,,,,,,,,,,,,,,,,,18,0.00
Michael Barrett,2571880,LB,FA,Bye,,,,,,,,,,,,,,,,,,19,0.00
Justin Barron,2574067,LB,DAL,@NYG,,,,,,,,,,,,,,,,,,20,0.00
Jared Bartlett,2574432,LB,ARI,@LAR,,,,,,,,,,,,,,,,,,21,0.00
Cody Barton,2562472,LB,TEN,@JAX,1,3,,,,,,,,,,,,,,,,22,0.00
Carlos Basham,2565863,LB,LV,KC,,,,,,,,,,,,,,,,,,23,0.00
Jeffrey Bassa,2574239,LB,KC,@LV,,2,,,,,,,,,,,,,,,,24,0.00
Tyler Batty,2574338,LB,MIN,GB,,1,,,,,,,,,,,,,,,,25,0.00
Zack Baun,2564664,LB,PHI,WAS,,,,,,,,,,,,,,,,,,26,0.00
Abraham Beauplan,2571180,LB,FA,Bye,,,,,,,,,,,,,,,,,,27,0.00
Quinton Bell,2562908,LB,MIA,@NE,,3,,,,,,,,,,,,,,,,28,0.00
Nick Bellore,2495262,LB,WAS,@PHI,,1,,,,,,,,,,,,,,,,29,0.00
Terrel Bernard,2567325,LB,BUF,NYJ,,,,,,,,,,,,,,,,,,30,0.00
JD Bertrand,2571799,LB,ATL,NO,1,2,,,,,,,,,,,,1,,,,31,0.00
Tatum Bethune,2572489,LB,SF,SEA,2,5,1,1,,,,,,,,,,1,1,,,32,0.00
Stone Blanton,2574536,LB,FA,Bye,,,,,,,,,,,,,,,,,,33,0.00
Chris Board,2561301,LB,NYG,DAL,,,,,,,,,,,,,,,,,,34,0.00
Nick Bolton,2566175,LB,KC,@LV,4,5,,1,,,,,,,,,,,,,,35,0.00
Nik Bonitto,2567517,LB,DEN,LAC,1,1,1.5,1,,1,,,,,,,,,2,,,36,0.00
Swayze Bozeman,2572811,LB,NYG,DAL,,,,,,,,,,,,,,,,,,37,0.00
Chris Braswell,2572540,LB,TB,CAR,,,,,,,,,,,,,,,,,,38,0.00
K.J. Britt,2566559,LB,MIA,@NE,,5,,,,,,,,,,,,,,,,39,0.00
Jordyn Brooks,2565135,LB,MIA,@NE,4,5,,,,,,,,,,,,,,,,40,0.00
Elliott Brown,2574475,LB,ARI,@LAR,,,,,,,,,,,,,,,,,,41,0.00
J.B. Brown,2574085,LB,FA,Bye,,,,,,,,,,,,,,,,,,42,0.00
Baron Browning,2566025,LB,ARI,@LAR,,1,,,,,,,,,,,,,,,,43,0.00
Carson Bruener,2574490,LB,PIT,BAL,,1,,,,,,,,,,,,,,,,44,0.00
Teddye Buchanan,2573925,LB,BAL,@PIT,,,,,,,,,,,,,,,,,,45,0.00
John Bullock,2574582,LB,FA,Bye,,,,,,,,,,,,,,,,,,46,0.00
Jordan Burch,2574476,LB,ARI,@LAR,,2,,,,,,,,,,,,1,,,,47,0.00
Oren Burks,2560984,LB,CIN,CLE,1,,,,,,,,,,,,,,,,,48,0.00
Amari Burney,2570041,LB,FA,Bye,,,,,,,,,,,,,,,,,,49,0.00
Brian Burns,2562242,LB,NYG,DAL,1,1,,1,,,,,,,,,,,1,,,50,0.00
Devin Bush,2562243,LB,CLE,@CIN,6,8,,,1,,,1,,,,,,1,,97,,51,0.00
Chance Campbell,2567646,LB,PHI,WAS,,,,,,,,,,,,,,,,,,52,0.00
Jack Campbell,2569741,LB,DET,@CHI,4,7,,,,,,,,,,,,1,,,,53,0.00
Jihaad Campbell,2574455,LB,PHI,WAS,6,4,,,,,,,,,,,,1,,,,54,0.00
Jaylon Carlies,2572114,LB,IND,@HOU,,,,,,,,,,,,,,,,,,55,0.00
Andre Carter II,2571207,LB,MIA,@NE,,,,,,,,,,,,,,,,,,56,0.00
Barrett Carter,2574025,LB,CIN,CLE,2,3,,,,,,,,,,,,,,,,57,0.00
Lorenzo Carter,2561015,LB,FA,Bye,,,,,,,,,,,,,,,,,,58,0.00
Blake Cashman,2562496,LB,MIN,GB,3,4,1,1,,,,,,,,,,,1,,,59,0.00
K'Lavon Chaisson,2564166,LB,NE,MIA,1,2,1,1,,,,,,,,,,,2,,,60,0.00
Chaz Chambliss,2574342,LB,MIN,GB,,,,,,,,,,,,,,,,,,61,0.00
Jake Chaney,2574664,LB,FA,Bye,,,,,,,,,,,,,,,,,,62,0.00
Leo Chenal,2567784,LB,KC,@LV,,,,,,,,,,,,,,,,,,63,0.00
Claudin Cherelus,2570617,LB,CAR,@TB,,,,,,,,,,,,,,,,,,64,0.00
Cole Christiansen,2565021,LB,KC,@LV,,1,,,,,,,,,,,,,,,,65,0.00
Bradley Chubb,2561020,LB,MIA,@NE,1,,,,,,,,,,,,,,2,,,66,0.00
Jimmy Ciarlo,2572684,LB,MIA,@NE,,,,,,,,,,,,,,,,,,67,0.00
Damone Clark,2567493,LB,HOU,IND,2,4,,,,,,,,,,,,,,,,68,0.00
Jadeveon Clowney,2543456,LB,DAL,@NYG,5,1,3,4,,1,1,,,,,,,1,3,,,69,0.00
K.J. Cloyd,2573283,LB,FA,Bye,,,,,,,,,,,,,,,,,,70,0.00
Jack Cochrane,2568408,LB,KC,@LV,2,1,,,,,1,,,,,,,,,,,71,0.00
Seth Coleman,2574557,LB,FA,Bye,,,,,,,,,,,,,,,,,,72,0.00
Zaven Collins,2566421,LB,ARI,@LAR,,1,,,,,,,,,,,,,,,,73,0.00
Junior Colson,2572465,LB,LAC,@DEN,,,,,,,,,,,,,,,,,,74,0.00
Branson Combs,2574211,LB,JAX,TEN,1,,,,,,,,,,,,,,,,,75,0.00
Edgerrin Cooper,2572030,LB,GB,@MIN,,,,,,,,,,,,,,,,,,76,0.00
Jonathon Cooper,2566028,LB,DEN,LAC,,1,,,,,,,,,,,,,,,,77,0.00
Zach Cunningham,2558094,LB,DET,@CHI,,,,,,,,,,,,,,,,,,78,0.00
Lavonte David,2532828,LB,TB,CAR,5,1,,,,,1,,,,,,,,,,,79,0.00
Demario Davis,2533008,LB,NO,@ATL,1,5,,,,,,,,,,,,,,,,80,0.00
Jamin Davis,2566595,LB,LV,KC,,,,,,,,,,,,,,,,,,81,0.00
Akeem Davis-Gaither,2563728,LB,ARI,@LAR,2,3,,,,,,,,,,,,,,,,82,0.00
Divine Deablo,2566253,LB,ATL,NO,1,7,,,,,,,,,,,,1,,,,83,0.00
Nakobe Dean,2568072,LB,PHI,WAS,,,,,,,,,,,,,,,,,,84,0.00
SirVocea Dennis,2570347,LB,TB,CAR,2,,,1,,,,,,,,,,,,,,85,0.00
Solomon DeShields,2574185,LB,FA,Bye,,,,,,,,,,,,,,,,,,86,0.00
Mohamoud Diabate,2570849,LB,CLE,@CIN,1,6,,,,,,,,,,,,,,,,87,0.00
Yaya Diaby,2570344,LB,TB,CAR,3,1,,1,,,,,,,,,,,,,,88,0.00
Victor Dimukeje,2566424,LB,NYG,DAL,,,,,,,,,,,,,,,,,,89,0.00
De'Shaan Dixon,2567736,LB,FA,Bye,,,,,,,,,,,,,,,,,,90,0.00
Lance Dixon,2574457,LB,FA,Bye,,,,,,,,,,,,,,,,,,91,0.00
Tyrel Dodson,2562560,LB,MIA,@NE,,8,,,,,,,,,,,,,,,,92,0.00
Shaun Dolac,2574264,LB,LAR,ARI,1,,,,,,,,,,,,,,,,,93,0.00
Bud Dupree,2552289,LB,LAC,@DEN,,,,,,,,,,,,,,,1,,,94,0.00
Troy Dye,2564535,LB,LAC,@DEN,2,,,1,,,,,,,,,,1,,,,95,0.00
Arnold Ebiketie,2567238,LB,ATL,NO,,,,,,,,,,,,,,,,,,96,0.00
Samson Ebukam,2558830,LB,IND,@HOU,2,3,,,,,,,,,,,,,,,,97,0.00
Power Echols,2574007,LB,HOU,IND,,,,,,,,,,,,,,,,,,98,0.00
Tremaine Edmunds,2560713,LB,CHI,DET,7,1,,,,,,,,,,,,,,,,99,0.00
T.J. Edwards,2562648,LB,CHI,DET,2,2,,,,,,,,,,,,1,,,,100,0.00
Tommy Eichenberg,2572225,LB,LV,KC,4,2,,,,,,,,,,,,1,,,,101,0.00
