PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,TEN,@JAX,,,,,,,,,,,,,0.00,35,1,0.00,0.0
Josh Allen,2560955,QB,BUF,NYJ,22.54,0.18,0.06,3.42,0.07,,,,,,,0.05,2.16,34,2,0.00,-2.16
Kyle Allen,2561177,QB,DET,@CHI,,,,,,,,,,,,,0.00,36,3,0.00,0.0
Tyson Bagent,2570467,QB,CHI,DET,,,,,,,,,,,,,0.00,37,4,0.00,0.0
Connor Bazelak,2574581,QB,TB,CAR,,,,,,,,,,,,,0.00,38,5,0.00,0.0
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,39,6,0.00,
Stetson Bennett,2569939,QB,LAR,ARI,,,,,,,,,,,,,0.00,40,7,0.00,0.0
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,41,8,0.00,
Carter Bradley,2573208,QB,JAX,TEN,,,,,,,,,,,,,0.00,42,9,0.00,0.0
Teddy Bridgewater,2543465,QB,TB,CAR,,,,,,,,,,,,,0.00,43,10,0.00,0.0
Jacoby Brissett,2555261,QB,ARI,@LAR,238.99,1.6,0.68,12.58,0.1,,,,,0.01,,0.71,15.10,18,11,0.00,-15.1
Max Brosmer,2574340,QB,MIN,GB,,,,,,,,,,,,,0.00,44,12,0.00,0.0
Jake Browning,2562634,QB,CIN,CLE,,,,,,,,,,,,,0.00,45,13,0.00,0.0
Shane Buechele,2566983,QB,BUF,NYJ,,,,,,,,,,,,,0.00,46,14,0.00,0.0
Joe Burrow,2563722,QB,CIN,CLE,237.41,2.1,0.64,9.13,0.09,,,,,0.01,,0.48,17.17,10,15,0.00,-17.17
Sean Clifford,2569762,QB,CIN,CLE,,,,,,,,,,,,,0.00,47,16,0.00,0.0
Brady Cook,2574435,QB,NYJ,@BUF,163.69,0.89,1.11,15.2,0.13,,,,,0.02,,0.96,8.39,31,17,0.00,-8.39
Kirk Cousins,2532820,QB,ATL,NO,212.97,1.7,0.76,3.38,0.03,,,,,0.02,,0.91,12.62,23,18,0.00,-12.62
Andy Dalton,2495143,QB,CAR,@TB,,,,,,,,,,,,,0.00,48,19,0.00,0.0
