PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,DAL,@NYG,,,,,,,,,,,,,0.00,90,1,0.00,0.0
Ameer Abdullah,2552374,RB,IND,@HOU,,,,7.13,0.07,0.47,2.87,0.02,,,,,1.78,74,2,0.00,-1.78
De'Von Achane,2570062,RB,MIA,@NE,,,,,,,,,,,,,0.00,91,3,0.00,0.0
Salvon Ahmed,2565090,RB,IND,@HOU,,,,,,,,,,,,,0.00,92,4,0.00,0.0
Cam Akers,2564319,RB,SEA,@SF,,,,,,,,,,,,,0.00,93,5,0.00,0.0
Rasheen Ali,2571823,RB,BAL,@PIT,,,,4.95,0.04,1.48,13.72,0.15,,,,0.04,3.67,63,6,0.00,-3.67
Braelon Allen,2572354,RB,NYJ,@BUF,,,,,,,,,,,,,0.00,94,7,0.00,0.0
LeQuint Allen Jr.,2574207,RB,JAX,TEN,,,,7.43,0.06,1.1,8.9,0.07,,,,0.04,2.88,69,8,0.00,-2.88
Tyler Allgeier,2567232,RB,ATL,NO,,,,31.68,0.48,0.58,4.38,0.04,,,,0.12,6.78,44,9,0.00,-6.78
Tyler Badie,2567265,RB,DEN,LAC,,,,7.95,0.06,0.84,5.83,0.05,,,,0.03,2.40,71,10,0.00,-2.4
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,95,11,0.00,
Rushawn Baker,2574413,RB,FA,Bye,,,,,,,,,,,,,,96,12,0.00,
Saquon Barkley,2560968,RB,PHI,WAS,,,,,,,,,,,,,0.00,97,13,0.00,0.0
Andrew Beck,2562626,RB,NYJ,@BUF,,,,,,,,,,,,,0.00,98,14,0.00,0.0
Trey Benson,2572405,RB,ARI,@LAR,,,,,,,,,,,,,0.00,99,15,0.00,0.0
Ulysses Bentley IV,2574183,RB,IND,@HOU,,,,,,,,,,,,,0.00,100,16,0.00,0.0
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,101,17,0.00,
Tank Bigsby,2569882,RB,PHI,WAS,,,,63.08,0.54,1.08,9.63,0.1,,,,0.21,11.23,18,18,0.00,-11.23
Raheem Blackshear,2569477,RB,NYJ,@BUF,,,,2.51,0.02,0.15,1.17,0.01,0.05,0.01,,0.3,0.38,89,19,0.00,-0.38
Jaydon Blue,2574068,RB,DAL,@NYG,,,,50.22,0.46,1.97,17.82,0.16,,,,0.18,11.15,19,20,0.00,-11.15
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,102,21,0.00,
Gary Brightwell,2566364,RB,CIN,CLE,,,,,,,,,,,,,0.00,103,22,0.00,0.0
British Brooks,2573686,RB,HOU,IND,,,,,,,,,,,,,0.00,104,23,0.00,0.0
Chris Brooks,2571114,RB,GB,@MIN,,,,43.26,0.31,1.8,12.9,0.1,,,,0.12,8.74,35,24,0.00,-8.74
Jonathon Brooks,2571883,RB,CAR,@TB,,,,,,,,,,,,,0.00,105,25,0.00,0.0
Tahj Brooks,2574024,RB,CIN,CLE,,,,5.66,0.06,0.2,1.66,0.02,,,,0.06,1.19,79,26,0.00,-1.19
Brittain Brown,2567868,RB,CHI,DET,,,,,,,,,,,,,0.00,106,27,0.00,0.0
Chase Brown,2569642,RB,CIN,CLE,,,,51.49,0.32,3.73,22.22,0.3,,,,0.18,12.60,12,28,0.00,-12.6
Michael Burton,2552636,RB,DEN,LAC,,,,,,,,,,,,,0.00,107,29,0.00,0.0
Michael Carter,2566382,RB,ARI,@LAR,,,,45.83,0.14,2.42,14.91,0.06,,0.02,,1.02,6.56,46,30,0.00,-6.56
Nate Carter,2573909,RB,ATL,NO,,,,,,,,,,,,,0.00,108,31,0.00,0.0
Ty Chandler,2567907,RB,MIN,GB,,,,17.46,0.16,1.37,8.68,0.07,,,,0.08,4.52,57,32,0.00,-4.52
Zach Charbonnet,2570335,RB,SEA,@SF,,,,39,0.57,1.17,8.67,0.07,,,,0.12,8.95,33,33,0.00,-8.95
Julius Chestnut,2568804,RB,TEN,@JAX,,,,3.56,0.03,0.13,1.23,0.01,,,,0.01,0.76,85,34,0.00,-0.76
Nick Chubb,2561021,RB,HOU,IND,,,,,,,,,,,,,0.00,109,35,0.00,0.0
Chris Collier,2572600,RB,LV,KC,,,,,,,,,,,,,0.00,110,36,0.00,0.0
Quali Conley,2574026,RB,FA,Bye,,,,,,,,,,,,,,111,37,0.00,
James Conner,2557978,RB,ARI,@LAR,,,,,,,,,,,,,0.00,112,38,0.00,0.0
James Cook,2567328,RB,BUF,NYJ,,,,80.1,0.66,1.9,16.62,0.15,,,,0.2,15.08,7,39,0.00,-15.08
Jashaun Corbin,2569125,RB,FA,Bye,,,,,,,,,,,,,,113,40,0.00,
