PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Nate Adkins,2570930,TE,DEN,LAC,,,,,,0.72,6.17,0.07,,,,0.01,1.38,66,1,0.00,-1.38
Mo Alie-Cox,2558832,TE,IND,@HOU,,,,,,0.27,2.73,,,,,,0.41,81,2,0.00,-0.41
Erick All,2571916,TE,CIN,CLE,,,,,,,,,,,,,0.00,85,3,0.00,0.0
Davis Allen,2570017,TE,LAR,ARI,,,,,,1.97,18.91,0.19,,,,0.03,3.96,33,4,0.00,-3.96
Mark Andrews,2560957,TE,BAL,@PIT,,,,1.64,0.02,3.35,37.93,0.44,,,,0.06,8.27,9,5,0.00,-8.27
Elijah Arroyo,2574554,TE,SEA,@SF,,,,,,,,,,,,,0.00,86,6,0.00,0.0
AJ Barner,2572513,TE,SEA,@SF,,,,6.04,0.06,3.98,39.69,0.42,,,,0.05,9.34,6,7,0.00,-9.34
Gavin Bartholomew,2574337,TE,MIN,GB,,,,,,,,,,,,,0.00,87,8,0.00,0.0
Brenden Bates,2572953,TE,CLE,@CIN,,,,,,,,,,,,,0.00,88,9,0.00,0.0
John Bates,2566580,TE,WAS,@PHI,,,,,,1.49,15.18,0.09,,,,0.02,2.76,47,10,0.00,-2.76
Jaheim Bell,2572288,TE,PIT,BAL,,,,,,,,,,,,,0.00,89,11,0.00,0.0
Daniel Bellinger,2567985,TE,NYG,DAL,,,,,,3.06,34.61,0.22,,,,0.03,6.25,17,12,0.00,-6.25
Brock Bowers,2572219,TE,LV,KC,,,,,,,,,,,,,0.00,90,13,0.00,0.0
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,91,14,0.00,
Jake Briningstool,2574240,TE,KC,@LV,,,,,,,,,,,,,0.00,92,15,0.00,0.0
Pharaoh Brown,2559018,TE,ARI,@LAR,,,,,,,,,,,,,0.00,93,16,0.00,0.0
Harrison Bryant,2563767,TE,HOU,IND,,,,,,,,,,,,,0.00,94,17,0.00,0.0
Lawrence Cager,2565492,TE,WAS,@PHI,,,,,,,,,,,,,0.00,95,18,0.00,0.0
Grant Calcaterra,2568063,TE,PHI,WAS,,,,,,2.86,33.46,0.23,,,,0.03,6.10,18,19,0.00,-6.1
Sal Cannella,2567197,TE,CLE,@CIN,,,,,,1.8,20.85,0.17,,,,0.02,3.97,32,20,0.00,-3.97
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,96,21,0.00,
Stephen Carlson,2563044,TE,CHI,DET,,,,,,,,,,,,,0.00,97,22,0.00,0.0
McCallan Castles,2572732,TE,GB,@MIN,,,,,,,,,,,,,0.00,98,23,0.00,0.0
Tyler Conklin,2561027,TE,LAC,@DEN,,,,,,1.82,17.89,0.12,,,,0.02,3.38,37,24,0.00,-3.38
Tanner Conner,2569017,TE,NYG,DAL,,,,,,0.97,10.77,0.08,,,,0.01,2.02,54,25,0.00,-2.02
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,99,26,0.00,
Jalin Conyers,2574320,TE,MIA,@NE,,,,,,,,,,,,,0.00,100,27,0.00,0.0
