PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Micah Abraham,2572108,DB,FA,Bye,,,,,,,,,,,,,,,,,,,238,1,0.00,
Kris Abrams-Draine,2571988,DB,DEN,LAC,0.93,0.36,,,0.05,,,,,,,,,0.05,,,,1.91,188,2,0.00,-1.91
BJ Adams,2574315,DB,FA,Bye,,,,,,,,,,,,,,,,,,,239,3,0.00,
Jamal Adams,2557979,DB,LV,KC,2.66,0.55,0.16,0.23,0.08,0.08,0.08,,,,,,,0.31,0.39,1.09,,6.63,88,4,0.00,-6.63
Tony Adams,2568444,DB,NYJ,@BUF,,,,,,,,,,,,,,,,,,0.00,240,5,0.00,0.0
Paulson Adebo,2566346,DB,NYG,DAL,3.15,0.75,,0.09,0.19,,,0.05,,,,,,0.71,0.05,3.48,,8.09,47,6,0.00,-8.09
Jaire Alexander,2560952,DB,FA,Bye,,,,,,,,,,,,,,,,,,,241,7,0.00,
Kam Alexander,2574640,DB,FA,Bye,,,,,,,,,,,,,,,,,,,242,8,0.00,
Zy Alexander,2574553,DB,FA,Bye,,,,,,,,,,,,,,,,,,,243,9,0.00,
Dee Alford,2567244,DB,ATL,NO,1.65,0.79,,0.07,,,,,,,,,,0.36,,,,3.95,137,10,0.00,-3.95
Ugo Amadi,2562464,DB,NO,@ATL,,,,,,,,,,,,,,,,,,0.00,244,11,0.00,0.0
Trey Amos,2574603,DB,WAS,@PHI,,,,,,,,,,,,,,,,,,0.00,245,12,0.00,0.0
Tycen Anderson,2567442,DB,CIN,CLE,0.24,0.24,,,,,,,,,,,,,,,,0.50,237,13,0.00,-0.5
Zayne Anderson,2566977,DB,GB,@MIN,,,,,,,,,,,,,,,,,,0.00,246,14,0.00,0.0
Daijahn Anthony,2571919,DB,CIN,CLE,,,,,,,,,,,,,,,,,,0.00,247,15,0.00,0.0
Chigozie Anusiem,2573596,DB,LV,KC,,,,,,,,,,,,,,,,,,0.00,248,16,0.00,0.0
Eli Apple,2555277,DB,SF,SEA,,,,,,,,,,,,,,,,,,0.00,249,17,0.00,0.0
Jalyn Armour-Davis,2567262,DB,TEN,@JAX,,,,,,,,,,,,,,,,,,0.00,250,18,0.00,0.0
Cornell Armstrong,2561147,DB,FA,Bye,,,,,,,,,,,,,,,,,,,251,19,0.00,
Damon Arnette,2564409,DB,FA,Bye,,,,,,,,,,,,,,,,,,,252,20,0.00,
Grayland Arnold,2564814,DB,FA,Bye,,,,,,,,,,,,,,,,,,,253,21,0.00,
Terrion Arnold,2572009,DB,DET,@CHI,,,,,,,,,,,,,,,,,,0.00,254,22,0.00,0.0
Alex Austin,2569591,DB,NE,MIA,,,,,,,,,,,,,,,,,,0.00,255,23,0.00,0.0
Tre Avery,2568801,DB,CLE,@CIN,0.32,0.38,,,,,,,,,,,,,,,,0.71,223,24,0.00,-0.71
Chidobe Awuzie,2557840,DB,BAL,@PIT,1.3,0.65,,0.05,0.05,0.05,,,,,,,,0.3,,0.6,,3.54,154,25,0.00,-3.54
Budda Baker,2558009,DB,ARI,@LAR,4.37,2.13,0.06,0.34,0.06,0.06,,,,,,,,0.28,0.17,0.78,,9.69,15,26,0.00,-9.69
Darrell Baker Jr.,2569161,DB,TEN,@JAX,1.56,0.5,,,,,,,,,,,,0.13,,,,2.97,165,27,0.00,-2.97
Johnathan Baldwin,2574123,DB,GB,@MIN,,,,,,,,,,,,,,,,,,0.00,256,28,0.00,0.0
Corey Ballentine,2562228,DB,DAL,@NYG,,,,,,,,,,,,,,,,,,0.00,257,29,0.00,0.0
Deonte Banks,2570155,DB,NYG,DAL,2.47,0.82,,0.06,0.12,0.06,0.06,,,,,,,0.71,,0.29,,6.76,81,30,0.00,-6.76
Marcus Banks,2573551,DB,TB,CAR,,,,,,,,,,,,,,,,,,0.00,258,31,0.00,0.0
Luq Barcoo,2564160,DB,FA,Bye,,,,,,,,,,,,,,,,,,,259,32,0.00,
Jahdae Barron,2574084,DB,DEN,LAC,2.27,0.84,,0.05,0.05,,,,,,,,,0.35,0.05,,,5.06,115,33,0.00,-5.06
Shemar Bartholomew,2572678,DB,GB,@MIN,,,,,,,,,,,,,,,,,,0.00,260,34,0.00,0.0
Essang Bassey,2563875,DB,FA,Bye,,,,,,,,,,,,,,,,,,,261,35,0.00,
Jessie Bates,2560970,DB,ATL,NO,4.47,2.24,,0.18,0.24,0.18,0.06,0.06,,,,,,0.59,0.06,3.82,,11.72,2,36,0.00,-11.72
Jordan Battle,2569648,DB,CIN,CLE,4.1,2.67,0.06,0.25,0.12,,0.06,0.06,,,,,,0.44,,3.98,,10.20,9,37,0.00,-10.2
