PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
DeMarcco Hellams,2569552,DB,ATL,4,6,,,,,1,,,,,,,,,,,335,10.60
Shaquill Griffin,2558259,DB,SEA,7,,,,,,,,,,,,,,,,,336,10.50
Julian Blackmon,2564103,DB,NO,4,3,,,,,,,,,,,,1,,,,337,10.30
Khalil Dorsey,2565336,DB,DET,6,2,,,,,,,,,,,,,,,,338,10.20
Nic Jones,2569933,DB,NYG,3,5,,,,,,,,,,,,1,,,,339,10.00
Jaylin Simpson,2572132,DB,GB,5,3,,,,,,,,,,,,,,,,340,9.30
Tre Brown,2566550,DB,NYJ,4,4,,,,,,,,,,,,,,,,341,8.40
Josh Blackwell,2568054,DB,CHI,3,6,,,,,1,,,,,,1,,,,,342,8.10
Demani Richardson,2572947,DB,CAR,3,4,,,,,1,,,,,,,,,,,343,7.90
Johnathan Baldwin,2574123,DB,GB,4,3,,,,,,,,,,,,,,,,344,7.80
Shemar Bartholomew,2572678,DB,GB,4,,,1,,,,,,,,,,,,,,345,7.50
Sanoussi Kane,2571829,DB,TEN,3,5,,,,,,,,,,,,,,,,346,7.50
Jaylin Smith,2574179,DB,HOU,3,3,,,,,1,,,,,,,,,,,347,7.30
Keith Taylor,2565911,DB,JAX,4,2,,,,,,,,,,,,,,,,348,7.20
Joshua Williams,2567814,DB,KC,4,2,,,,,,,,,,,,,,,,349,7.20
Elijah Jones,2572417,DB,ARI,,3,,,,,,,,,,,,2,,,,350,6.80
Jaire Alexander,2560952,DB,FA,4,1,,,,,,,,,,,,,,,,351,6.60
Elijah Campbell,2561455,DB,MIA,4,1,,,,,,,,,,,,,,,,352,6.60
Jordan Colbert,2573256,DB,MIA,4,1,,,,,,,,,,,,,,,,353,6.60
Dom Jones,2574052,DB,CLE,4,1,,,,,,,,,,,,,,,,354,6.60
Josh Butler,2571753,DB,DAL,3,2,,,,,,,,,,,,,,,,355,5.70
Miles Killebrew,2555315,DB,PIT,3,2,,,,,,,,,,,,,,,,356,5.70
Brandon Johnson,2574461,DB,PHI,1,2,,,,,,,,,,,,1,,,,357,5.20
Chris Edmonds,2573025,DB,CLE,1,6,,,,,,,,,,,,,,,,358,5.10
Deane Leonard,2568180,DB,LAC,2,3,,,,,,,,,,,,,,,,359,4.80
Robert Rochell,2566241,DB,CAR,2,3,,,,,,,,,,,,,,,,360,4.80
Storm Duck,2573259,DB,MIA,1,1,,,,,,,,,,,,1,,,,361,4.60
Nikko Reed,2574527,DB,LAC,1,1,,,,,,,,,,,,1,,,,362,4.60
Damon Arnette,2564409,DB,FA,3,,,,,,,,,,,,,,,,,363,4.50
Miles Battle,2572808,DB,FA,3,,,,,,,,,,,,,,,,,364,4.50
Mike Brown,2569050,DB,TEN,3,,,,,,,,,,,,,,,,,365,4.50
Isaiah Johnson,2573265,DB,MIA,3,,,,,,,,,,,,,,,,,366,4.50
Jammie Robinson,2569609,DB,ATL,1,,,,,,,,,,,,1,,,,,367,4.50
Marco Wilson,2566439,DB,CIN,3,,,,,,,,,,,,,,,,,368,4.50
Daijahn Anthony,2571919,DB,CIN,2,2,,,,,,,,,,,,,,,,369,4.20
Michael Davis,2559164,DB,NO,2,2,,,,,,,,,,,,,,,,370,4.20
George Odum,2561131,DB,IND,2,2,,,,,,,,,,,,,,,,371,4.20
Mac McWilliams,2574466,DB,PHI,1,,,,,,,,,,,,,1,,,,372,4.00
Kamal Hadden,2572165,DB,GB,1,4,,,,,,,,,,,,,,,,373,3.90
Reuben Lowery,2573941,DB,IND,1,4,,,,,,,,,,,,,,,,374,3.90
Marcus Maye,2557995,DB,LAC,1,4,,,,,,,,,,,,,,,,375,3.90
Rashad Wisdom,2573593,DB,TB,1,2,,,,,1,,,,,,,,,,,376,3.70
Sebastian Castro,2574491,DB,PIT,2,1,,,,,,,,,,,,,,,,377,3.60
Jaden Davis,2572408,DB,ARI,2,1,,,,,,,,,,,,,,,,378,3.60
J.T. Gray,2561206,DB,TB,2,1,,,,,,,,,,,,,,,,379,3.60
Bralyn Lux,2574033,DB,CIN,2,1,,,,,,,,,,,,,,,,380,3.60
Jordan Fuller,2564340,DB,ATL,2,,,,,,,,,,,,,,,,,381,3.00
Parry Nickerson,2560822,DB,PHI,2,,,,,,,,,,,,,,,,,382,3.00
Daniel Scott,2569852,DB,IND,2,,,,,,,,,,,,,,,,,383,3.00
Cam'Ron Silmon-Craig,2574231,DB,JAX,2,,,,,,,,,,,,,,,,,384,3.00
Reese Taylor,2570722,DB,DEN,2,,,,,,,,,,,,,,,,,385,3.00
Chris Smith II,2570056,DB,NYJ,1,2,,,,,,,,,,,,,,,,386,2.70
Jarrick Bernard-Converse,2570176,DB,NYG,,4,,,,,,,,,,,,,,,,387,2.40
Trey Washington,2574205,DB,IND,,4,,,,,,,,,,,,,,,,388,2.40
Cornell Armstrong,2561147,DB,FA,1,1,,,,,,,,,,,,,,,,389,2.10
