PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Noah Sewell,2569633,LB,CHI,33,26,,3,,1,,,,,,,,,,,,103,73.10
Dorian Williams,2569582,LB,BUF,29,34,,1,,,1,,,,,,,2,3,,,104,72.90
Zaven Collins,2566421,LB,ARI,26,14,1.5,6,,,2,,1,,,,,,10,,3,105,70.50
Travon Walker,2567778,LB,JAX,19,19,3.5,8,,,,,,,,,,2,13,,,106,70.40
Dondrea Tillman,2573875,LB,DEN,13,28,4,3,2,,,,,,,,,3,9,59,,107,69.77
Jihad Ward,2555248,LB,TEN,15,16,5,4,,,,,,,,,,4,22,,,108,69.10
D.J. Wonnum,2564583,LB,CAR,19,23,3,4,1,,1,,,,,,,3,4,,19,109,68.93
Denzel Perryman,2552310,LB,LAC,30,17,,4,,,,,,,,,,3,,,,110,68.70
Jordan Magee,2572573,LB,WAS,31,23,,3,,,,,,,,,,1,,,,111,67.30
Von Miller,2495202,LB,WAS,16,10,9,6,,,,,,,,,,,15,,,112,64.50
Darius Muasau,2572339,LB,NYG,24,27,1,2,,,,,,,,,,1,1,,,113,60.20
D'Marco Jackson,2567967,LB,CHI,18,25,1,2,1,,1,,,,,,,3,1,,,114,59.50
Ventrell Miller,2569906,LB,JAX,17,21,,,1,2,,,,,,,,4,,,,115,58.60
Mohamoud Diabate,2570849,LB,CLE,22,27,,3,,1,1,,,,,,,,,,,116,58.20
Dre Greenlaw,2562428,LB,DEN,15,28,1,2,1,1,,,,,,,,2,2,27,,117,58.20
Haason Reddick,2557887,LB,TB,18,13,2.5,6,,1,,,,,,,,1,6,,,118,57.80
Charles Snowden,2566764,LB,LV,17,11,3,5,1,,,,,,,,,2,4,18,,119,56.70
Boye Mafe,2568258,LB,SEA,11,20,2,4,,1,,,,,,,,5,4,,,120,56.50
Samson Ebukam,2558830,LB,IND,22,11,2,5,,,1,,,,,,,,8,,,121,56.10
Tavius Robinson,2569567,LB,BAL,15,13,4.5,3,,1,,,,,,,,1,10,,,122,54.80
Danny Stutsman,2574408,LB,NO,25,28,,,,,,,,,,,,,,,,123,54.30
Arnold Ebiketie,2567238,LB,ATL,17,19,2,5,,,,,,,,,,1,6,,,124,53.90
Jahlani Tavai,2562755,LB,NE,21,21,,4,,1,,,,,,,,,,,,125,53.60
Baron Browning,2566025,LB,ARI,14,20,2,4,1,,1,,,,,,,1,5,4,,126,52.63
Oren Burks,2560984,LB,CIN,17,31,,1,,1,1,,,,,,,1,,,,127,52.60
Jonah Elliss,2571991,LB,DEN,16,12,2.5,5,,1,,,,,,,,1,5,,,128,52.20
Jaylen Harrell,2572066,LB,TEN,14,11,4.5,5,,1,,,,,,,,,8,,,129,51.60
Kyle Van Noy,2543699,LB,BAL,12,8,2,4,1,,,,,,,,,4,9,11,,130,51.17
Malik Harrison,2563554,LB,PIT,25,16,,2,,,,,,,,,,,,,,131,50.10
Marte Mapu,2570104,LB,NE,18,7,,,1,1,,,,,,,,5,,20,,132,49.37
Jerome Baker,2560966,LB,CLE,11,29,1.5,3,,2,,,,,,,,,1,,,133,48.90
Kayvon Thibodeaux,2568015,LB,NYG,13,12,2.5,5,,,,,,,,,,2,9,,,134,48.70
Nolan Smith,2570212,LB,PHI,15,16,3,1,,1,,,,,,,,,11,,,135,48.60
Demetrius Flannigan-Fowles,2563090,LB,NYG,21,12,1,3,,,,,,,,,,1,1,,,136,48.20
Derick Hall,2570329,LB,SEA,11,19,2,3,,,,,,,,,,2,13,,,137,47.90
Cole Holcomb,2562872,LB,PIT,24,13,,,,1,,,,,,,,,,,,138,47.30
Chris Braswell,2572540,LB,TB,21,9,1,4,,,,,,,,,,,4,,,139,46.90
Josaiah Stewart,2574278,LB,LAR,13,9,3,3,,1,,,,,,,,2,6,,,140,46.90
Curtis Robinson,2566875,LB,SF,19,23,,1,,,,,,,,,,1,,,,141,46.30
James Williams,2572078,LB,TEN,22,4,1,3,,,,,,,,,1,,1,,,142,45.40
Anfernee Jennings,2564613,LB,NE,15,11,2,5,,,1,,,,,,,,7,,,143,45.10
Chop Robinson,2572252,LB,MIA,10,11,4,4,,1,,,,,,,,1,7,,,144,45.10
Tommy Eichenberg,2572225,LB,LV,21,15,,1,,,,,,,,,,1,,,,145,44.50
Dante Fowler Jr.,2553431,LB,DAL,10,5,3,4,,,,,,,,,,3,10,,,146,42.50
Del'Shawn Phillips,2563179,LB,LAC,16,21,1,1,,,1,,,,,,,,2,,,147,42.10
Marist Liufau,2571979,LB,DAL,17,13,1,1,,1,,,,,,,,,3,,,148,41.80
Francisco Mauigoa,2574441,LB,NYJ,16,29,,,,,,,,,,,,,,,,149,41.40
JD Bertrand,2571799,LB,ATL,13,22,,1,,,,,,,,,,2,,,,150,39.20
Jack Sanborn,2567424,LB,DAL,16,18,,1,,,,,,,,,,1,,,,151,38.80
Princely Umanmielen,2574003,LB,CAR,13,11,1.5,2,,1,1,,,,,,,,4,,,152,38.60
Zaire Barnes,2570185,LB,NYG,17,12,1,2,,,,,,,,,,,1,,,153,38.20
Joe Andreessen,2573632,LB,BUF,14,21,,2,,,,,,,,,,,2,,,154,37.60
Isaiah Stalbird,2573400,LB,NO,12,13,2,2,,,,,,,,,,1,3,,,155,36.80
Willie Gay Jr.,2564280,LB,MIA,10,10,2,3,,,,,,,,,,2,2,,,156,35.50
Joshua Uche,2564649,LB,PHI,14,9,1,2,,,,,,,,,,1,3,,,157,35.40
Luke Gifford,2562942,LB,SF,12,23,,,,,1,,,,,,,1,,,,158,35.30
Troy Reeder,2563313,LB,LAR,17,8,,,,,,,,,,,,2,,,,159,35.30
Jeremiah Trotter Jr.,2572396,LB,PHI,15,17,,1,,,,,,,,,,,2,,,160,35.20
Claudin Cherelus,2570617,LB,CAR,14,18,,,,,,,,,,,,1,,,,161,34.30
Joe Giles-Harris,2562591,LB,CIN,14,13,,,,,,,,,,,,2,,,,162,33.80
Cameron Thomas,2568129,LB,CLE,7,21,2.5,1,,,,,,,,,,,7,,,163,33.10
