PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Olamide Zaccheaus,2562808,WR,CHI,,,,25,,39,313,2,,,,,31.33,4,39,43,39,65,60,3,1,1,81,65.30
Pat Bryant,2574086,WR,DEN,,,,,,31,378,1,,,,,23.96,,31,31,31,49,63,,,,82,64.40
Sterling Shepard,2555295,WR,TB,,,,19,,39,371,1,,,,1,22.95,4,39,43,39,53,74,2,1,,83,62.50
Greg Dortch,2562645,WR,ARI,,,,15,1,29,206,3,,,,1,29.41,7,29,36,29,33,88,4,2,,84,62.30
Darnell Mooney,2563707,WR,ATL,,,,,,32,443,1,,,,2,23.73,,32,32,32,72,44,,,,85,62.30
Dontayvion Wicks,2569759,WR,GB,,,,6,,30,332,2,,,,,21.43,1,30,31,30,46,65,1,,1,86,62.30
JuJu Smith-Schuster,2558149,WR,KC,,,,,,33,345,1,,,,,28.99,,33,33,33,45,73,1,,1,87,59.33
Tory Horton,2574561,WR,SEA,,,,,,13,161,5,1,,,,27.38,,13,13,13,22,59,2,,1,88,58.60
Tyler Lockett,2552430,WR,LV,,,,,,32,291,1,,1,,,23.72,,32,32,32,55,58,1,,1,89,58.10
Matthew Golden,2574130,WR,GB,,,,49,,29,361,,,,,,21.43,10,29,39,29,44,66,,,,90,57.00
John Metchie III,2567682,WR,NYJ,,,,-5,,33,274,2,,,,,23.03,3,33,36,33,48,69,1,,,91,56.90
DeAndre Hopkins,2540165,WR,BAL,,,,,,22,330,2,,,,,28.74,,22,22,22,39,56,,,,92,56.00
Van Jefferson,2564358,WR,TEN,,,,,,29,350,1,,,,,27.18,,29,29,29,52,56,1,,1,93,55.50
Jaylin Noel,2574176,WR,HOU,,,,12,,26,292,2,,,,,30.59,6,26,32,26,35,74,1,,1,94,55.40
Devaughn Vele,2572006,WR,NO,,,,,,25,293,2,,,,,29.20,,25,25,25,39,64,2,,1,95,55.30
Kalif Raymond,2556661,WR,DET,,,,19,,24,289,1,1,,,,30.69,2,24,26,24,30,80,,,,96,54.80
Tre Harris,2574515,WR,LAC,,,,10,,30,324,1,,,,,21.91,2,30,32,30,43,70,1,,1,97,54.40
Malik Nabers,2572342,WR,NYG,,,,,,18,271,2,,,,,34.29,,18,18,18,35,51,2,,,98,51.10
Cedric Tillman,2569681,WR,CLE,,,,,,21,270,2,,,,,22.94,,21,21,21,39,54,2,,1,99,51.00
Luke McCaffrey,2572576,WR,WAS,,,,,,11,203,3,,,1,,22.63,,11,11,11,15,73,1,,1,100,50.60
Rashod Bateman,2565836,WR,BAL,,,,,,19,224,2,,,1,,28.74,,19,19,19,38,50,3,,2,101,47.40
Isaiah Bond,2574663,WR,CLE,,,,29,,18,338,,,,,,22.94,5,18,23,18,44,41,,,,102,47.20
Demarcus Robinson,2555478,WR,SF,,,,6,,22,276,1,,,1,,23.54,1,22,23,22,35,63,,,,103,47.20
Christian Kirk,2560781,WR,HOU,,,,,,28,239,1,,,,,30.59,,28,28,28,52,54,3,1,2,104,46.90
Tim Patrick,2558985,WR,JAX,,,,,,15,187,3,,,,,29.74,,15,15,15,24,63,7,3,3,105,45.70
Isaiah Williams,2573154,WR,NYJ,,,,34,,26,193,,2,,,1,23.03,3,26,29,26,36,72,,,,106,45.70
Xavier Smith,2570002,WR,LAR,,,,,,18,303,,,,,,25.72,,18,18,18,24,75,,,,107,45.60
Kyle Williams,2574387,WR,NE,,,,3,,10,209,3,,,,,25.53,2,10,12,10,21,48,,,,108,44.20
Devontez Walker,2571844,WR,BAL,,,,,,6,136,3,,,,,28.74,,6,6,6,8,75,1,,1,109,43.30
David Sills,2562732,WR,ATL,,,,,,18,191,2,,,,,23.73,,18,18,18,36,50,2,,2,110,43.10
Tyreek Hill,2556214,WR,MIA,,,,,,21,265,1,,,,,25.39,,21,21,21,29,72,2,1,1,111,43.00
Josh Palmer,2566502,WR,BUF,,,,,,22,303,,,,,,25.88,,22,22,22,37,59,,,,112,42.80
Jahan Dotson,2568321,WR,PHI,,,,,,18,262,1,,,,,30.10,,18,18,18,36,50,,,,113,41.20
Tyrell Shavers,2571425,WR,BUF,,,,,,15,245,1,,,,,25.88,,15,15,15,23,65,,,,114,40.10
Brandin Cooks,2543498,WR,BUF,,,,,,24,279,,,,,,25.88,,24,24,24,36,67,,,,115,39.90
Dyami Brown,2566586,WR,JAX,,,,30,,20,227,1,,,,1,29.74,6,20,26,20,37,54,3,,1,116,39.70
Jaylin Lane,2574612,WR,WAS,,,,7,,16,225,,2,,,3,22.63,1,16,17,16,32,50,,,,117,39.70
Chris Moore,2555209,WR,WAS,,,,9,,11,207,1,,,,,22.63,1,11,12,11,23,48,,,,118,39.10
Jayden Reed,2569765,WR,GB,,,,28,,19,207,1,,,,,21.43,3,19,22,19,22,86,1,,,119,39.00
Calvin Ridley,2560854,WR,TEN,,,,,,17,303,,,,,,27.18,,17,17,17,36,47,,,,120,38.80
Ben Skowronek,2566247,WR,PIT,,,,,,4,69,1,,,,,30.37,,4,4,4,6,67,,,,121,37.80
Jalen Tolbert,2567508,WR,DAL,,,,,,18,203,1,,,1,,29.66,,18,18,18,34,53,,,,122,37.30
Jack Bech,2574285,WR,LV,,,,,,20,224,,,,,,23.72,,20,20,20,29,69,,,,123,36.00
Brycen Tremayne,2571665,WR,CAR,,,,,,14,160,,,,,1,25.71,,14,14,14,18,78,,,,124,34.50
Roman Wilson,2572459,WR,PIT,,,,,,12,166,2,,,,1,30.37,,12,12,12,21,57,,,,125,34.10
Jordan Whittington,2572216,WR,LAR,,,,12,,18,171,,,,,,25.72,3,18,21,18,25,72,,,,126,31.90
Tyler Johnson,2565225,WR,NYJ,,,,,,12,197,1,,,,,23.03,,12,12,12,18,67,1,,,127,31.70
Adam Thielen,2541785,WR,PIT,,,,,,19,186,,,,1,,30.37,,19,19,19,35,54,,,,128,30.10
Ashton Dulin,2562646,WR,IND,,,,44,,5,106,,,,,,21.85,3,5,8,5,10,50,,,,129,29.50
Gunner Olszewski,2563329,WR,NYG,33,1,,,,10,145,1,,,,1,34.29,,10,10,10,13,77,,,,130,28.82
Hunter Renfrow,2562712,WR,FA,,,,,,15,89,2,,,,,,,,,,,,,,,131,28.40
Tutu Atwell,2566196,WR,LAR,,,,,,6,192,1,,,,,25.72,,6,6,6,15,40,,,,132,28.20
Malachi Corley,2572357,WR,CLE,,,,127,,11,79,,,,,,22.94,13,11,24,11,14,79,,,,133,28.20
Lil'Jordan Humphrey,2562668,WR,DEN,,,,,,13,156,1,,,,,23.96,,13,13,13,25,52,1,,1,134,28.10
Mitchell Tinsley,2571650,WR,CIN,,,,,,8,116,2,,,,,21.56,,8,8,8,24,33,2,,,135,27.60
Kevin Austin Jr.,2568954,WR,NO,,,,,,13,140,1,,,,,29.20,,13,13,13,23,57,1,,1,136,26.50
Gabe Davis,2563602,WR,BUF,,,,,,12,129,1,,,,,25.88,,12,12,12,18,67,2,1,1,137,26.40
Bo Melton,2568261,WR,GB,,,,35,,4,107,1,,,,,21.43,5,4,9,4,13,31,,,,138,26.40
Treylon Burks,2567643,WR,WAS,,,,,,10,130,1,,,,,22.63,,10,10,10,22,45,1,,1,139,26.10
Cody White,2564313,WR,SEA,,,,,,3,90,1,,,,,27.38,,3,3,3,4,75,,,,140,25.80
Jahdae Walker,2574021,WR,CHI,,,,,,6,87,2,,,,,31.33,,6,6,6,10,60,1,,,141,25.50
Elijah Moore,2566385,WR,DEN,,,,24,1,9,112,,,,,,23.96,6,9,15,9,17,53,,,,142,25.07
Zay Jones,2557863,WR,ARI,,,,,,12,183,,,,,,29.41,,12,12,12,18,67,,,,143,24.30
Marquez Valdes-Scantling,2560907,WR,PIT,,,,,,14,120,1,,,,1,30.37,,14,14,14,29,48,1,,,144,24.00
Jalen McMillan,2572552,WR,TB,,,,1,,12,178,,,,,,22.95,1,12,13,12,15,80,,,,145,23.90
Jimmy Horn Jr.,2573985,WR,CAR,,,,69,,11,108,,,,,,25.71,8,11,19,11,15,73,,,,146,23.20
Nick Westbrook-Ikhine,2565477,WR,MIA,,,,,,11,89,,,,,,25.39,,11,11,11,20,55,,,,147,23.10
Theo Wease Jr.,2574335,WR,MIA,,,,,,6,139,1,,,,,25.39,,6,6,6,10,60,,,,148,22.90
Tylan Wallace,2565857,WR,BAL,,,,,,4,45,1,,,,,28.74,,4,4,4,8,50,1,,,149,22.80
Isaiah Hodgins,2563611,WR,NYG,,,,,,10,115,1,,,,,34.29,,10,10,10,19,53,2,,,150,22.50
Ryan Miller,2571596,WR,NYG,,,,,,2,34,1,,,,,34.29,,2,2,2,4,50,,,,151,22.50
Konata Mumpfield,2574272,WR,LAR,,,,,,10,92,1,,,,,25.72,,10,10,10,23,43,1,,1,152,21.70
Savion Williams,2574141,WR,GB,,,,37,,10,78,1,,,,1,21.43,11,10,21,10,10,100,1,,1,153,21.10
Dont'e Thornton Jr.,2574312,WR,LV,,,,,,10,135,,,,,,23.72,,10,10,10,30,33,,,,154,20.00
Josh Reynolds,2558194,WR,NYJ,,,,,,11,101,,,,1,,23.03,,11,11,11,21,52,,,,155,19.10
Curtis Samuel,2558066,WR,BUF,,,,,,7,81,1,,,,,25.88,,7,7,7,9,78,1,,1,156,19.10
Kameron Johnson,2573572,WR,TB,,,,13,,4,64,1,,,,2,22.95,2,4,6,4,7,57,,,,157,18.20
Allen Lazard,2560787,WR,FA,,,,,,10,70,1,,,,,,,,,,,,,,,158,18.00
Dareke Young,2568291,WR,SEA,,,,,,2,48,,,,,,27.38,,2,2,2,3,67,,,,159,17.50
Jamari Thrash,2571955,WR,CLE,,,,,,10,107,,,,,,22.94,,10,10,10,15,67,,,,160,15.70
Shedrick Jackson,2570828,WR,LV,,,,3,,4,56,1,,,,,23.72,1,4,5,4,5,80,,,,161,15.40
Dante Pettis,2560836,WR,NO,,,,,,9,127,,,,,1,29.20,,9,9,9,11,82,,,,162,15.20
Efton Chism III,2574369,WR,NE,,,,,,3,75,1,,,,,25.53,,3,3,3,3,100,1,,1,163,15.00
Arian Smith,2574450,WR,NYJ,,,,13,,7,52,,,,,,23.03,4,7,11,7,16,44,,,,164,14.50
Tai Felton,2574344,WR,MIN,,,,,,3,25,,,,,,26.34,,3,3,3,3,100,,,,165,13.90
Darius Cooper,2574456,WR,PHI,,,,,,9,92,,,,,,30.10,,9,9,9,11,82,,,,166,13.70
KhaDarel Hodge,2561653,WR,ATL,,,,,,3,31,,,,,,23.73,,3,3,3,10,30,,,,167,13.60
KeAndre Lambert-Smith,2574521,WR,LAC,,,,,,5,51,1,,,,,21.91,,5,5,5,12,42,1,,,168,13.60
Malik Heath,2570518,WR,ATL,,,,,,6,86,,,,,,23.73,,6,6,6,7,86,,,,169,13.10
Mason Tipton,2573403,WR,NO,,,,18,,11,76,,,,,1,29.20,4,11,15,11,17,65,,,,170,12.90
Mason Kinsey,2565459,WR,TEN,,,,,,2,48,,,,,,27.18,,2,2,2,4,50,,,,171,12.40
Casey Washington,2571820,WR,ATL,,,,,,6,94,,,,,,23.73,,6,6,6,14,43,,,,172,12.40
Ray-Ray McCloud,2560801,WR,FA,,,,,,7,69,,,,,,,,,,,,,,,,173,11.90
Skyy Moore,2567805,WR,SF,,,,11,,5,87,,,,,1,23.54,2,5,7,5,7,71,,,,174,11.30
Michael Bandy,2567175,WR,DEN,,,,,,4,50,1,,,,1,23.96,,4,4,4,4,100,,,,175,11.00
Noah Brown,2558091,WR,WAS,,,,,,5,83,,,,,,22.63,,5,5,5,10,50,,,,176,10.80
Scott Miller,2562865,WR,PIT,,,,,,9,62,,,,,,30.37,,9,9,9,14,64,,,,177,10.70
Laquon Treadwell,2555214,WR,IND,,,,,,,,,,,,,21.85,,,,,,,,,,178,10.20
Xavier Weaver,2573412,WR,ARI,,,,,,7,67,,,,,,29.41,,7,7,7,13,54,,,,179,10.20
Ronnie Bell,2570290,WR,NO,,,,,,2,23,1,,,,,29.20,,2,2,2,4,50,1,,,180,9.90
James Proche,2563572,WR,TEN,,,,,,6,65,,,,,,27.18,,6,6,6,12,50,,,,181,9.50
Austin Trammell,2566728,WR,JAX,,,,,,3,46,,,,,,29.74,,3,3,3,10,30,1,,,182,9.10
Jalin Hyatt,2570152,WR,NYG,,,,,,5,35,,,,,,34.29,,5,5,5,14,36,,,,183,9.00
Trent Sherfield,2561272,WR,ARI,,,,,,3,21,,,,,,29.41,,3,3,3,5,60,,,,184,8.70
Dee Eskridge,2566553,WR,MIA,,,,,,4,62,,,,,1,25.39,,4,4,4,7,57,,,,185,8.30
Jalen Brooks,2569696,WR,ARI,,,,,,3,51,,,,,1,29.41,,3,3,3,6,50,,,,186,8.20
Robbie Chosen,2556462,WR,WAS,,,,,,5,53,,,,,,22.63,,5,5,5,9,56,,,,187,7.80
Dylan Drummond,2571446,WR,ATL,,,,,,7,42,,,,,,23.73,,7,7,7,11,64,,,,188,7.70
