PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Mike Jackson,2562434,DB,CAR,SEA,8,3,,,1,,,,,,,,,2,,,,1,22.30
Alontae Taylor,2567979,DB,NO,@TEN,7,2,,,,,,,,,,,,4,1,,,2,22.20
Xavier Watts,2573921,DB,ATL,LAR,4,1,,,2,,,,,,,,,3,,32,,3,22.17
Harrison Smith,2532948,DB,MIN,DET,3,,1,2,1,,,,,,,,,3,1,1,,4,21.03
Jessie Bates,2560970,DB,ATL,LAR,4,3,,,1,,,1,,,,,,1,,34,,5,18.93
Grant Delpit,2563773,DB,CLE,PIT,7,1,1,1,,1,,,,,,,,,1,,,6,18.60
Jason Marshall Jr.,2574327,DB,MIA,TB,4,3,,1,1,,,,,,,,,2,,24,,7,18.60
Ashtyn Davis,2564793,DB,MIA,TB,5,2,,,1,,,,,,,,,2,,21,,8,17.90
Nick Cross,2567700,DB,IND,JAX,9,3,,1,,,,,,,,,,,1,,,9,17.30
Jack Jones,2567940,DB,MIA,TB,8,2,,1,,,,,,,,,,1,,,,10,17.20
Kenny Moore II,2558976,DB,IND,JAX,8,2,,2,,,,,,,,,,,,,,11,16.20
Nohl Williams,2574260,DB,KC,DEN,7,1,,3,,,,,,,,,,,,,,12,15.60
Deonte Banks,2570155,DB,NYG,@LV,3,,,,,,,,,,,,,2,,,,13,15.50
Kyle Dugger,2564601,DB,PIT,@CLE,5,3,,,1,,,,,,,,,1,,,,14,15.30
Julian Love,2562414,DB,SEA,@CAR,5,1,,,1,,,,,,,,,1,,26,,15,14.97
Derwin James,2560760,DB,LAC,HOU,4,4,,,1,,,,,,,,,1,,7,,16,14.63
Denzel Burke,2574477,DB,ARI,@CIN,5,1,,1,,,,,,,,,,2,,,,17,14.60
A.J. Terrell,2563527,DB,ATL,LAR,6,1,,,,,,,,,,,,2,,,,18,14.60
Marcus Epps,2562946,DB,PHI,@BUF,8,1,,1,,,,,,,,,,,,,,19,14.10
Xavier McKinney,2564766,DB,GB,BAL,6,7,,,,,,,,,,,,,,,,20,13.20
Dane Belton,2567988,DB,NYG,@LV,3,4,,,1,,,,,,,,,1,,8,,21,13.17
Qwan'tez Stiggers,2572369,DB,NYJ,NE,6,4,,1,,,,,,,,,,,,,,22,12.90
Chamarri Conner,2569927,DB,KC,DEN,7,3,,,,,,,,,,,,,1,,,23,12.80
Cameron Mitchell,2569684,DB,IND,JAX,4,3,,,,,,,,,,,,2,,,,24,12.80
Malachi Moore,2574444,DB,NYJ,NE,4,3,,1,,,,,,,,,,1,,,,25,12.60
Montaric Brown,2567727,DB,JAX,@IND,4,2,,,,,,,,,,,,2,,,,26,12.20
Kool-Aid McKinstry,2572321,DB,NO,@TEN,4,2,,,,,,,,,,,,2,,,,27,12.20
Tyson Campbell,2566151,DB,CLE,PIT,3,1,,1,,,,,,,,,,2,,,,28,11.60
Byron Murphy,2562318,DB,MIN,DET,3,,,,1,,1,,,,,,,1,,,,29,11.50
Dell Pettus,2573346,DB,NE,@NYJ,4,2,1,1,,,,,,,,,,,1,,,30,11.20
Kristian Fulton,2564046,DB,KC,DEN,2,1,,,,,,,,,,,,3,,,,31,11.10
Bryan Cook,2567787,DB,KC,DEN,4,4,,,,,,,,,,,,1,,,,32,10.90
Kam Curl,2565270,DB,LAR,@ATL,6,3,,,,,,,,,,,,,,,,33,10.80
Kamari Lassiter,2572102,DB,HOU,@LAC,5,1,,,,,,,,,,,,1,,,,34,10.60
Tre'von Moehrig,2566268,DB,CAR,SEA,3,1,1,2,,,,,,,,,,,1,,,35,10.60
Will Harris,2562395,DB,WAS,DAL,5,5,,,,,,,,,,,,,,,,36,10.50
Nate Wiggins,2571847,DB,BAL,@GB,7,,,,,,,,,,,,,,,,,37,10.50
Jaquan Brisker,2567370,DB,CHI,@SF,3,5,,,,,,,,,,,,1,,,,38,10.00
Cooper DeJean,2572375,DB,PHI,@BUF,5,4,,,,,,,,,,,,,,,,39,9.90
Dadrion Taylor-Demerson,2572432,DB,ARI,@CIN,5,4,,,,,,,,,,,,,,,,40,9.90
Adoree' Jackson,2558065,DB,PHI,@BUF,2,3,,,,,,,,,,,,2,,,,41,9.80
Jeremy Reaves,2561394,DB,WAS,DAL,4,2,,,,,,,,,,,,1,,,,42,9.70
Mike Sainristil,2572582,DB,WAS,DAL,4,2,,,,,,,,,,,,1,,,,43,9.70
Elijah Molden,2566115,DB,LAC,HOU,2,1,,,1,,,,,,,,,1,,,,44,9.60
Ty Okada,2571354,DB,SEA,@CAR,5,1,,1,,,,,,,,,,,,,,45,9.60
Tarheeb Still,2572483,DB,LAC,HOU,5,1,,1,,,,,,,,,,,,,,46,9.60
Nahshon Wright,2566022,DB,CHI,@SF,6,1,,,,,,,,,,,,,,,,47,9.60
Christian Benford,2567322,DB,BUF,PHI,3,,,,,,,,,,,,,2,,,,48,9.50
Kemon Hall,2562975,DB,TEN,NO,4,,,,,1,,,,,,,,,,,,49,9.50
Keisean Nixon,2562938,DB,GB,BAL,3,4,,,,,,,,,,,,1,,,,50,9.40
Jalen Pitre,2567688,DB,HOU,@LAC,4,1,,,,,,,,,,,,1,,,,51,9.10
Greedy Vance,2574313,DB,LV,NYG,4,,,,,,,,,,,,,1,1,,,52,9.00
Marlon Humphrey,2558067,DB,BAL,@GB,1,2,,,1,,,,,,,,,1,,6,,53,8.90
Noah Igbinoghene,2564457,DB,WAS,DAL,3,3,,,,,,,,,,,,1,,,,54,8.80
Shavon Revel Jr.,2574081,DB,DAL,@WAS,3,3,,,,,,,,,,,,1,,,,55,8.80
Reddy Steward,2572974,DB,DAL,@WAS,2,3,0.5,,,,,,,,,,,1,1,,,56,8.80
Nick Scott,2562905,DB,CAR,SEA,5,2,,,,,,,,,,,,,,,,57,8.70
Daniel Thomas,2564238,DB,DET,@MIN,3,4,,1,,,,,,,,,,,,,,58,8.40
Theo Jackson,2567652,DB,MIN,DET,2,2,1,1,,,,,,,,,,,1,,,59,8.20
Daxton Hill,2567451,DB,CIN,ARI,,1,,,,,,,,,,,,3,,,,60,8.10
Kaiir Elam,2567331,DB,TEN,NO,2,,,1,,,1,,,,,,,1,,,,61,8.00
Lonnie Johnson,2562295,DB,LV,NYG,4,3,,,,,,,,,,,,,,,,62,7.80
Andru Phillips,2572348,DB,NYG,@LV,3,3,,1,,,,,,,,,,,,,,63,7.80
Devon Witherspoon,2570323,DB,SEA,@CAR,3,1,,,,,,,,,,,,1,,,,64,7.60
Jaylinn Hawkins,2563500,DB,NE,@NYJ,1,,,,1,,,,,,,,,1,,,,65,7.50
Antonio Johnson,2569879,DB,JAX,@IND,1,,,,1,,,,,,,,,1,,,,66,7.50
C.J. Gardner-Johnson,2562588,DB,CHI,@SF,2,3,,,,,,,,,,,,1,,,,67,7.30
K'Von Wallace,2564871,DB,HOU,@LAC,3,2,,1,,,,,,,,,,,,,,68,7.20
Andrew Wingard,2562606,DB,JAX,@IND,3,2,,1,,,,,,,,,,,,,,69,7.20
Jarrian Jones,2572144,DB,JAX,@IND,,1,,,1,,,,,,,,,1,,13,,70,7.03
Benjamin Morrison,2574592,DB,TB,@MIA,2,2,,,,,,,,,,,,1,,,,71,6.70
Darrell Baker Jr.,2569161,DB,TEN,NO,4,1,,,,,,,,,,,,,,,,72,6.60
Reed Blankenship,2568057,DB,PHI,@BUF,4,1,,,,,,,,,,,,,,,,73,6.60
Kendell Brooks,2571050,DB,TEN,NO,4,1,,,,,,,,,,,,,,,,74,6.60
Chuck Clark,2558248,DB,PIT,@CLE,4,1,,,,,,,,,,,,,,,,75,6.60
Cam Lewis,2563205,DB,BUF,PHI,4,1,,,,,,,,,,,,,,,,76,6.60
Pat Surtain II,2566043,DB,DEN,@KC,4,1,,,,,,,,,,,,,,,,77,6.60
Evan Williams,2572057,DB,GB,BAL,4,1,,,,,,,,,,,,,,,,78,6.60
Rayshawn Jenkins,2558182,DB,CLE,PIT,2,,,,,1,,,,,,,,,,,,79,6.50
Tony Jefferson,2540164,DB,LAC,HOU,2,2,,1,,,,,,,,,,,1,,,80,6.20
Sauce Gardner,2568027,DB,IND,JAX,2,1,,,,,,,,,,,,1,,,,81,6.10
Eric Murray,2555173,DB,JAX,@IND,2,1,,,,,,,,,,,,1,,,,82,6.10
Malik Mustapha,2572504,DB,SF,CHI,2,1,,,,,,,,,,,,1,,,,83,6.10
Isaiah Pola-Mao,2568993,DB,LV,NYG,2,1,,,,,,,,,,,,1,,,,84,6.10
Darien Porter,2574306,DB,LV,NYG,2,1,,,,,,,,,,,,1,,,,85,6.10
Justin Reid,2560851,DB,NO,@TEN,1,1,,1,,,,,,,,,,1,,,,86,6.10
Derek Stingley Jr.,2567694,DB,HOU,@LAC,2,1,,,,,,,,,,,,1,,,,87,6.10
Christian Gonzalez,2570122,DB,NE,@NYJ,4,,,,,,,,,,,,,,,,,88,6.00
Will Johnson,2574484,DB,ARI,@CIN,4,,,,,,,,,,,,,,,,,89,6.00
Tristin McCollum,2568882,DB,LV,NYG,3,,,1,,,,,,,,,,,,,,90,6.00
Antoine Winfield Jr.,2565261,DB,TB,@MIA,2,5,,,,,,,,,,,,,,,,91,6.00
Ji'Ayir Brown,2570287,DB,SF,CHI,1,3,,,,,,,,,,,,1,,,,92,5.80
P.J. Locke,2563012,DB,DEN,@KC,2,2,,1,,,,,,,,,,,,,,93,5.70
Ifeatu Melifonwu,2566064,DB,MIA,TB,3,2,,,,,,,,,,,,,,,,94,5.70
Jalen Ramsey,2555280,DB,PIT,@CLE,3,2,,,,,,,,,,,,,,,,95,5.70
Brenden Schooler,2568483,DB,NE,@NYJ,3,2,,,,,,,,,,,,,,,,96,5.70
Malaki Starks,2573952,DB,BAL,@GB,3,2,,,,,,,,,,,,,,,,97,5.70
Jay Ward,2570089,DB,MIN,DET,3,2,,,,,,,,,,,,,,,,98,5.70
Donovan Wilson,2562604,DB,DAL,@WAS,2,2,,1,,,,,,,,,,,,,,99,5.70
Jonathan Jones,2556571,DB,WAS,DAL,,1,,,,,,,,,,,,2,,,,100,5.60
Dee Alford,2567244,DB,ATL,LAR,2,,,,,,,,,,,,,1,,,,101,5.50
D.J. Ivey,2569660,DB,CIN,ARI,2,,,,,,,,,,,,,1,,,,102,5.50
Darren Hall,2565821,DB,ARI,@CIN,2,4,,,,,,,,,,,,,,,,103,5.40
Paulson Adebo,2566346,DB,NYG,@LV,1,2,,,,,,,,,,,,1,,,,104,5.20
Javon Bullard,2572027,DB,GB,BAL,3,1,,,,,,,,,,,,,,,,105,5.10
Camryn Bynum,2566295,DB,IND,JAX,3,1,,,,,,,,,,,,,,,,106,5.10
Quinyon Mitchell,2572387,DB,PHI,@BUF,3,1,,,,,,,,,,,,,,,,107,5.10
Quincy Riley,2574404,DB,NO,@TEN,3,1,,,,,,,,,,,,,,,,108,5.10
Geno Stone,2563584,DB,CIN,ARI,3,1,,,,,,,,,,,,,,,,109,5.10
Upton Stout,2574548,DB,SF,CHI,3,1,,,,,,,,,,,,,,,,110,5.10
Jalen Thompson,2563339,DB,ARI,@CIN,3,1,,,,,,,,,,,,,,,,111,5.10
Rock Ya-Sin,2562614,DB,DET,@MIN,3,1,,,,,,,,,,,,,,,,112,5.10
Jalen Mills,2555383,DB,DET,@MIN,,4,,,,,,,,,,,,1,,,,113,4.90
Kamren Kinchens,2572204,DB,LAR,@ATL,2,3,,,,,,,,,,,,,,,,114,4.80
Jacob Parrish,2574594,DB,TB,@MIA,2,3,,,,,,,,,,,,,,,,115,4.80
Jamel Dean,2562556,DB,TB,@MIA,1,1,,,,,,,,,,,,1,,,,116,4.60
Emmanuel Forbes,2570371,DB,LAR,@ATL,1,1,,,,,,,,,,,,1,,,,117,4.60
Jaylon Johnson,2563701,DB,CHI,@SF,1,1,,,,,,,,,,,,1,,,,118,4.60
Miles Battle,2572808,DB,FA,Bye,3,,,,,,,,,,,,,,,,,119,4.50
Jordan Clark,2574434,DB,NYJ,NE,3,,,,,,,,,,,,,,,,,120,4.50
Maxwell Hairston,2573959,DB,BUF,PHI,3,,,,,,,,,,,,,,,,,121,4.50
Jonas Sanker,2574405,DB,NO,@TEN,3,,,,,,,,,,,,,,,,,122,4.50
Ja'Sir Taylor,2568192,DB,NYJ,NE,3,,,,,,,,,,,,,,,,,123,4.50
Marcus Williams,2558847,DB,LAC,HOU,3,,,,,,,,,,,,,,,,,124,4.50
D.J. Reed,2560850,DB,DET,@MIN,,3,,,,,,,,,,,,1,,,,125,4.30
Jahdae Barron,2574084,DB,DEN,@KC,2,2,,,,,,,,,,,,,,,,126,4.20
Rasul Douglas,2558168,DB,MIA,TB,2,2,,,,,,,,,,,,,,,,127,4.20
Kyle Hamilton,2567274,DB,BAL,@GB,2,2,,,,,,,,,,,,,,,,128,4.20
Raheem Layne,2569206,DB,NYG,@LV,2,2,,,,,,,,,,,,,,,,129,4.20
Deommodore Lenoir,2566535,DB,SF,CHI,2,2,,,,,,,,,,,,,,,,130,4.20
Isaiah Rodgers,2564142,DB,MIN,DET,2,2,,,,,,,,,,,,,,,,131,4.20
Tremon Smith,2561103,DB,HOU,@LAC,2,2,,,,,,,,,,,,,,,,132,4.20
Nate Hobbs,2566259,DB,GB,BAL,1,,,,,,,,,,,,,1,,,,133,4.00
Greg Newsome II,2565980,DB,JAX,@IND,1,,,,,,,,,,,,,1,,,,134,4.00
Tre Avery,2568801,DB,CLE,PIT,2,1,,,,,,,,,,,,,,,,135,3.60
Jalen Davis,2561316,DB,CIN,ARI,2,1,,,,,,,,,,,,,,,,136,3.60
Nick Emmanwori,2574558,DB,SEA,@CAR,2,1,,,,,,,,,,,,,,,,137,3.60
Alohi Gilman,2565042,DB,BAL,@GB,2,1,,,,,,,,,,,,,,,,138,3.60
Darrell Luter Jr.,2570305,DB,SF,CHI,2,1,,,,,,,,,,,,,,,,139,3.60
Bralyn Lux,2574033,DB,CIN,ARI,2,1,,,,,,,,,,,,,,,,140,3.60
Riley Moss,2569723,DB,DEN,@KC,2,1,,,,,,,,,,,,,,,,141,3.60
Jason Pinnock,2565753,DB,SF,CHI,2,1,,,,,,,,,,,,,,,,142,3.60
Joey Porter Jr.,2570251,DB,PIT,@CLE,1,3,,,,,,,,,,,,,,,,143,3.30
Calen Bullock,2572081,DB,HOU,@LAC,,1,,,,,,,,,,,,1,,,,144,3.10
DJ Turner II,2569654,DB,CIN,ARI,,1,,,,,,,,,,,,1,,,,145,3.10
Denzel Ward,2560916,DB,CLE,PIT,,1,,,,,,,,,,,,1,,,,146,3.10
Cole Bishop,2571850,DB,BUF,PHI,2,,,,,,,,,,,,,,,,,147,3.00
Carlton Davis III,2561039,DB,NE,@NYJ,2,,,,,,,,,,,,,,,,,148,3.00
C.J. Henderson,2564199,DB,ATL,LAR,2,,,,,,,,,,,,,,,,,149,3.00
Ronnie Hickman Jr.,2570867,DB,CLE,PIT,2,,,,,,,,,,,,,,,,,150,3.00
Amani Hooker,2562666,DB,TEN,NO,2,,,,,,,,,,,,,,,,,151,3.00
Jaycee Horn,2565893,DB,CAR,SEA,2,,,,,,,,,,,,,,,,,152,3.00
Marcus Jones,2567943,DB,NE,@NYJ,2,,,,,,,,,,,,,,,,,153,3.00
Quan Martin,2570377,DB,WAS,DAL,2,,,,,,,,,,,,,,,,,154,3.00
Fabian Moreau,2558136,DB,MIN,DET,2,,,,,,,,,,,,,,,,,155,3.00
Chau Smith-Wade,2571895,DB,CAR,SEA,2,,,,,,,,,,,,,,,,,156,3.00
