PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Da'Shawn Hand,2561004,DL,LAC,HOU,2,,,,,,,,,,,,,1,,,,59,5.50
Khalen Saunders,2562723,DL,NYJ,NE,1,,1,1,,,,,,,,,,,1,,,60,5.50
Sam Williams,2567514,DL,DAL,@WAS,1,,,1,,,,,,,,,,1,,,,61,5.50
Javon Hargrave,2555239,DL,MIN,DET,2,3,,,,,,,,,,,,,1,,,62,5.30
Harrison Phillips,2560840,DL,NYJ,NE,2,3,,,,,,,,,,,,,1,,,63,5.30
Teair Tart,2565474,DL,LAC,HOU,1,2,,,,,,,,,,,,1,,,,64,5.20
Kalia Davis,2568204,DL,SF,CHI,2,1,,1,,,,,,,,,,,,,,65,5.10
Dexter Lawrence,2562301,DL,NYG,@LV,2,1,,1,,,,,,,,,,,,,,66,5.10
Deone Walker,2573975,DL,BUF,PHI,2,1,,1,,,,,,,,,,,,,,67,5.10
A'Shawn Robinson,2555265,DL,CAR,SEA,,9,,,,,1,,,,,,,,1,,3,68,5.00
Karl Brooks,2569753,DL,GB,BAL,2,3,,,,,,,,,,,,,,,,69,4.80
Zachary Carter,2567445,DL,ARI,@CIN,2,3,,,,,,,,,,,,,,,,70,4.80
Jalyn Holmes,2560744,DL,WAS,DAL,2,3,,,,,,,,,,,,,,,,71,4.80
Malcolm Roach,2564688,DL,DEN,@KC,2,3,,,,,,,,,,,,,,,,72,4.80
Tyree Wilson,2570050,DL,LV,NYG,2,3,,,,,,,,,,,,,,,,73,4.80
Greg Rousseau,2565875,DL,BUF,PHI,1,2,0.5,,,,,,,,,,,,2,,,74,4.70
Jamaree Caldwell,2574507,DL,LAC,HOU,2,,,1,,,,,,,,,,,,,,75,4.50
Chauncey Golston,2566007,DL,NYG,@LV,2,,,1,,,,,,,,,,,,,,76,4.50
Roy Robertson-Harris,2556665,DL,NYG,@LV,3,,,,,,,,,,,,,,,,,77,4.50
Levi Drake Rodriguez,2572276,DL,MIN,DET,2,,,1,,,,,,,,,,,,,,78,4.50
Andrew Billings,2555267,DL,CHI,@SF,1,2,,1,,,,,,,,,,,,,,79,4.20
Marcus Davenport,2561037,DL,DET,@MIN,2,2,,,,,,,,,,,,,,,,80,4.20
Zeek Biggers,2574319,DL,MIA,TB,,1,,,,,,,,,,,1,,1,,,81,4.10
Cory Durden,2570951,DL,NE,@NYJ,1,1,,1,,,,,,,,,,,1,,,82,4.10
Dre'Mont Jones,2562412,DL,BAL,@GB,,6,,,,,,,,,,,,,1,,,83,4.10
John Ridgeway,2567502,DL,NO,@TEN,2,1,,,,,,,,,,,,,1,,,84,4.10
Quinnen Williams,2562599,DL,DAL,@WAS,2,1,,,,,,,,,,,,,1,,,85,4.10
Tyleik Williams,2574122,DL,DET,@MIN,1,,1,,,,,,,,,,,,1,,,86,4.00
Cam Jackson,2573987,DL,CAR,SEA,1,4,,,,,,,,,,,,,,,,87,3.90
Darius Robinson,2572429,DL,ARI,@CIN,1,4,,,,,,,,,,,,,,,,88,3.90
Jacob Martin,2561092,DL,WAS,DAL,1,3,,,,,,,,,,,,,1,,,89,3.80
Alfred Collins,2574539,DL,SF,CHI,,2,,,,,,,,,,,,1,,,,90,3.70
Joey Bosa,2555249,DL,BUF,PHI,1,1,,1,,,,,,,,,,,,,,91,3.60
Kenneth Grant,2574323,DL,MIA,TB,2,1,,,,,,,,,,,,,,,,92,3.60
Adin Huntington,2574048,DL,CLE,PIT,2,1,,,,,,,,,,,,,,,,93,3.60
Arden Key,2560779,DL,TEN,NO,1,1,,1,,,,,,,,,,,,,,94,3.60
Mike Morris,2570317,DL,SEA,@CAR,1,1,,1,,,,,,,,,,,,,,95,3.60
Otito Ogbonnia,2568183,DL,LAC,HOU,1,1,,1,,,,,,,,,,,,,,96,3.60
JJ Pegues,2574305,DL,LV,NYG,2,1,,,,,,,,,,,,,,,,97,3.60
Nathan Shepherd,2560873,DL,NO,@TEN,2,1,,,,,,,,,,,,,,,,98,3.60
Dante Stills,2570218,DL,ARI,@CIN,2,1,,,,,,,,,,,,,,,,99,3.60
B.J. Hill,2560740,DL,CIN,ARI,2,,,,,,,,,,,,,,1,,,100,3.50
Roy Lopez,2566133,DL,DET,@MIN,2,,,,,,,,,,,,,,1,,,101,3.50
Sam Okuayinonu,2568831,DL,SF,CHI,1,,,1,,,,,,,,,,,1,,,102,3.50
Grover Stewart,2558766,DL,IND,JAX,,4,,,,,,,,,,,,,2,,,103,3.40
Ashton Gillotte,2574246,DL,KC,DEN,1,3,,,,,,,,,,,,,,,,104,3.30
LaCale London,2565405,DL,ATL,LAR,1,3,,,,,,,,,,,,,,,,105,3.30
T'Vondre Sweat,2572075,DL,TEN,NO,1,3,,,,,,,,,,,,,,,,106,3.30
Leonard Taylor III,2572720,DL,NE,@NYJ,1,3,,,,,,,,,,,,,,,,107,3.30
Tommy Togiai,2565989,DL,HOU,@LAC,1,3,,,,,,,,,,,,,,,,108,3.30
Thomas Booker,2567670,DL,LV,NYG,1,2,,,,,,,,,,,,,1,,,109,3.20
Neville Gallimore,2563842,DL,IND,JAX,,1,,,,,,,,,,,,1,,,,110,3.10
Sheldon Rankins,2555242,DL,HOU,@LAC,,1,0.5,,,,,,,,,,,,3,,,111,3.10
Jordan Elliott,2563779,DL,SF,CHI,,,,,,,,,,,,,,1,1,,,112,3.00
Shelby Harris,2549926,DL,CLE,PIT,,,,,,,,,,,,,,1,1,,,113,3.00
Larry Ogunjobi,2557836,DL,BUF,PHI,2,,,,,,,,,,,,,,,,,114,3.00
Solomon Thomas,2558018,DL,DAL,@WAS,1,,,1,,,,,,,,,,,,,,115,3.00
Eric Watts,2572726,DL,NYJ,NE,2,,,,,,,,,,,,,,,,,116,3.00
Keeanu Benton,2570260,DL,PIT,@CLE,1,2,,,,,,,,,,,,,,,,117,2.70
James Houston,2567544,DL,DAL,@WAS,1,2,,,,,,,,,,,,,,,,118,2.70
Preston Smith,2552276,DL,WAS,DAL,,2,0.5,,,,,,,,,,,,1,,,119,2.70
Shy Tuttle,2563242,DL,WAS,DAL,1,2,,,,,,,,,,,,,,,,120,2.70
Eyioma Uwazurike,2567535,DL,DEN,@KC,1,2,,,,,,,,,,,,,,,,121,2.70
Vita Vea,2560909,DL,TB,@MIA,1,2,,,,,,,,,,,,,,,,122,2.70
Zach Allen,2562219,DL,DEN,@KC,1,,,,,,,,,,,,,,2,,,123,2.50
Logan Lee,2572444,DL,PIT,@CLE,,,,,,,,,,,,,,1,,,,124,2.50
Jason Pierre-Paul,496843,DL,TB,@MIA,,,,,,,,,,,,,,1,,,,125,2.50
L.J. Collier,2562248,DL,ARI,@CIN,,3,,,,,,,,,,,,,1,,,126,2.30
Quinton Bohanna,2565995,DL,FA,Bye,1,1,,,,,,,,,,,,,,,,127,2.10
Justin Eboigbe,2572468,DL,LAC,HOU,1,1,,,,,,,,,,,,,,,,128,2.10
Greg Gaines,2562391,DL,TB,@MIA,1,1,,,,,,,,,,,,,,,,129,2.10
DaVon Hamilton,2564190,DL,JAX,@IND,1,1,,,,,,,,,,,,,,,,130,2.10
George Karlaftis,2567796,DL,KC,DEN,1,1,,,,,,,,,,,,,,,,131,2.10
James Lynch,2564565,DL,TEN,NO,,1,0.5,,,,,,,,,,,,1,,,132,2.10
Rylie Mills,2574569,DL,SEA,@CAR,1,1,,,,,,,,,,,,,,,,133,2.10
David Onyemata,2556274,DL,ATL,LAR,1,1,,,,,,,,,,,,,,,,134,2.10
Jordan Phillips,2574329,DL,MIA,TB,1,1,,,,,,,,,,,,,,,,135,2.10
Zach Sieler,2561129,DL,MIA,TB,1,1,,,,,,,,,,,,,,,,136,2.10
Elijah Simmons,2574487,DL,TB,@MIA,1,1,,,,,,,,,,,,,,,,137,2.10
Tuli Tuipulotu,2570266,DL,LAC,HOU,1,1,,,,,,,,,,,,,,,,138,2.10
A.J. Epenesa,2563605,DL,BUF,PHI,1,,,,,,,,,,,,,,1,,,139,2.00
Myles Garrett,2557965,DL,CLE,PIT,1,,,,,,,,,,,,,,1,,,140,2.00
Byron Murphy II,2572531,DL,SEA,@CAR,1,,,,,,,,,,,,,,1,,,141,2.00
Osa Odighizuwa,2566016,DL,DAL,@WAS,1,,,,,,,,,,,,,,1,,,142,2.00
Tyler Davis,2572192,DL,LAR,@ATL,,3,,,,,,,,,,,,,,,,143,1.80
Bryce Huff,2565510,DL,SF,CHI,,3,,,,,,,,,,,,,,,,144,1.80
Grady Jarrett,2552327,DL,CHI,@SF,,3,,,,,,,,,,,,,,,,145,1.80
Leonard Williams,2552486,DL,SEA,@CAR,,3,,,,,,,,,,,,,,,,146,1.80
Micheal Clemons,2568024,DL,NYJ,NE,,2,,,,,,,,,,,,,1,,,147,1.70
Poona Ford,2561195,DL,LAR,@ATL,,2,,,,,,,,,,,,,1,,,148,1.70
Matthew Butler,2567871,DL,MIA,TB,1,,,,,,,,,,,,,,,,,149,1.50
Isaiah Foskey,2570134,DL,CIN,ARI,1,,,,,,,,,,,,,,,,,150,1.50
Mike Hall Jr.,2571949,DL,CLE,PIT,1,,,,,,,,,,,,,,,,,151,1.50
Naquan Jones,2566953,DL,HOU,@LAC,1,,,,,,,,,,,,,,,,,152,1.50
James Pearce Jr.,2573916,DL,ATL,LAR,1,,,,,,,,,,,,,,,,,153,1.50
T.J. Sanders,2573972,DL,BUF,PHI,1,,,,,,,,,,,,,,,,,154,1.50
Jalon Walker,2573920,DL,ATL,LAR,1,,,,,,,,,,,,,,,,,155,1.50
CJ West,2574551,DL,SF,CHI,1,,,,,,,,,,,,,,,,,156,1.50
Yahya Black,2574489,DL,PIT,@CLE,,2,,,,,,,,,,,,,,,,157,1.20
Matt Dickerson,2561044,DL,JAX,@IND,,2,,,,,,,,,,,,,,,,158,1.20
Leki Fotu,2564910,DL,HOU,@LAC,,2,,,,,,,,,,,,,,,,159,1.20
Davon Godchaux,2558012,DL,NO,@TEN,,2,,,,,,,,,,,,,,,,160,1.20
Ty Hamilton,2574268,DL,LAR,@ATL,,2,,,,,,,,,,,,,,,,161,1.20
Desjuan Johnson,2569969,DL,LAR,@ATL,,2,,,,,,,,,,,,,,,,162,1.20
Phidarian Mathis,2568339,DL,BUF,PHI,,2,,,,,,,,,,,,,,,,163,1.20
Jarran Reed,2555238,DL,SEA,@CAR,,2,,,,,,,,,,,,,,,,164,1.20
Jerry Tillery,2562763,DL,KC,DEN,,2,,,,,,,,,,,,,,,,165,1.20
Rashan Gary,2562376,DL,GB,BAL,,1,,,,,,,,,,,,,1,,,166,1.10
Yetur Gross-Matos,2563641,DL,SF,CHI,,1,,,,,,,,,,,,,1,,,167,1.10
Sebastian Joseph-Day,2561079,DL,TEN,NO,,1,,,,,,,,,,,,,1,,,168,1.10
Kwity Paye,2565612,DL,IND,JAX,,1,,,,,,,,,,,,,1,,,169,1.10
Elijah Ponder,2574381,DL,NE,@NYJ,,1,,,,,,,,,,,,,1,,,170,1.10
Mike Green,2573928,DL,BAL,@GB,,,,,,,1,,,,,,,,,,,171,1.00
Adam Butler,2558924,DL,LV,NYG,,1,,,,,,,,,,,,,,,,172,0.60
Kenny Clark,2555282,DL,DAL,@WAS,,1,,,,,,,,,,,,,,,,173,0.60
Sheldon Day,2555241,DL,WAS,DAL,,1,,,,,,,,,,,,,,,,174,0.60
Donovan Ezeiruaku,2574073,DL,DAL,@WAS,,1,,,,,,,,,,,,,,,,175,0.60
Braden Fiske,2572195,DL,LAR,@ATL,,1,,,,,,,,,,,,,,,,176,0.60
Elijah Garcia,2567829,DL,ATL,LAR,,1,,,,,,,,,,,,,,,,177,0.60
Carl Granderson,2562273,DL,NO,@TEN,,1,,,,,,,,,,,,,,,,178,0.60
