PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
T.J. Edwards,2562648,LB,CHI,@SF,6,3,,,1,,,1,,,,,,1,,34,,1,21.93
Blake Cashman,2562496,LB,MIN,DET,6,11,1,1,,,,,,,,,,,1,,,2,19.60
Nick Bolton,2566175,LB,KC,DEN,6,6,,,1,,,,,,,,,1,,,,3,18.60
Bobby Okereke,2562416,LB,NYG,@LV,5,2,,1,1,,,,,,,,,1,,47,,4,17.77
Germaine Pratt,2562702,LB,IND,JAX,5,2,,,1,,,,,,,,,2,,,,5,17.20
Tatum Bethune,2572489,LB,SF,CHI,7,4,,1,,,,,,,,,,1,,,,6,16.90
Cedric Gray,2572063,LB,TEN,NO,9,3,,1,,,,,,,,,,,,,,7,16.80
Jalyx Hunt,2572378,LB,PHI,@BUF,4,3,2,2,,,,,,,,,,,3,,,8,16.30
Jared Verse,2572213,LB,LAR,@ATL,3,3,,1,,,,,,1,,,1,,1,,,9,15.30
Bradley Chubb,2561020,LB,MIA,TB,2,1,2,2,,1,,,,,,,,,2,,,10,15.10
Quay Walker,2567631,LB,GB,BAL,6,6,1,,,,,,,,,,,,1,,,11,15.10
Bobby Wagner,2532966,LB,WAS,DAL,5,5,0.5,,,,,,,,,,,1,2,,,12,15.00
Devin Bush,2562243,LB,CLE,PIT,5,4,,1,,1,,,,,,,,,,,,13,14.90
Jadeveon Clowney,2543456,LB,DAL,@WAS,3,1,1.5,3,,,,,,,,,,,3,,,14,14.10
Cody Simon,2574488,LB,ARI,@CIN,4,11,0.5,,,,,,,,,,,,1,,,15,14.10
Alex Highsmith,2564982,LB,PIT,@CLE,3,,2,2,,,,,,,,,,,4,,,16,13.50
Jaelan Phillips,2566289,LB,PHI,@BUF,3,3,1,1,,1,,,,,,,,,,,,17,13.30
Henry To'oTo'o,2569831,LB,HOU,@LAC,5,7,,1,,,,,,,,,,,,,,18,13.20
Josh Hines-Allen,2562619,LB,JAX,@IND,3,3,1,1,,,,,,,,,,1,1,,,19,12.80
Travon Walker,2567778,LB,JAX,@IND,4,,1,2,,,,,,,,,,,3,,,20,12.50
Divine Deablo,2566253,LB,ATL,LAR,7,3,,,,,,,,,,,,,,,,21,12.30
Foye Oluokun,2561132,LB,JAX,@IND,5,8,,,,,,,,,,,,,,,,22,12.30
Andrew Van Ginkel,2562768,LB,MIN,DET,2,3,1.5,1,,,2,,,,,,,,2,,,23,12.30
Christian Rozeboom,2564394,LB,CAR,SEA,4,6,,1,,,1,,,,,,,,,,,24,12.10
Dee Winters,2570296,LB,SF,CHI,7,,,1,,,,,,,,,,,,,,25,12.00
Tremaine Edmunds,2560713,LB,CHI,@SF,7,2,,,,,,,,,,,,,,,,26,11.70
Drue Tranquill,2562765,LB,KC,DEN,7,2,,,,,,,,,,,,,,,,27,11.70
Azeez Al-Shaair,2562462,LB,HOU,@LAC,2,4,,,1,,,,,,,,,1,,,,28,11.40
Dallas Turner,2572282,LB,MIN,DET,2,3,0.5,1,,1,,,,,,,,,1,,,29,11.30
Yaya Diaby,2570344,LB,TB,@MIA,2,4,1,2,,,,,,,,,,,1,,,30,10.90
Matt Milano,2557969,LB,BUF,PHI,4,3,0.5,1,,,,,,,,,,,1,,,31,10.80
Demetrius Flannigan-Fowles,2563090,LB,NYG,@LV,4,2,1,1,,,,,,,,,,,,,,32,10.70
Zack Baun,2564664,LB,PHI,@BUF,6,,,1,,,,,,,,,,,,,,33,10.50
Jahlani Tavai,2562755,LB,NE,@NYJ,4,2,,2,,,,,,,,,,,,,,34,10.20
Tyrel Dodson,2562560,LB,MIA,TB,4,1,1,1,,,,,,,,,,,,,,35,10.10
Edgerrin Cooper,2572030,LB,GB,BAL,4,6,,,,,,,,,,,,,,,,36,9.60
Isaiah McDuffie,2566082,LB,GB,BAL,6,1,,,,,,,,,,,,,,,,37,9.60
Byron Young,2570014,LB,LAR,@ATL,2,6,,1,,,,,,,,,,,3,,,38,9.60
Frankie Luvu,2561366,LB,WAS,DAL,3,4,,,,,,,,,,,,1,,,,39,9.40
Brian Burns,2562242,LB,NYG,@LV,1,3,1.5,1,,,,,,,,,,,3,,,40,9.30
SirVocea Dennis,2570347,LB,TB,@MIA,4,3,,1,,,,,,,,,,,,,,41,9.30
Khalil Mack,2543463,LB,LAC,HOU,2,2,,1,,1,,,,,,,,,,,,42,9.20
Devin White,2562781,LB,LV,NYG,4,4,,,,,,,,,,,,,1,,,43,8.90
Jordyn Brooks,2565135,LB,MIA,TB,2,3,,1,,,,,,,,,,1,,,,44,8.80
Jihaad Campbell,2574455,LB,PHI,@BUF,4,3,,,,,1,,,,,,,,,,,45,8.80
Jaylen Harrell,2572066,LB,TEN,NO,3,1,0.5,1,,,,,,,,,,,2,,,46,8.60
Daiyan Henley,2570281,LB,LAC,HOU,2,9,,,,,,,,,,,,,,,,47,8.40
Carson Schwesinger,2574064,LB,CLE,PIT,3,6,,,,,,,,,,,,,,,,48,8.10
Joe Tryon-Shoyinka,2566574,LB,CHI,@SF,4,1,,1,,,,,,,,,,,,,,49,8.10
Quincy Williams,2562954,LB,NYJ,NE,5,1,,,,,,,,,,,,,,,,50,8.10
D.J. Wonnum,2564583,LB,CAR,SEA,1,,1,1,,,,,,,,,,1,1,,,51,8.00
Jordan Magee,2572573,LB,WAS,DAL,1,4,,1,,,,,,,,,,1,,,,52,7.90
Joe Giles-Harris,2562591,LB,CIN,ARI,4,3,,,,,,,,,,,,,,,,53,7.80
Alex Anzalone,2558163,LB,DET,@MIN,2,1,1,1,,,,,,,,,,,1,,,54,7.60
Omar Speights,2573743,LB,LAR,@ATL,3,5,,,,,,,,,,,,,,,,55,7.50
Nate Landman,2568519,LB,LAR,@ATL,2,4,,1,,,,,,,,,,,1,,,56,7.40
Jack Gibbens,2568810,LB,NE,@NYJ,3,2,,1,,,,,,,,,,,,,,57,7.20
Elandon Roberts,2556119,LB,LV,NYG,4,2,,,,,,,,,,,,,,,,58,7.20
Devin Lloyd,2567751,LB,JAX,@IND,1,4,,,,,,,,,,,,1,1,,,59,6.90
Patrick Queen,2563575,LB,PIT,@CLE,2,4,,1,,,,,,,,,,,,,,60,6.90
Jamien Sherwood,2565762,LB,NYJ,NE,3,4,,,,,,,,,,,,,,,,61,6.90
Eric Wilson,2559012,LB,MIN,DET,1,3,,,,1,,,,,,,,,,,,62,6.80
Chris Braswell,2572540,LB,TB,@MIA,3,1,,1,,,,,,,,,,,,,,63,6.60
Uchenna Nwosu,2560826,LB,SEA,@CAR,1,1,,1,,,,,,,,,,1,1,,,64,6.60
Haason Reddick,2557887,LB,TB,@MIA,3,1,,1,,,,,,,,,,,,,,65,6.60
Shaq Thompson,2552447,LB,BUF,PHI,3,1,,1,,,,,,,,,,,,,,66,6.60
Akeem Davis-Gaither,2563728,LB,ARI,@CIN,1,4,,,,,,,,,,,,1,,,,67,6.40
Shemar James,2574077,LB,DAL,@WAS,3,3,,,,,,,,,,,,,,,,68,6.30
Danny Stutsman,2574408,LB,NO,@TEN,3,3,,,,,,,,,,,,,,,,69,6.30
Boye Mafe,2568258,LB,SEA,@CAR,1,1,1,1,,,,,,,,,,,1,,,70,6.10
Barrett Carter,2574025,LB,CIN,ARI,1,2,,,,,,,,,,,,1,1,,,71,5.70
Tommy Eichenberg,2572225,LB,LV,NYG,3,2,,,,,,,,,,,,,,,,72,5.70
Malik Harrison,2563554,LB,PIT,@CLE,2,2,,1,,,,,,,,,,,,,,73,5.70
Tavius Robinson,2569567,LB,BAL,@GB,2,2,0.5,,,,,,,,,,,,1,,,74,5.70
Pete Werner,2566358,LB,NO,@TEN,3,2,,,,,,,,,,,,,,,,75,5.70
