PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Sean Clifford,2569762,QB,CIN,BAL,,,,,,,,,,,,,0.00,45,47,0.00,0.0
Andy Dalton,2495143,QB,CAR,@NO,,,,,,,,,,,,,0.00,46,48,0.00,0.0
Jayden Daniels,2572564,QB,WAS,@NYG,,,,,,,,,,,,,0.00,47,49,0.00,0.0
Hunter Dekkers,2574397,QB,NO,CAR,,,,,,,,,,,,,0.00,48,50,0.00,0.0
Tommy DeVito,2570578,QB,NE,BUF,,,,,,,,,,,,,0.00,49,51,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,50,52,0.00,
Joshua Dobbs,2558167,QB,NE,BUF,,,,,,,,,,,,,0.00,51,53,0.00,0.0
Jeff Driskel,2555262,QB,WAS,@NYG,,,,,,,,,,,,,0.00,52,54,0.00,0.0
Sam Ehlinger,2566142,QB,DEN,GB,,,,,,,,,,,,,0.00,53,55,0.00,0.0
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,54,56,0.00,
Quinn Ewers,2574321,QB,MIA,@PIT,,,,,,,,,,,,,0.00,55,57,0.00,0.0
Justin Fields,2565920,QB,NYJ,@JAX,,,,,,,,,,,,,0.00,56,58,0.00,0.0
Joe Flacco,382,QB,CIN,BAL,,,,,,,,,,,,,0.00,57,59,0.00,0.0
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,58,60,0.00,
Dillon Gabriel,2574045,QB,CLE,@CHI,,,,,,,,,,,,,0.00,59,61,0.00,0.0
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,60,62,0.00,
Jimmy Garoppolo,2543801,QB,LAR,DET,,,,,,,,,,,,,0.00,61,63,0.00,0.0
Will Grier,2562404,QB,DAL,MIN,,,,,,,,,,,,,0.00,62,64,0.00,0.0
Jake Haener,2570131,QB,NO,CAR,,,,,,,,,,,,,0.00,63,65,0.00,0.0
Sam Hartman,2573599,QB,WAS,@NYG,,,,,,,,,,,,,0.00,64,66,0.00,0.0
Taylor Heinicke,2553656,QB,FA,Bye,,,,,,,,,,,,,,65,67,0.00,
Seth Henigan,2574215,QB,IND,@SEA,,,,,,,,,,,,,0.00,66,68,0.00,0.0
Hendon Hooker,2569744,QB,NYJ,@JAX,,,,,,,,,,,,,0.00,67,69,0.00,0.0
Will Howard,2574494,QB,PIT,MIA,,,,,,,,,,,,,0.00,68,70,0.00,0.0
Sam Howell,2568333,QB,PHI,LV,,,,,,,,,,,,,0.00,69,71,0.00,0.0
Josh Johnson,264,QB,WAS,@NYG,,,,,,,,,,,,,0.00,71,72,0.00,0.0
Daniel Jones,2562299,QB,IND,@SEA,,,,,,,,,,,,,0.00,72,73,0.00,0.0
Emory Jones,2572796,QB,ATL,@TB,,,,,,,,,,,,,0.00,73,74,0.00,0.0
Mac Jones,2566334,QB,SF,TEN,,,,,,,,,,,,,0.00,74,75,0.00,0.0
Case Keenum,2532888,QB,CHI,CLE,,,,,,,,,,,,,0.00,75,76,0.00,0.0
Trey Lance,2566532,QB,LAC,@KC,,,,,,,,,,,,,0.00,76,77,0.00,0.0
Devin Leary,2571832,QB,FA,Bye,,,,,,,,,,,,,,77,78,0.00,
Riley Leonard,2574190,QB,IND,@SEA,,,,,,,,,,,,,0.00,78,79,0.00,0.0
Will Levis,2569798,QB,TEN,@SF,,,,,,,,,,,,,0.00,79,80,0.00,0.0
Drew Lock,2562305,QB,SEA,IND,,,,,,,,,,,,,0.00,80,81,0.00,0.0
Adrian Martinez,2570984,QB,SF,TEN,,,,,,,,,,,,,0.00,81,82,0.00,0.0
Kyle McCord,2574465,QB,PHI,LV,,,,,,,,,,,,,0.00,82,83,0.00,0.0
Graham Mertz,2574175,QB,HOU,ARI,,,,,,,,,,,,,0.00,84,84,0.00,0.0
Cam Miller,2574304,QB,MIA,@PIT,,,,,,,,,,,,,0.00,85,85,0.00,0.0
Davis Mills,2566136,QB,HOU,ARI,,,,,,,,,,,,,0.00,86,86,0.00,0.0
Jalen Milroe,2574570,QB,SEA,IND,,,,,,,,,,,,,0.00,87,87,0.00,0.0
Joe Milton III,2572297,QB,DAL,MIN,,,,,,,,,,,,,0.00,88,88,0.00,0.0
Tanner Mordecai,2573533,QB,FA,Bye,,,,,,,,,,,,,,90,89,0.00,
Kyler Murray,2562382,QB,ARI,@HOU,,,,,,,,,,,,,0.00,92,90,0.00,0.0
Aidan O'Connell,2570044,QB,LV,@PHI,,,,,,,,,,,,,0.00,93,91,0.00,0.0
Chris Oladokun,2568153,QB,KC,LAC,,,,,,,,,,,,,0.00,94,92,0.00,0.0
Michael Penix Jr.,2571814,QB,ATL,@TB,,,,,,,,,,,,,0.00,95,93,0.00,0.0
Bryce Perkins,2564382,QB,FA,Bye,,,,,,,,,,,,,,96,94,0.00,
Jack Plummer,2572941,QB,FA,Bye,,,,,,,,,,,,,,97,95,0.00,
Michael Pratt,2572054,QB,FA,Bye,,,,,,,,,,,,,,98,96,0.00,
Spencer Rattler,2572327,QB,NO,CAR,,,,,,,,,,,,,0.00,99,97,0.00,0.0
Austin Reed,2572971,QB,FA,Bye,,,,,,,,,,,,,,100,98,0.00,
Anthony Richardson,2569864,QB,IND,@SEA,,,,,,,,,,,,,0.00,101,99,0.00,0.0
Desmond Ridder,2567256,QB,GB,@DEN,,,,,,,,,,,,,0.00,102,100,0.00,0.0
Kurtis Rourke,2574546,QB,SF,TEN,,,,,,,,,,,,,0.00,103,101,0.00,0.0
Mason Rudolph,2560860,QB,PIT,MIA,,,,,,,,,,,,,0.00,104,102,0.00,0.0
Cooper Rush,2559242,QB,BAL,@CIN,,,,,,,,,,,,,0.00,105,103,0.00,0.0
Brett Rypien,2562718,QB,MIN,@DAL,,,,,,,,,,,,,0.00,106,104,0.00,0.0
Trevor Siemian,2553457,QB,TEN,@SF,,,,,,,,,,,,,0.00,107,105,0.00,0.0
Kedon Slovis,2573178,QB,ARI,@HOU,,,,,,,,,,,,,0.00,108,106,0.00,0.0
Geno Smith,2539335,QB,LV,@PHI,,,,,,,,,,,,,0.00,109,107,0.00,0.0
Easton Stick,2562745,QB,ATL,@TB,,,,,,,,,,,,,0.00,110,108,0.00,0.0
Jarrett Stidham,2562746,QB,DEN,GB,,,,,,,,,,,,,0.00,111,109,0.00,0.0
Nate Sudfeld,2555427,QB,FA,Bye,,,,,,,,,,,,,,112,110,0.00,
Tyrod Taylor,2495240,QB,NYJ,@JAX,,,,,,,,,,,,,0.00,113,111,0.00,0.0
Skylar Thompson,2567895,QB,PIT,MIA,,,,,,,,,,,,,0.00,114,112,0.00,0.0
Dorian Thompson-Robinson,2569672,QB,FA,Bye,,,,,,,,,,,,,,115,113,0.00,
Payton Thorne,2574041,QB,FA,Bye,,,,,,,,,,,,,,116,114,0.00,
Kyle Trask,2566571,QB,ATL,@TB,,,,,,,,,,,,,0.00,117,115,0.00,0.0
Mitchell Trubisky,2558008,QB,BUF,@NE,,,,,,,,,,,,,0.00,118,116,0.00,0.0
Clayton Tune,2570236,QB,FA,Bye,,,,,,,,,,,,,,119,117,0.00,
DJ Uiagalelei,2574532,QB,LAC,@KC,,,,,,,,,,,,,0.00,120,118,0.00,0.0
Deshaun Watson,2558063,QB,CLE,@CHI,,,,,,,,,,,,,0.00,121,119,0.00,0.0
Carson Wentz,2555259,QB,MIN,@DAL,,,,,,,,,,,,,0.00,122,120,0.00,0.0
Mike White,2560929,QB,CAR,@NO,,,,,,,,,,,,,0.00,123,121,0.00,0.0
Malik Willis,2567667,QB,GB,@DEN,,,,,,,,,,,,,0.00,124,122,0.00,0.0
Russell Wilson,2532975,QB,NYG,WAS,,,,,,,,,,,,,0.00,125,123,0.00,0.0
Zach Wilson,2566391,QB,MIA,@PIT,,,,,,,,,,,,,0.00,126,124,0.00,0.0
Dresser Winn,2569990,QB,FA,Bye,,,,,,,,,,,,,,127,125,0.00,
Jameis Winston,2552033,QB,NYG,WAS,,,,,,,,,,,,,0.00,128,126,0.00,0.0
John Wolford,2561718,QB,MIN,@DAL,,,,,,,,,,,,,0.00,129,127,0.00,0.0
Logan Woodside,2560942,QB,ARI,@HOU,,,,,,,,,,,,,0.00,130,128,0.00,0.0
Ben Wooldridge,2574390,QB,FA,Bye,,,,,,,,,,,,,,131,129,0.00,
Bailey Zappe,2567961,QB,CLE,@CHI,,,,,,,,,,,,,0.00,132,130,0.00,0.0
Tyler Huntley,2563560,QB,BAL,@CIN,,,,,,,,,,,,,0.00,70,131,-0.30,-0.3
Gardner Minshew,2562796,QB,KC,LAC,,,,,,,,,,,,,0.00,89,132,-1.12,-1.12
