PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Clelin Ferrell,2562263,DL,SF,TEN,1.32,1.43,0.22,0.55,,0.11,,,,,,,,0.11,0.44,,,4.98,34,41,5.90,0.92
Adam Butler,2558924,DL,LV,@PHI,1.18,0.89,0.15,0.2,,,,,,,,,,0.15,0.34,,,3.45,78,42,5.70,2.25
Jonah Laulu,2572126,DL,LV,@PHI,0.84,0.79,0.1,0.2,,,,,,,,,,0.2,0.3,,,2.88,107,43,5.70,2.82
Greg Rousseau,2565875,DL,BUF,@NE,1.74,0.62,0.39,0.84,,0.11,0.06,,,,,,,0.23,1.29,,,6.69,12,44,5.70,-0.99
George Karlaftis,2567796,DL,KC,LAC,1.33,0.85,0.58,0.42,,,,,,,,,,0.3,1.39,,,5.74,20,45,5.60,-0.14
Denico Autry,2550646,DL,HOU,ARI,1.12,0.53,0.29,0.41,,0.06,0.06,,0.06,,,,,0.24,0.71,,0.06,4.66,39,46,5.50,0.84
Gervon Dexter Sr.,2569621,DL,CHI,CLE,1.69,1.46,0.34,0.28,,,0.06,,,,,,,0.06,1.13,,,5.29,31,47,5.50,0.21
BJ Green II,2574214,DL,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,281,48,5.50,5.5
Mike Green,2573928,DL,BAL,@CIN,0.82,0.77,0.11,0.16,,,,,,,,,,,,,,2.15,125,49,5.50,3.35
Jonathan Bullard,2555335,DL,NO,CAR,,,,,,,,,,,,,,,,,,0.00,220,50,5.40,5.4
Levi Drake Rodriguez,2572276,DL,MIN,@DAL,,,,,,,,,,,,,,,,,,0.00,422,51,5.30,5.3
Zach Allen,2562219,DL,DEN,GB,1.8,1.62,0.45,0.72,,,,,,,,,,0.12,1.5,,,6.70,11,52,5.20,-1.5
Rashan Gary,2562376,DL,GB,@DEN,1.59,1.06,0.47,0.41,,0.06,0.06,,,,,,,0.06,1.12,,,5.56,23,53,5.00,-0.56
Cory Durden,2570951,DL,NE,BUF,,,,,,,,,,,,,,,,,,0.00,252,54,4.80,4.8
Logan Hall,2568303,DL,TB,ATL,1.01,0.62,0.23,0.34,,,0.06,,,,,,,0.06,0.51,,,3.32,82,55,4.80,1.48
Jalen Redmond,2570792,DL,MIN,@DAL,,,,,,,,,,,,,,,,,,0.00,414,56,4.80,4.8
Kenny Clark,2555282,DL,DAL,MIN,1.35,1,0.18,0.29,,0.06,0.06,,,,,,,0.12,0.47,,,4.23,53,57,4.70,0.47
Dre'Mont Jones,2562412,DL,BAL,@CIN,1.75,1.13,0.38,0.56,,0.06,,,,,,,,0.06,0.81,,,5.67,21,58,4.60,-1.07
Jacob Martin,2561092,DL,WAS,@NYG,0.51,0.34,0.11,0.11,,,,,,,,,,,0.29,,,1.50,138,59,4.60,3.1
Cameron Jordan,2495184,DL,NO,CAR,1.12,0.76,0.18,0.35,,,,,,,,,,0.18,0.41,,,3.68,67,60,4.50,0.82
Tommy Togiai,2565989,DL,HOU,ARI,0.12,0.24,0.06,,,,,,,,,,,,0.12,,,0.50,176,61,4.50,4.0
Thomas Booker,2567670,DL,LV,@PHI,,,,,,,,,,,,,,,,,,0.00,206,62,4.20,4.2
Bryan Bresee,2570128,DL,NO,CAR,0.82,0.59,0.38,0.35,,,,,,,,,,0.06,0.77,,,3.40,79,63,4.20,0.8
Matt Dickerson,2561044,DL,JAX,NYJ,0.17,0.11,0.09,0.11,,,,,,,,,,,0.11,,,0.72,161,64,4.20,3.48
Chris Rumph II,2566508,DL,NO,CAR,1.59,0.77,,,,,,,,,,,,0.18,,,,3.30,83,65,4.20,0.9
B.J. Hill,2560740,DL,CIN,BAL,1.41,1.58,0.17,0.28,,,,,,,,,,0.23,0.56,,,4.68,38,66,3.90,-0.78
Calais Campbell,744,DL,ARI,@HOU,0.12,0.18,,,,0.06,0.06,,,,0.06,,,,0.12,,,0.86,153,67,3.60,2.74
D.J. Jones,2558265,DL,DEN,GB,1.35,1.13,0.11,0.11,,0.06,0.06,,,,,,,0.11,0.17,,,3.72,66,68,3.60,-0.12
Larry Ogunjobi,2557836,DL,BUF,@NE,1.18,0.47,0.09,0.12,,,0.06,,,,,,,,0.24,,,2.59,112,69,3.60,1.01
Roy Robertson-Harris,2556665,DL,NYG,WAS,0.94,0.88,0.18,0.24,,,,,,,,,,0.06,0.47,,,3.04,96,70,3.60,0.56
JT Tuimoloau,2574201,DL,IND,@SEA,0.88,0.71,0.12,0.18,,0.06,0.06,,,,,,,0.06,0.29,,,2.82,110,71,3.60,0.78
Chris Williams,2564154,DL,CHI,CLE,0.18,0.24,0.06,0.06,,,,,,,,,,,,,,0.62,169,72,3.60,2.98
Will McDonald IV,2570191,DL,NYJ,@JAX,1.03,0.65,0.54,0.54,,0.11,0.05,,,,,,,0.22,1.25,,,5.44,24,73,3.50,-1.94
Derrick Brown,2563629,DL,CAR,@NO,2.22,1.62,0.12,0.36,0.06,,,,,,,,,0.3,0.6,,,6.34,16,74,3.30,-3.04
Byron Murphy II,2572531,DL,SEA,IND,1.09,1.14,0.06,0.17,,,,,,,,,,0.06,0.17,,,2.93,104,75,3.30,0.37
A'Shawn Robinson,2555265,DL,CAR,@NO,1.2,0.97,0.06,0.23,,0.06,,,,,,,,0.06,0.17,,,3.29,84,76,3.30,0.01
Jowon Briggs,2571946,DL,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,212,77,3.20,3.2
Kalia Davis,2568204,DL,SF,TEN,0.29,0.12,,0.06,,,,,,,,,,,,,,0.60,171,78,3.10,2.5
Joey Bosa,2555249,DL,BUF,@NE,1.17,0.47,0.32,0.29,,0.06,,,,,,,,,0.64,,,3.64,70,79,3.00,-0.64
Neville Gallimore,2563842,DL,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,270,80,3.00,3.0
Mike Pennel,2550242,DL,KC,LAC,0.46,0.29,0.04,0.07,,,,,,,,,,,0.07,,,1.08,146,81,3.00,1.92
Harrison Phillips,2560840,DL,NYJ,@JAX,1.33,1.44,0.13,0.16,,,0.05,,,,,,,0.16,0.32,,,3.97,60,82,3.00,-0.97
Javon Solomon,2571871,DL,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,442,83,3.00,3.0
Leonard Taylor III,2572720,DL,NE,BUF,,,,,,,,,,,,,,,,,,0.00,454,84,3.00,3.0
Dalvin Tomlinson,2557846,DL,ARI,@HOU,0.9,0.96,0.17,0.23,,,,,,,,,,,0.79,,,3.01,98,85,3.00,-0.01
