PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Matt Milano,2557969,LB,BUF,@NE,3.14,1.29,0.14,0.29,0.14,,0.14,,,,,,,0.43,0.14,,,7.97,53,1,25.60,17.63
Jordyn Brooks,2565135,LB,MIA,@PIT,4.97,3.26,0.18,0.59,0.06,,0.06,,,,,,,0.3,0.36,0.65,,11.88,5,2,22.10,10.22
Devin White,2562781,LB,LV,@PHI,2.98,2.25,0.08,0.32,,,,,,,,,,0.16,0.24,,,6.98,68,3,20.70,13.72
Demetrius Knight Jr.,2574031,LB,CIN,BAL,4.91,4,,0.26,,0.07,,,,,,,,0.07,0.13,,,10.64,15,4,19.60,8.96
D'Marco Jackson,2567967,LB,CHI,CLE,2.42,1.17,0.18,0.36,0.09,0.09,,,,,,,,0.27,0.18,,,6.63,73,5,18.50,11.87
Edgerrin Cooper,2572030,LB,GB,@DEN,4.53,2.4,0.3,1,0.07,0.13,0.13,0.07,,,,,,0.4,0.67,2.4,,12.86,1,6,17.60,4.74
Drue Tranquill,2562765,LB,KC,LAC,3.21,2.19,0.23,0.28,,0.06,0.11,,,,,,,0.11,0.45,,,7.83,56,7,17.60,9.77
Patrick Queen,2563575,LB,PIT,MIA,3.76,3.24,0.12,0.41,0.06,0.12,0.06,,,,,,,0.35,0.35,0.47,,10.19,21,8,17.10,6.91
Jack Campbell,2569741,LB,DET,@LAR,4,3.12,0.15,0.29,0.06,0.06,,,,,,,,0.35,0.35,,,10.08,23,9,16.50,6.42
Cedric Gray,2572063,LB,TEN,@SF,4.23,3.3,0.15,0.57,,0.05,0.05,,,,,,,0.1,0.26,,,10.09,22,10,15.90,5.81
Roquan Smith,2560877,LB,BAL,@CIN,4.98,4.43,0.06,0.24,0.06,0.06,,,,,,,,0.3,0.24,,,11.90,4,11,15.60,3.7
Odafe Oweh,2565848,LB,LAC,@KC,1.42,0.83,0.47,0.42,,0.12,,,,,,,,,1.07,,,5.15,95,12,15.50,10.35
Elandon Roberts,2556119,LB,LV,@PHI,2.41,1.63,0.07,0.3,,0.05,,,,,,,,0.05,0.25,,,5.61,86,13,15.30,9.69
Jack Gibbens,2568810,LB,NE,BUF,1.77,1.53,0.06,0.18,,,,,,,,,,0.06,0.12,,,4.17,107,14,14.50,10.33
Zaire Franklin,2561155,LB,IND,@SEA,2.62,2.36,0.1,0.15,0.05,0.05,,,,,,,,0.2,0.2,0.2,,6.73,71,15,13.80,7.07
Azeez Al-Shaair,2562462,LB,HOU,ARI,4.55,3.25,0.24,0.65,0.08,0.08,0.08,,,,,,,0.33,0.65,,,12.02,3,16,13.50,1.48
Tyrel Dodson,2562560,LB,MIA,@PIT,3.96,3.62,0.06,0.28,0.11,0.06,,,,,,,,0.45,0.17,0.28,,10.47,17,17,13.20,2.73
Nick Bolton,2566175,LB,KC,LAC,4.93,2.33,0.17,0.67,0.07,0.07,0.07,,,,,,,0.33,0.47,0.47,,11.77,6,18,13.10,1.33
Nate Landman,2568519,LB,LAR,DET,4.77,3.8,0.08,0.32,,0.24,0.08,,,,,,,0.16,0.16,,,11.48,9,19,12.90,1.42
Carson Schwesinger,2574064,LB,CLE,@CHI,4.45,3.12,0.22,0.78,0.06,,,,,,,,,0.06,0.28,,,10.66,14,20,12.50,1.84
T.J. Edwards,2562648,LB,CHI,CLE,4.65,3.52,0.18,0.6,0.06,0.06,0.12,,,,,,,0.24,0.42,,,11.70,7,21,12.40,0.7
Lavonte David,2532828,LB,TB,ATL,3.83,2.36,0.23,0.34,,0.06,0.06,,,,,,,0.28,0.28,,,9.24,34,22,12.30,3.06
Nakobe Dean,2568072,LB,PHI,LV,4.62,2.73,0.16,0.52,0.07,0.07,0.13,,,,,,,0.26,0.33,,,11.10,12,23,12.30,1.2
Germaine Pratt,2562702,LB,IND,@SEA,3.07,2.57,0.05,0.25,0.1,0.1,0.05,,,,,,,0.3,0.15,0.64,,8.22,49,24,12.00,3.78
Blake Cashman,2562496,LB,MIN,@DAL,3.53,2.34,0.27,0.44,0.05,,0.05,,,,,,,0.38,0.54,,,9.34,30,25,11.80,2.46
Mohamoud Diabate,2570849,LB,CLE,@CHI,1.56,1.06,,0.2,,,,,,,,,,0.08,,,,3.48,122,26,11.40,7.92
Darius Muasau,2572339,LB,NYG,WAS,2.61,1.15,,0.24,,0.06,0.06,,,,,,,0.12,0.12,,,5.60,87,27,11.10,5.5
Henry To'oTo'o,2569831,LB,HOU,ARI,4.09,3.17,0.07,0.42,,0.07,0.07,,,,,,,0.14,0.14,,,9.54,27,28,11.10,1.56
