PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
James Cook,2567328,RB,BUF,@NE,,,,87.19,0.58,2.07,16.7,0.16,,,,0.22,15.42,7,1,30.10,14.68
Travis Etienne,2566157,RB,JAX,NYJ,,,,67.94,0.6,2.02,14,0.11,,,,0.22,13.02,14,2,30.00,16.98
TreVeyon Henderson,2574374,RB,NE,BUF,,,,64.69,0.5,2.27,16.16,0.14,,,,0.13,12.80,15,3,29.10,16.3
Bijan Robinson,2569558,RB,ATL,@TB,,,,83.29,0.51,5.12,42.26,0.33,,,,0.19,19.78,2,4,25.50,5.72
Tyrone Tracy Jr.,2572351,RB,NYG,WAS,,,,57.61,0.12,2.33,20.64,0.14,,,,0.14,10.27,25,5,23.20,12.93
Josh Jacobs,2562377,RB,GB,@DEN,,,,61.66,0.92,2.69,19.4,0.08,,,,0.19,15.07,9,6,22.20,7.13
D'Andre Swift,2563965,RB,CHI,CLE,,,,43.07,0.4,2.01,14.22,0.1,,,,0.11,9.51,29,7,22.10,12.59
Kyren Williams,2567862,RB,LAR,DET,,,,58.93,0.57,1.87,12.97,0.17,,,,0.15,12.27,17,8,21.30,9.03
Tony Pollard,2562699,RB,TEN,@SF,,,,50.39,0.17,1.91,10.53,0.06,,,,0.09,8.25,35,9,17.70,9.45
Christian McCaffrey,2557997,RB,SF,TEN,,,,68.34,0.75,5.41,48.75,0.42,,,,0.25,20.93,1,10,16.70,-4.23
Saquon Barkley,2560968,RB,PHI,LV,,,,76.49,0.36,2.81,18.09,0.16,,,,0.2,13.58,12,11,16.20,2.62
Kenneth Gainwell,2566397,RB,PIT,MIA,,,,30.21,0.31,3.65,21.34,0.22,,,,0.15,9.86,27,12,16.10,6.24
De'Von Achane,2570062,RB,MIA,@PIT,,,,75.55,0.38,4.92,30.61,0.37,,,,0.2,17.18,4,13,15.70,-1.48
Javonte Williams,2566049,RB,DAL,MIN,,,,74.13,0.62,3.35,16.79,0.2,,,,0.25,15.19,8,14,15.10,-0.09
Blake Corum,2572189,RB,LAR,DET,,,,40.82,0.35,0.77,6.86,0.07,,,,0.16,7.35,44,15,14.60,7.25
Chase Brown,2569642,RB,CIN,BAL,,,,55.36,0.2,3.35,19.51,0.24,,,,0.18,11.44,22,16,14.00,2.56
Jacory Croskey-Merritt,2574608,RB,WAS,@NYG,,,,61.15,0.39,0.85,7.4,0.06,,,,0.15,9.68,28,17,13.60,3.92
Isaiah Davis,2572360,RB,NYJ,@JAX,,,,24.22,0.16,0.85,6.37,0.05,,,,0.06,4.62,52,18,13.00,8.38
Jawhar Jordan,2572099,RB,HOU,ARI,,,,,,,,,,,,,0.00,160,19,12.80,12.8
Rico Dowdle,2565295,RB,CAR,@NO,,,,44.47,0.2,2.16,15.47,0.12,,,,0.2,8.59,34,20,11.90,3.31
Jonathan Taylor,2564148,RB,IND,@SEA,,,,91.61,0.84,1.94,14.14,0.11,,,,0.17,16.91,5,21,11.60,-5.31
Michael Carter,2566382,RB,ARI,@HOU,,,,14.95,0.09,1.36,8.86,0.04,,0.01,,0.38,3.14,59,22,11.40,8.26
Woody Marks,2574174,RB,HOU,ARI,,,,77.16,0.54,1.93,17.23,0.18,,,,0.25,14.22,11,23,11.33,-2.89
Malik Davis,2568672,RB,DAL,MIN,,,,9.48,0.08,0.42,3.53,0.03,,,,0.03,2.11,70,24,10.70,8.59
RJ Harvey,2574090,RB,DEN,GB,,,,47.81,0.57,2.84,16.81,0.2,,,,0.19,12.12,18,25,10.50,-1.62
Rasheen Ali,2571823,RB,BAL,@CIN,,,,7.86,0.06,0.58,6.65,0.08,,,,0.03,2.52,65,26,10.20,7.68
Derrick Henry,2556075,RB,BAL,@CIN,,,,92.47,0.91,1.06,10.39,0.08,,,,0.19,16.38,6,27,10.00,-6.38
Devin Neal,2574402,RB,NO,CAR,,,,63.59,0.31,2.45,18.52,0.13,,,,0.18,11.72,20,28,9.70,-2.02
David Montgomery,2562502,RB,DET,@LAR,,,,34.2,0.39,1.58,12.07,0.08,,,,0.1,8.04,36,29,9.20,1.16
Rhamondre Stevenson,2566343,RB,NE,BUF,,,,33.58,0.39,1.4,10.84,0.07,,,,0.13,7.64,38,30,9.20,1.56
Bhayshul Tuten,2574235,RB,JAX,NYJ,,,,20.93,0.34,0.69,5.58,0.06,,,,0.08,5.24,50,31,8.80,3.56
Ameer Abdullah,2552374,RB,IND,@SEA,,,,7.75,0.06,0.76,5.14,0.05,,,,,2.33,68,32,8.70,6.37
Omarion Hampton,2574514,RB,LAC,@KC,,,,51.81,0.43,1.76,11.61,0.1,,,,0.13,10.14,26,33,8.07,-2.07
Aaron Jones,2558116,RB,MIN,@DAL,,,,63.29,0.06,2.94,20.58,0.23,,,,0.21,11.18,24,34,8.00,-3.18
Jahmyr Gibbs,2569747,RB,DET,@LAR,,,,85.04,0.73,3.77,27.37,0.28,,,,0.2,18.79,3,35,7.80,-10.99
Bucky Irving,2572546,RB,TB,ATL,,,,68.97,0.21,2.94,24.06,0.24,,,,0.19,13.09,13,36,7.60,-5.49
Kimani Vidal,2572486,RB,LAC,@KC,,,,43.44,0.35,1.48,11.7,0.11,,,,0.14,8.73,33,37,6.80,-1.93
Sean Tucker,2571629,RB,TB,ATL,,,,13.02,0.12,0.23,1.78,0.02,0.13,,,0.08,3.06,61,38,6.70,3.64
Keaton Mitchell,2570428,RB,BAL,@CIN,,,,23.81,0.15,0.67,6.87,0.07,,,,0.06,4.60,53,39,6.60,2.0
Audric Estimé,2571994,RB,NO,CAR,,,,14.29,0.14,0.25,2.07,0.01,,,,0.04,2.58,63,40,6.50,3.92
Jaylen Warren,2568493,RB,PIT,MIA,,,,64.8,0.34,2.03,14.59,0.11,,,,0.15,11.35,23,41,6.30,-5.05
Ashton Jeanty,2574298,RB,LV,@PHI,,,,50.85,0.32,3.47,20.33,0.24,,,,0.14,11.93,19,42,6.20,-5.73
C.J. Ham,2556803,RB,MIN,@DAL,,,,,,,,,,,,,0.00,136,43,6.10,6.1
Dare Ogunbowale,2559362,RB,HOU,ARI,,,,10.48,0.11,0.88,7,0.06,,,,0.04,3.13,60,44,6.10,2.97
Tank Bigsby,2569882,RB,PHI,LV,,,,9.53,0.07,0.14,1.15,0.01,,,,0.04,1.54,74,45,5.70,4.16
