PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Robert McDaniel,2574614,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,471,462,0.00,0.0
Trent McDuffie,2567802,DB,KC,LAC,,,,,,,,,,,,,,,,,,0.00,472,463,0.00,0.0
Dwight McGlothern,2573310,DB,MIN,@DAL,,,,,,,,,,,,,,,,,,0.00,473,464,0.00,0.0
Kyler McMichael,2569302,DB,FA,Bye,,,,,,,,,,,,,,,,,,,474,465,0.00,
Donovan McMillon,2574059,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,0.00,475,466,0.00,0.0
Patrick McMorris,2572246,DB,NYG,WAS,,,,,,,,,,,,,,,,,,0.00,476,467,0.00,0.0
Zech McPhearson,2566406,DB,FA,Bye,,,,,,,,,,,,,,,,,,,477,468,0.00,
Mac McWilliams,2574466,DB,PHI,LV,,,,,,,,,,,,,,,,,,0.00,478,469,0.00,0.0
Max Melton,2572420,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,479,470,0.00,0.0
Kaevon Merriweather,2571626,DB,HOU,ARI,0.41,0.47,,,,,,,,,,,,,,,,0.90,226,471,0.00,-0.9
D.J. Miller,2572838,DB,FA,Bye,,,,,,,,,,,,,,,,,,,480,472,0.00,
Glendon Miller,2574251,DB,FA,Bye,,,,,,,,,,,,,,,,,,,481,473,0.00,
Jalen Mills,2555383,DB,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,482,474,0.00,0.0
Josh Minkins,2574377,DB,FA,Bye,,,,,,,,,,,,,,,,,,,483,475,0.00,
Kobee Minor,2574378,DB,NE,BUF,,,,,,,,,,,,,,,,,,0.00,484,476,0.00,0.0
Cameron Mitchell,2569684,DB,IND,@SEA,0.84,0.52,,0.08,0.04,,,,,,,,,0.12,,,,2.13,194,477,0.00,-2.13
Elijah Molden,2566115,DB,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,485,478,0.00,0.0
Jarius Monroe,2572708,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,486,479,0.00,0.0
Tarvarius Moore,2561117,DB,FA,Bye,,,,,,,,,,,,,,,,,,,487,480,0.00,
TJ Moore,2574425,DB,NYG,WAS,,,,,,,,,,,,,,,,,,0.00,488,481,0.00,0.0
Benjamin Morrison,2574592,DB,TB,ATL,,,,,,,,,,,,,,,,,,0.00,490,482,0.00,0.0
R.J. Moten,2574647,DB,FA,Bye,,,,,,,,,,,,,,,,,,,491,483,0.00,
Jabbar Muhammad,2574227,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,492,484,0.00,0.0
Israel Mukuamu,2566013,DB,FA,Bye,,,,,,,,,,,,,,,,,,,493,485,0.00,
Andrew Mukuba,2574469,DB,PHI,LV,,,,,,,,,,,,,,,,,,0.00,494,486,0.00,0.0
Sean Murphy-Bunting,2562635,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,495,487,0.00,0.0
Siran Neal,2560818,DB,SF,TEN,,,,,,,,,,,,,,,,,,0.00,496,488,0.00,0.0
Nik Needham,2563220,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,497,489,0.00,0.0
