PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brock Purdy,2568216,QB,SF,CHI,267.2,1.93,0.97,18.98,0.18,,,,,0.01,,0.31,18.89,4,1,36.92,18.03
Drake Maye,2572294,QB,NE,@NYJ,246.25,1.76,0.67,30.93,0.39,,,,,0.01,,0.62,19.80,3,2,32.44,12.64
Malik Willis,2567667,QB,GB,BAL,189.4,1.11,0.59,29.71,0.2,,,,,0.02,,0.89,13.35,22,3,31.39,18.04
Jaxson Dart,2574419,QB,NYG,@LV,215.16,1.47,0.63,25.96,0.4,,,,,0.01,,0.46,17.36,12,4,25.08,7.72
Trevor Lawrence,2566163,QB,JAX,@IND,239.59,1.71,0.86,22.39,0.47,,,,,0.01,,0.67,18.48,7,5,23.12,4.64
Caleb Williams,2571913,QB,CHI,@SF,197.62,1.48,0.51,28.68,0.23,,,,,0.01,,0.59,15.93,16,6,23.00,7.07
Dak Prescott,2555260,QB,DAL,@WAS,298.5,2.38,0.75,13.93,0.1,,,,,0.01,,0.5,21.01,1,7,22.68,1.67
Josh Allen,2560955,QB,BUF,PHI,203.15,1.7,0.66,37.55,0.64,,,,,0.01,,0.46,20.34,2,8,21.98,1.64
Joe Burrow,2563722,QB,CIN,ARI,263.24,2.19,0.67,12.01,0.1,,,,,0.01,,0.47,18.87,5,9,20.40,1.53
Tyler Shough,2574406,QB,NO,@TEN,252.56,1.47,0.76,24.83,0.23,,,,,0.01,,0.59,17.21,13,10,19.92,2.71
Bo Nix,2572003,QB,DEN,@KC,198.2,1.5,0.69,25.23,0.27,,,,,0.01,,0.42,15.91,17,11,19.48,3.57
Jacoby Brissett,2555261,QB,ARI,@CIN,267.65,1.94,0.69,15.05,0.11,,,,,0.01,,0.71,17.89,10,12,16.48,-1.41
Baker Mayfield,2560800,QB,TB,@MIA,231.89,1.98,0.7,24.13,0.12,,,,,0.01,,0.65,17.69,11,13,16.44,-1.25
Cam Ward,2574164,QB,TEN,NO,182.05,1.23,0.65,11.64,0.1,,,,,0.01,,0.62,11.49,30,14,16.04,4.55
Tyler Huntley,2563560,QB,BAL,@GB,163.97,0.96,0.6,26.35,0.2,,,,,0.01,,0.65,11.79,28,15,14.28,2.49
Matthew Stafford,79860,QB,LAR,@ATL,244.58,2.34,0.62,6.81,0.06,,,,,0.01,,0.3,18.40,8,16,14.26,-4.14
C.J. Stroud,2569819,QB,HOU,@LAC,217.22,1.39,0.71,15.52,0.1,,,,,0.01,,0.41,14.22,20,17,13.76,-0.46
Quinn Ewers,2574321,QB,MIA,TB,218.25,1.3,0.78,8.56,0.09,,,,,0.01,,0.36,13.11,24,18,13.28,0.17
Justin Herbert,2565045,QB,LAC,HOU,230.43,1.72,0.72,28.99,0.19,,,,,0.01,,0.37,18.02,9,19,13.14,-4.88
Sam Darnold,2561036,QB,SEA,@CAR,252.58,1.66,0.76,12.82,0.11,,,,,0.01,,0.5,16.23,14,20,10.08,-6.15
Shedeur Sanders,2574063,QB,CLE,PIT,208.5,1.38,1.09,16.6,0.11,,,,,0.01,,0.56,12.94,26,21,9.44,-3.5
Kirk Cousins,2532820,QB,ATL,LAR,207.29,1.57,0.77,10.14,0.09,,,,,0.02,,0.92,12.87,27,22,9.14,-3.73
Josh Johnson,264,QB,WAS,DAL,200.63,1.46,0.75,14.99,0.13,,,,,,,,14.64,19,23,8.92,-5.72
Jalen Hurts,2564832,QB,PHI,@BUF,187.69,1.43,0.68,37.13,0.66,,,,,0.01,,0.5,18.60,6,24,8.90,-9.7
Bryce Young,2569606,QB,CAR,SEA,191.75,1.32,0.76,17.74,0.16,,,,,0.01,,0.6,13.02,25,25,8.86,-4.16
Philip Rivers,2506121,QB,IND,JAX,207.53,1.53,0.8,4.58,0.05,,,,,,,,13.58,21,26,7.78,-5.8
Geno Smith,2539335,QB,LV,NYG,226.5,1.58,0.72,13.28,0.09,,,,,0.01,,0.37,15.13,18,27,7.14,-7.99
Chris Oladokun,2568153,QB,KC,DEN,180.37,0.85,0.73,17.54,0.15,,,,,0.01,,0.33,11.21,31,28,6.74,-4.47
Aaron Rodgers,2506363,QB,PIT,@CLE,196.68,1.4,0.52,8.48,0.09,,,,,0.01,,0.31,13.26,23,29,5.32,-7.94
Brady Cook,2574435,QB,NYJ,NE,178.46,1.1,1.02,12.9,0.11,,,,,0.02,,0.96,9.65,32,30,5.18,-4.47
Max Brosmer,2574340,QB,MIN,DET,194.71,1.25,0.91,8.2,0.08,,,,,0.01,,0.38,11.57,29,31,2.64,-8.93
Jared Goff,2555334,QB,DET,@MIN,246.36,1.82,0.65,7.04,0.06,,,,,0.01,,0.41,16.14,15,32,1.61,-14.53
Joe Flacco,382,QB,CIN,ARI,,,,,,,,,,,,,0.00,55,33,1.16,1.16
Joshua Dobbs,2558167,QB,NE,@NYJ,,,,,,,,,,,,,0.00,50,34,1.10,1.1
Kenny Pickett,2568162,QB,LV,NYG,,,,,,,,,,,,,0.00,97,35,0.64,0.64
Brandon Allen,2555365,QB,TEN,NO,,,,,,,,,,,,,0.00,33,36,0.00,0.0
Kyle Allen,2561177,QB,DET,@MIN,,,,,,,,,,,,,0.00,34,37,0.00,0.0
Tyson Bagent,2570467,QB,CHI,@SF,,,,,,,,,,,,,0.00,35,38,0.00,0.0
Connor Bazelak,2574581,QB,TB,@MIA,,,,,,,,,,,,,0.00,36,39,0.00,0.0
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,37,40,0.00,
Stetson Bennett,2569939,QB,LAR,@ATL,,,,,,,,,,,,,0.00,38,41,0.00,0.0
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,39,42,0.00,
Carter Bradley,2573208,QB,JAX,@IND,,,,,,,,,,,,,0.00,40,43,0.00,0.0
Teddy Bridgewater,2543465,QB,TB,@MIA,,,,,,,,,,,,,0.00,41,44,0.00,0.0
Jake Browning,2562634,QB,CIN,ARI,,,,,,,,,,,,,0.00,42,45,0.00,0.0
Shane Buechele,2566983,QB,BUF,PHI,,,,,,,,,,,,,0.00,43,46,0.00,0.0
Sean Clifford,2569762,QB,CIN,ARI,,,,,,,,,,,,,0.00,44,47,0.00,0.0
Andy Dalton,2495143,QB,CAR,SEA,,,,,,,,,,,,,0.00,45,48,0.00,0.0
Jayden Daniels,2572564,QB,WAS,DAL,,,,,,,,,,,,,0.00,46,49,0.00,0.0
Hunter Dekkers,2574397,QB,NO,@TEN,,,,,,,,,,,,,0.00,47,50,0.00,0.0
Tommy DeVito,2570578,QB,NE,@NYJ,,,,,,,,,,,,,0.00,48,51,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,49,52,0.00,
Jeff Driskel,2555262,QB,WAS,DAL,,,,,,,,,,,,,0.00,51,53,0.00,0.0
Sam Ehlinger,2566142,QB,DEN,@KC,,,,,,,,,,,,,0.00,52,54,0.00,0.0
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,53,55,0.00,
Justin Fields,2565920,QB,NYJ,NE,,,,,,,,,,,,,0.00,54,56,0.00,0.0
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,56,57,0.00,
Dillon Gabriel,2574045,QB,CLE,PIT,,,,,,,,,,,,,0.00,57,58,0.00,0.0
