PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Trey McBride,2568117,TE,ARI,@CIN,,,,0.58,0.01,7.62,83.14,0.58,,,,0.07,15.58,1,1,18.60,3.02
Colston Loveland,2574014,TE,CHI,@SF,,,,0.24,,3.65,39.37,0.3,,,,0.06,7.47,14,2,18.40,10.93
Jake Tonges,2567439,TE,SF,CHI,,,,,,1.49,16.06,0.17,,,,0.02,3.33,39,3,15.50,12.17
Greg Dulcich,2567520,TE,MIA,TB,,,,,,0.6,6.59,0.05,,,,0.01,1.24,61,4,13.60,12.36
Michael Mayer,2570032,TE,LV,NYG,,,,,,3.84,36.6,0.24,,,,0.04,6.94,17,5,13.40,6.46
Chig Okonkwo,2567658,TE,TEN,NO,,,,0.11,,2.68,25.22,0.08,,,,0.04,4.27,33,6,13.00,8.73
Terrance Ferguson,2574267,TE,LAR,@ATL,,,,,,1.63,23.88,0.24,,,,0.03,4.58,29,7,12.40,7.82
Hunter Henry,2555341,TE,NE,@NYJ,,,,,,3.91,47.31,0.44,,,,0.08,9.17,3,8,12.40,3.23
AJ Barner,2572513,TE,SEA,@CAR,,,,3.19,0.03,3.75,38.61,0.37,,,,0.04,8.38,8,9,11.80,3.42
Juwan Johnson,2564676,TE,NO,@TEN,,,,,,4.41,49.52,0.31,,,,0.05,8.92,6,10,11.50,2.58
Mo Alie-Cox,2558832,TE,IND,JAX,,,,,,0.27,2.73,,,,,,0.41,76,11,11.00,10.59
Oronde Gadsden II,2574511,TE,LAC,HOU,,,,0.11,,3.29,41.18,0.21,,,,0.04,6.95,16,12,10.70,3.75
Harold Fannin Jr.,2574043,TE,CLE,PIT,,,,1.27,0.01,5.5,57.11,0.39,,,,0.06,10.87,2,13,10.00,-0.87
Dallas Goedert,2560995,TE,PHI,@BUF,,,,0.07,,3.59,38.83,0.4,,,,0.06,7.97,12,14,8.30,0.33
Cade Otton,2568312,TE,TB,@MIA,,,,,,2.46,23.19,0.16,,,,0.03,4.45,30,15,8.30,3.85
Colby Parkinson,2565180,TE,LAR,@ATL,,,,,,3.4,36.2,0.47,,,,0.04,8.06,10,16,8.30,0.24
Austin Hooper,2555415,TE,NE,@NYJ,,,,,,1.54,17.34,0.11,,,,0.02,3.12,43,17,8.10,4.98
Pat Freiermuth,2566442,TE,PIT,@CLE,,,,,,2.08,21.11,0.22,,,,0.04,4.39,32,18,7.80,3.41
Jake Ferguson,2567496,TE,DAL,@WAS,,,,,,4.81,44.16,0.4,,,,0.07,9.08,4,19,7.10,-1.98
Brenton Strange,2569912,TE,JAX,@IND,,,,,,4.09,46.12,0.24,,,,0.05,8.00,11,20,6.90,-1.1
Tyler Warren,2574204,TE,IND,JAX,,,,1.47,0.02,4.12,45.91,0.33,,,,0.14,8.62,7,21,6.80,-1.82
Jonnu Smith,2558207,TE,PIT,@CLE,,,,0.39,,1.68,15.48,0.16,,,,0.03,3.33,38,22,6.20,2.87
Travis Kelce,2540258,TE,KC,DEN,,,,0.17,,3.6,38.99,0.23,,,,0.04,7.02,15,23,6.10,-0.92
