PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Byron Young,2570014,LB,LAR,@ATL,2.66,1.62,0.52,0.78,,0.06,0.06,,,,,,,0.06,1.04,,,8.11,51,38,9.60,1.49
Frankie Luvu,2561366,LB,WAS,DAL,2.93,2.31,0.34,0.62,0.06,0.06,0.06,,,,,,,0.34,0.56,,,9.00,36,39,9.40,0.4
Brian Burns,2562242,LB,NYG,@LV,2.08,1.58,0.45,0.9,0.06,0.06,,,,,,,,0.34,1.01,1.18,,8.13,50,40,9.30,1.17
SirVocea Dennis,2570347,LB,TB,@MIA,5.57,2.64,0.15,0.44,0.07,0.07,0.07,,,,,,,0.29,0.29,,,12.33,2,41,9.30,-3.03
Khalil Mack,2543463,LB,LAC,HOU,1.06,1,0.35,0.35,,0.12,0.06,,,,,,,0.47,0.82,,,5.48,90,42,9.20,3.72
Devin White,2562781,LB,LV,NYG,3.35,2.54,0.09,0.36,,,,,,,,,,0.18,0.27,,,7.85,56,43,8.90,1.05
Jordyn Brooks,2565135,LB,MIA,TB,4.93,3.23,0.18,0.59,0.06,,0.06,,,,,,,0.29,0.35,0.65,,11.77,3,44,8.80,-2.97
Jihaad Campbell,2574455,LB,PHI,@BUF,2.77,1.99,0.1,0.26,,0.13,0.06,,,,,,,0.13,0.19,,,6.87,69,45,8.80,1.93
Jaylen Harrell,2572066,LB,TEN,NO,0.9,0.56,0.06,0.23,,,,,,,,,,0.06,0.23,,,2.42,139,46,8.60,6.18
Daiyan Henley,2570281,LB,LAC,HOU,4.04,3.14,0.06,0.45,0.11,0.06,,,,,,,,0.28,0.22,0.45,,10.16,19,47,8.40,-1.76
Carson Schwesinger,2574064,LB,CLE,PIT,4.41,3.08,0.22,0.77,0.06,,,,,,,,,0.06,0.28,,,10.56,15,48,8.10,-2.46
Joe Tryon-Shoyinka,2566574,LB,CHI,@SF,1.14,0.46,0.17,0.23,,0.06,,,,,,,,0.11,0.4,,,3.36,120,49,8.10,4.74
Quincy Williams,2562954,LB,NYJ,NE,3.93,2.3,0.11,0.67,,0.11,0.11,,,,,,,0.28,0.22,,,9.81,21,50,8.10,-1.71
D.J. Wonnum,2564583,LB,CAR,SEA,1.59,1.38,0.32,0.26,,0.05,,,,,,,,0.11,0.69,,,5.04,94,51,8.00,2.96
Jordan Magee,2572573,LB,WAS,DAL,0.94,0.53,,,,,,,,,,,,,,,,1.73,154,52,7.90,6.17
Joe Giles-Harris,2562591,LB,CIN,ARI,0.97,0.46,,0.11,,0.06,0.06,,,,,,,,,,,2.17,142,53,7.80,5.63
Alex Anzalone,2558163,LB,DET,@MIN,4.12,2.16,0.13,0.38,0.06,,0.06,,,,,,,0.38,0.51,,,9.78,24,54,7.60,-2.18
Omar Speights,2573743,LB,LAR,@ATL,3.17,2.85,0.06,0.19,,0.06,,,,,,,,0.19,0.06,,,7.59,62,55,7.50,-0.09
Nate Landman,2568519,LB,LAR,@ATL,4.64,3.7,0.08,0.31,,0.24,0.08,,,,,,,0.16,0.16,,,11.21,10,56,7.40,-3.81
Jack Gibbens,2568810,LB,NE,@NYJ,4.88,4.23,0.16,0.49,,,,,,,,,,0.16,0.33,,,11.48,6,57,7.20,-4.28
Elandon Roberts,2556119,LB,LV,NYG,2.68,1.8,0.08,0.33,,0.05,,,,,,,,0.05,0.27,,,6.19,83,58,7.20,1.01
Devin Lloyd,2567751,LB,JAX,@IND,3.78,3.18,0.09,0.3,0.06,,0.06,,,,,,,0.3,0.24,0.48,,9.36,30,59,6.90,-2.46
Patrick Queen,2563575,LB,PIT,@CLE,3.55,3.05,0.11,0.39,0.06,0.11,0.06,,,,,,,0.33,0.33,0.44,,9.62,28,60,6.90,-2.72
Jamien Sherwood,2565762,LB,NYJ,NE,4.48,2.46,0.05,0.4,0.05,,,,,,,,,0.2,0.15,0.65,,9.67,27,61,6.90,-2.77
Eric Wilson,2559012,LB,MIN,DET,3.22,3.09,0.16,0.38,0.06,0.19,0.06,,,,,,,0.06,0.19,,,8.75,41,62,6.80,-1.95
Chris Braswell,2572540,LB,TB,@MIA,0.77,0.41,,,,,,,,,,,,,,,,1.40,166,63,6.60,5.2
Uchenna Nwosu,2560826,LB,SEA,@CAR,1.72,0.92,0.57,0.46,,0.23,,,,,,,,0.23,1.03,,,6.86,70,64,6.60,-0.26
Haason Reddick,2557887,LB,TB,@MIA,0.69,0.4,0.34,0.46,,0.06,,,,,,,,0.06,0.63,,,3.32,121,65,6.60,3.28
Shaq Thompson,2552447,LB,BUF,PHI,2.86,1.5,0.14,0.43,0.07,0.14,0.07,,,,,,,0.29,0.21,,,7.75,58,66,6.60,-1.15
Akeem Davis-Gaither,2563728,LB,ARI,@CIN,3.96,1.98,0.06,0.18,0.06,0.06,0.06,,,,,,,0.18,0.18,,,8.54,44,67,6.40,-2.14
Shemar James,2574077,LB,DAL,@WAS,3.64,0.77,0.07,0.28,,,0.07,,,,,,,0.07,0.14,,,6.80,72,68,6.30,-0.5
Danny Stutsman,2574408,LB,NO,@TEN,1.59,0.77,0.12,0.24,0.06,0.06,,,,,0.06,,,0.18,0.12,,,4.62,98,69,6.30,1.68
