PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Luther Burden III,2574004,WR,CHI,@SF,,,,1.62,0.01,3.84,46.28,0.21,,,,0.08,7.87,44,1,23.80,15.93
Chris Olave,2567973,WR,NO,@TEN,,,,0.38,,5.93,78.1,0.43,,,,0.07,13.25,8,2,21.90,8.65
Ja'Marr Chase,2565941,WR,CIN,ARI,,,,2.16,0.02,6.59,85.47,0.69,,,,0.06,16.20,3,3,21.50,5.3
Chris Godwin Jr.,2558105,WR,TB,@MIA,,,,0.14,,3.91,45.46,0.34,,,,0.06,8.44,37,4,20.30,11.86
Christian Watson,2567637,WR,GB,BAL,,,,0.14,,2.58,45.29,0.34,,,,0.03,7.81,47,5,19.80,11.99
Stefon Diggs,2552608,WR,NE,@NYJ,,,,,,5.19,65.95,0.4,,,,0.08,11.43,14,6,19.10,7.67
Michael Wilson,2570224,WR,ARI,@CIN,,,,0.25,,4.44,62.13,0.41,,,,0.06,10.80,19,7,17.40,6.6
Wan'Dale Robinson,2568012,WR,NYG,@LV,,,,0.9,0.01,5.46,55.88,0.37,,,,0.09,10.51,24,8,16.80,6.29
Jayden Higgins,2574170,WR,HOU,@LAC,,,,,,2.89,35.68,0.29,,,,0.04,6.67,57,9,15.80,9.13
KaVontae Turpin,2569509,WR,DAL,@WAS,,,,5.72,0.03,1.16,16.67,0.12,0.06,,,0.04,4.00,81,10,15.10,11.1
Parker Washington,2569888,WR,JAX,@IND,,,,1.18,0.01,2.91,41.87,0.32,,,,0.05,7.64,48,11,15.00,7.36
Jalen McMillan,2572552,WR,TB,@MIA,,,,,,2.26,28,0.32,,,,0.12,5.61,66,12,14.90,9.29
Isaac TeSlaa,2574120,WR,DET,@MIN,,,,0.24,,1.31,17.54,0.2,,,,0.02,3.59,89,13,13.90,10.31
Kevin Austin Jr.,2568954,WR,NO,@TEN,,,,,,2.75,36.2,0.2,,,,,6.20,60,14,13.20,7.0
Puka Nacua,2570026,WR,LAR,@ATL,,,,4.48,0.03,7.62,111.63,0.69,,,,0.08,19.58,1,15,13.20,-6.38
Jaylin Noel,2574176,WR,HOU,@LAC,,,,1.1,0.01,0.84,9.74,0.06,,,,0.01,1.90,108,16,13.10,11.2
Theo Wease Jr.,2574335,WR,MIA,TB,,,,,,1.26,15.71,0.1,,,,0.01,2.78,98,17,12.80,10.02
Jordan Addison,2570074,WR,MIN,DET,,,,0.82,0.01,3.07,45.43,0.31,,,,0.05,7.98,42,18,12.50,4.52
Quentin Johnston,2570275,WR,LAC,HOU,,,,0.62,0.01,2.96,42.75,0.38,,,,0.11,7.94,43,19,12.30,4.36
Amon-Ra St. Brown,2566073,WR,DET,@MIN,,,,0.99,0.01,6.48,82.62,0.74,,,,0.07,15.96,4,20,12.30,-3.66
Brandin Cooks,2543498,WR,BUF,PHI,,,,,,0.75,10.8,0.09,,,,0.01,1.98,107,21,12.10,10.12
Elic Ayomanor,2574142,WR,TEN,NO,,,,0.2,,2.61,33.99,0.26,,,,0.04,6.20,61,22,11.70,5.5
Jaxon Smith-Njigba,2570341,WR,SEA,@CAR,,,,1.61,0.01,6.46,99.69,0.6,,,,0.07,16.88,2,23,11.70,-5.18
Jauan Jennings,2565114,WR,SF,CHI,,,,0.4,,3.95,54.51,0.49,,,,0.08,10.25,26,24,11.20,0.95
Efton Chism III,2574369,WR,NE,@NYJ,,,,,,,,,,,,,0.00,195,25,11.00,11.0
Zay Flowers,2569573,WR,BAL,@GB,,,,2.78,0.02,4.8,65.39,0.32,,,,0.06,11.14,15,26,11.00,-0.14
Ricky Pearsall,2572507,WR,SF,CHI,,,,1.39,0.01,3.04,45.93,0.27,,,,0.05,7.83,46,27,11.00,3.17
Mike Evans,2543468,WR,TB,@MIA,,,,,,4.62,65.78,0.61,,,,0.07,12.41,12,28,10.60,-1.81
Deebo Samuel Sr.,2562721,WR,WAS,DAL,,,,8.25,0.09,3.37,44.05,0.3,,,,0.05,9.16,29,29,10.30,1.14
Xavier Smith,2570002,WR,LAR,@ATL,,,,0.94,0.01,1.2,16.38,0.11,,0.02,,1.24,0.69,130,30,10.20,9.51
George Pickens,2568159,WR,DAL,@WAS,,,,0.63,,5.1,86.74,0.58,,,,0.07,14.63,6,31,9.80,-4.83
Jerry Jeudy,2563896,WR,CLE,PIT,,,,0.33,,2.98,43.2,0.18,,,,0.04,6.84,56,32,9.40,2.56
A.J. Brown,2562238,WR,PHI,@BUF,,,,0.15,,4.13,61.15,0.47,,,,0.05,10.92,16,33,9.30,-1.62
Tre Tucker,2570059,WR,LV,NYG,,,,3.25,0.02,3.54,47.62,0.33,,,,0.05,8.86,34,34,8.90,0.04
Terry McLaurin,2562489,WR,WAS,DAL,,,,0.28,,3.87,60.4,0.45,,,,0.05,10.60,22,35,8.80,-1.8
Chimere Dike,2574147,WR,TEN,NO,,,,2.45,0.02,3.43,35.28,0.26,,,,0.04,7.09,51,36,8.20,1.11
Tee Higgins,2563731,WR,CIN,ARI,,,,0.39,,4.3,63.04,0.71,,,,0.06,12.63,11,37,7.90,-4.73
Tyler Lockett,2552430,WR,LV,NYG,,,,,,1.65,20.81,0.12,,,,0.02,3.59,88,38,7.90,4.31
Romeo Doubs,2567586,WR,GB,BAL,,,,0.13,,2.47,32.68,0.26,,,,0.05,5.98,64,39,7.70,1.72
Nico Collins,2566127,WR,HOU,@LAC,,,,1,0.01,4.95,76.67,0.47,,,,0.06,13.00,9,40,7.20,-5.8
CeeDee Lamb,2563848,WR,DAL,@WAS,,,,2.93,0.02,6.08,93.3,0.54,,,,0.06,15.90,5,41,7.10,-8.8
Khalil Shakir,2567334,WR,BUF,PHI,,,,0.39,,3.75,45.01,0.36,,,,0.06,8.46,36,42,6.50,-1.96
Andrei Iosivas,2569657,WR,CIN,ARI,,,,0.64,,1.65,22.43,0.21,,,,0.02,4.35,79,43,6.10,1.75
Van Jefferson,2564358,WR,TEN,NO,,,,0.1,,2.49,30.89,0.2,,,,0.03,5.48,69,44,6.10,0.62
Jayden Reed,2569765,WR,GB,BAL,,,,5.52,0.03,3.07,42.33,0.25,,,,0.07,7.86,45,45,6.10,-1.76
Courtland Sutton,2560888,WR,DEN,@KC,,,,,,4.41,59.99,0.45,,,,0.06,10.78,20,46,6.00,-4.78
Josh Downs,2569861,WR,IND,JAX,,,,0.11,,3.61,40.5,0.38,,,,0.05,8.05,41,47,5.90,-2.15
Brian Thomas Jr.,2572162,WR,JAX,@IND,,,,,,3.31,53.89,0.34,,,,0.04,9.00,31,48,5.90,-3.1
John Metchie III,2567682,WR,NYJ,NE,,,,0.72,0.01,3.89,38.52,0.29,,,,0.05,7.57,49,49,5.60,-1.97
