PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Chase Young,2565294,DL,NO,@TEN,0.94,0.59,0.41,0.41,,,,,,,,,,0.12,1,,,4.00,62,1,20.20,16.2
Jer'Zhan Newton,2572579,DL,WAS,DAL,1.19,1.25,0.1,0.4,,0.07,0.07,,,,,,,0.07,0.53,,,4.09,58,2,19.60,15.51
Aidan Hutchinson,2567547,DL,DET,@MIN,1.49,0.86,0.71,0.51,0.06,0.11,0.06,,,,,,,0.46,1.54,,,7.51,4,3,15.70,8.19
DeMarcus Lawrence,2543490,DL,SEA,@CAR,1.6,1.03,0.31,0.46,,0.11,,,,,,,,0.23,0.63,,,5.60,23,4,14.80,9.2
Jeffery Simmons,2562733,DL,TEN,NO,1.43,1.37,0.26,0.51,,0.06,0.06,,,,,,,0.17,0.51,,,5.20,31,5,13.80,8.6
Cameron Jordan,2495184,DL,NO,@TEN,1.12,0.76,0.18,0.35,,,,,,,,,,0.18,0.41,,,3.68,68,6,12.80,9.12
Austin Booker,2571904,DL,CHI,@SF,1.43,0.57,0.18,0.36,,,,,,,,,,,0.5,,,3.64,70,7,11.70,8.06
Myles Murphy,2569663,DL,CIN,ARI,0.82,0.71,0.09,0.12,,,,,,,,,,0.12,,,,2.32,116,8,11.20,8.88
Derek Barnett,2557984,DL,HOU,@LAC,0.12,0.24,0.12,0.06,,,,,,,,,,,0.18,,,0.74,160,9,11.00,10.26
Jalen Carter,2570203,DL,PHI,@BUF,1.69,1.31,0.41,0.88,,0.19,0.06,,,,,,,0.44,1.06,,,7.82,2,10,11.00,3.18
Al-Quadin Muhammad,2558131,DL,DET,@MIN,,,,,,,,,,,,,,,,,,0.00,378,11,11.00,11.0
Nic Scourton,2573999,DL,CAR,SEA,1.68,1.02,0.15,0.48,,0.06,,,,,,,,0.06,0.54,,,4.78,42,12,10.30,5.52
Alex Wright,2567484,DL,CLE,PIT,0.12,0.18,,0.12,,,0.06,,,,,,,,0.18,,,0.62,171,13,10.20,9.58
Laiatu Latu,2572123,DL,IND,JAX,1.29,1,0.32,0.35,,0.18,0.06,,,,,,,0.12,0.94,,,5.16,32,14,10.00,4.84
Abdul Carter,2574417,DL,NYG,@LV,1.66,0.97,0.43,0.46,,0.11,0.06,,,,,,,0.11,1.09,,,5.89,16,15,9.60,3.71
Tonka Hemingway,2574294,DL,LV,NYG,,,,,,,,,,,,,,,,,,0.00,301,16,9.50,9.5
Kingsley Enagbare,2567589,DL,GB,BAL,1,1.57,0.29,0.43,,0.07,,,,,,,,0.14,0.57,,,4.55,49,17,9.20,4.65
Logan Hall,2568303,DL,TB,@MIA,1.01,0.62,0.23,0.34,,,0.06,,,,,,,0.06,0.51,,,3.32,81,18,9.00,5.68
Payton Page,2574446,DL,NYJ,NE,0.29,0.39,,0.1,,,,,,,,,,,0.05,,,0.84,149,19,9.00,8.16
Jack Sawyer,2574500,DL,PIT,@CLE,1.28,1.21,0.2,0.34,0.07,,,,,,,,,0.34,0.54,,,4.92,38,20,9.00,4.08
Ricky Barber,2574605,DL,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,196,21,8.80,8.8
