PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Derrick Henry,2556075,RB,BAL,@GB,,,,77.88,0.9,0.98,8.44,0.07,,,,0.16,14.62,9,1,45.60,30.98
Bijan Robinson,2569558,RB,ATL,LAR,,,,85.54,0.38,4.23,33.97,0.27,,,,0.19,17.59,6,2,37.40,19.81
Chase Brown,2569642,RB,CIN,ARI,,,,64.95,0.28,3.89,22.8,0.31,,,,0.17,13.92,11,3,27.60,13.68
Christian McCaffrey,2557997,RB,SF,CHI,,,,72.22,0.76,5.68,51.11,0.44,,,,0.26,21.85,1,4,26.10,4.25
Zach Charbonnet,2570335,RB,SEA,@CAR,,,,39.34,0.52,1.12,9.34,0.07,,,,0.11,8.75,31,5,25.20,16.45
Rhamondre Stevenson,2566343,RB,NE,@NYJ,,,,34.4,0.41,2.04,16.07,0.1,,,,0.16,8.81,30,6,24.70,15.89
Jacory Croskey-Merritt,2574608,RB,WAS,DAL,,,,77.23,0.59,0.28,2.76,0.02,,,,0.19,11.42,21,7,22.50,11.08
D'Andre Swift,2563965,RB,CHI,@SF,,,,53.61,0.41,2.16,14.32,0.11,,,,0.12,10.75,24,8,20.90,10.15
Breece Hall,2568030,RB,NYJ,NE,,,,65.77,0.29,2.43,17.89,0.12,,,,0.18,11.68,20,9,19.90,8.22
Audric Estimé,2571994,RB,NO,@TEN,,,,29.06,0.17,2.01,16.54,0.1,,,,0.11,6.97,39,10,16.30,9.33
RJ Harvey,2574090,RB,DEN,@KC,,,,45.64,0.58,2.79,17.38,0.2,,,,0.19,12.00,18,11,16.10,4.1
Omarion Hampton,2574514,RB,LAC,HOU,,,,71.57,0.69,1.86,13.01,0.11,,,,0.19,13.81,13,12,16.00,2.19
Jonathan Taylor,2564148,RB,IND,JAX,,,,97.45,1.01,2.68,19.39,0.16,,,,0.2,19.64,3,13,15.90,-3.74
Devin Singletary,2562734,RB,NYG,@LV,,,,25.57,0.26,2.16,13.1,0.1,,,,0.11,6.89,40,14,15.00,8.11
